50Traced_NONETRACED_SUM_SINGLE_VSM_46_RFSMOTE,Associated
0,0
0,0
1,0
1,0
1,0
0,0
0,0
0,0
1,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
0,1
0,1
0,1
1,1
0,0
0,1
0,0
1,1
1,1
1,0
0,0
0,0
1,0
1,1
1,1
0,0
0,0
0,0
0,0
1,0
0,0
1,0
0,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
1,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
0,1
0,0
0,1
0,0
1,1
1,1
0,0
0,0
0,0
1,0
0,1
1,1
1,0
0,0
1,0
0,0
0,0
1,0
0,0
1,1
0,0
0,1
0,0
1,1
0,0
1,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,1
1,1
1,1
0,1
0,0
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
1,0
1,1
0,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
1,0
1,0
0,0
0,0
1,0
1,1
0,0
1,1
1,0
0,0
0,0
1,0
1,0
0,0
1,0
1,0
0,0
1,1
1,1
0,1
0,1
0,0
1,1
0,0
0,0
1,0
1,1
1,1
1,1
0,1
0,0
0,0
0,1
1,0
1,1
1,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
1,0
1,1
1,0
1,0
1,0
0,0
1,1
0,0
0,1
0,0
0,0
1,0
0,0
1,0
1,0
0,0
0,0
1,0
1,1
0,0
1,1
1,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
1,0
1,1
0,1
0,1
1,1
0,0
1,1
0,0
0,0
0,0
1,0
1,0
1,0
1,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
1,1
1,1
1,1
0,1
1,0
1,1
0,0
0,0
0,0
0,0
1,0
1,0
1,0
0,0
0,0
1,0
1,1
0,0
1,1
0,0
1,0
0,0
0,0
1,0
0,0
1,0
0,0
1,0
1,1
1,1
1,1
0,1
0,0
0,1
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
0,1
0,0
0,1
0,0
1,0
0,0
1,1
1,1
0,1
0,1
1,0
1,0
1,1
0,0
1,1
1,0
1,0
1,0
0,0
1,0
0,1
1,0
1,1
0,0
1,1
