50Traced_NONETRACED_RFUNDER_MULTI_LSA_60_RFUNDER,Associated
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
0,0
1,1
1,1
0,0
0,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
1,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
1,0
0,0
1,0
0,0
0,0
1,0
1,1
0,0
0,1
0,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
1,1
1,1
0,0
1,0
0,0
1,0
1,1
1,1
0,0
1,0
0,0
0,0
0,0
0,0
1,0
1,1
0,0
1,1
0,0
1,1
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
0,0
1,1
1,0
1,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
1,1
0,0
0,1
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
0,0
0,0
0,0
1,1
1,1
1,1
0,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
1,0
0,0
0,0
0,1
0,0
0,1
0,0
1,0
1,0
0,0
1,0
0,0
0,0
0,0
1,0
1,1
0,0
1,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
0,0
1,0
0,0
1,0
0,0
1,0
1,0
0,0
0,0
1,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
1,1
1,1
1,1
1,1
1,0
1,1
0,0
1,0
0,0
0,0
1,0
0,0
1,0
1,0
0,0
1,0
1,1
1,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
0,0
1,0
0,0
1,1
1,1
1,1
1,1
1,0
0,0
1,1
0,0
1,1
0,0
1,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
