50Traced_NONETRACED_SUM_MULTI_LSA_86_RFUNDER,Associated
1,0
0,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
1,1
1,1
1,0
0,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
1,1
1,1
0,0
1,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
0,1
0,0
1,1
0,0
1,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
1,1
0,0
1,1
1,0
0,0
1,0
1,0
0,0
1,0
0,0
0,0
1,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
1,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
1,1
1,0
1,1
1,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,1
1,0
1,1
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
0,0
1,0
0,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,1
0,0
1,1
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
0,0
0,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
1,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
1,0
0,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
1,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
1,0
1,1
0,0
0,0
1,0
0,0
0,0
1,1
0,0
0,1
0,0
1,1
0,0
1,0
1,0
0,0
1,1
1,0
1,1
0,0
0,0
1,1
0,0
0,0
1,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
0,0
1,1
1,0
1,0
1,1
1,1
1,1
1,1
1,0
0,0
1,1
1,0
1,1
0,0
0,0
1,0
0,0
0,0
1,1
1,0
1,1
1,0
1,1
0,0
1,0
1,0
1,0
1,1
1,0
1,1
0,0
0,0
1,1
0,0
0,0
1,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
1,1
0,0
1,1
0,0
0,0
0,1
1,1
1,1
1,1
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
0,1
0,0
0,1
1,1
1,1
1,0
1,0
0,0
0,0
1,1
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
1,1
1,1
1,1
1,0
0,0
1,1
1,0
1,1
0,0
0,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
1,1
1,0
1,1
1,0
0,0
1,1
1,1
1,1
1,1
1,0
0,0
1,1
1,0
1,1
1,0
0,0
1,0
0,0
0,0
1,1
0,0
0,1
0,0
1,1
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
0,0
1,1
1,1
0,1
1,1
0,0
0,0
1,1
1,0
1,1
1,0
0,0
1,0
0,0
1,0
1,1
1,0
0,1
0,0
1,1
0,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
0,0
1,1
1,1
1,1
1,1
1,0
0,0
1,1
0,0
1,1
0,0
1,0
1,0
0,0
0,0
1,1
0,0
0,1
0,0
0,1
0,0
0,0
1,0
0,0
1,1
0,0
1,1
0,0
0,0
0,1
1,1
1,1
0,1
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,0
1,1
1,1
1,1
1,1
1,0
0,0
1,1
1,0
1,1
0,0
0,0
0,0
0,0
1,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
1,1
1,1
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
0,1
1,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
1,1
0,0
1,1
1,1
1,1
1,0
1,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
0,0
0,0
1,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,1
1,1
1,1
1,1
0,0
1,1
1,0
1,1
1,1
1,0
0,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
1,0
0,0
1,0
0,0
0,0
1,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
