50Traced_NONETRACED_SUM_MULTI_LSA_34_RFSMOTE,Associated
1,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
1,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
1,1
1,1
0,0
0,1
1,0
1,1
1,1
0,0
0,0
0,0
0,0
1,1
1,1
1,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
1,0
0,0
1,0
0,0
0,0
0,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
1,1
1,0
1,1
1,0
0,0
0,0
0,0
1,0
1,0
1,0
1,0
1,0
1,1
1,1
1,1
1,1
0,0
1,1
0,0
1,1
0,1
1,0
1,0
1,0
1,0
0,1
1,1
1,0
0,0
1,0
0,0
0,0
0,0
1,0
1,1
1,0
0,1
0,0
1,1
0,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
0,0
1,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
0,0
0,1
0,0
1,1
0,0
1,1
0,0
0,0
1,0
1,0
1,1
0,0
1,1
1,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
0,0
1,0
1,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
0,0
1,1
1,0
0,0
1,0
0,0
1,0
1,1
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,1
0,0
0,1
1,0
0,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
1,0
0,0
0,0
1,0
1,0
1,0
1,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
0,0
1,0
1,0
0,0
1,0
1,0
0,0
0,0
0,0
1,0
1,1
1,0
1,1
1,0
1,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
1,1
1,1
0,1
1,1
0,0
1,1
1,0
1,0
0,0
0,0
1,0
1,0
0,0
1,0
0,0
1,0
1,1
1,0
1,1
0,0
0,0
0,0
0,0
1,0
0,0
1,0
1,0
1,0
1,1
1,1
1,1
1,1
0,0
1,1
1,0
1,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
1,0
1,1
1,0
0,1
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
1,0
1,1
1,1
1,1
1,1
0,0
1,1
0,0
0,0
0,0
1,1
1,1
1,1
0,1
0,0
0,0
1,1
0,0
1,1
0,0
1,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
1,0
0,0
0,0
1,0
1,1
1,0
0,1
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,1
0,0
1,1
0,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
1,0
0,0
1,0
0,0
1,1
0,0
1,1
0,0
0,0
1,1
1,1
1,1
1,1
1,0
0,0
0,1
1,0
1,1
1,0
1,0
1,0
0,0
0,0
0,1
1,0
1,1
0,0
1,1
1,0
0,0
0,0
0,0
0,1
1,0
1,1
1,0
0,0
1,1
0,0
0,0
1,1
1,0
1,0
0,1
1,0
1,1
0,0
1,0
0,0
0,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
1,1
1,0
1,1
0,0
0,0
0,1
1,1
1,1
0,1
0,0
0,0
0,1
0,0
0,1
1,0
1,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
1,0
0,0
0,0
0,1
0,0
0,1
1,1
0,1
1,0
1,0
1,0
1,0
1,1
0,1
1,0
0,0
1,0
0,0
0,0
0,0
1,0
0,1
1,0
1,1
0,0
0,1
0,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
1,1
1,1
0,1
1,1
0,0
0,0
0,1
0,0
1,1
0,0
0,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
1,0
1,0
0,0
0,0
0,1
1,0
1,1
1,0
0,0
0,1
1,1
1,1
0,1
0,0
0,0
0,1
1,0
0,1
0,0
1,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
1,0
1,0
1,0
1,0
0,1
1,0
0,1
1,0
0,0
0,1
1,1
0,1
1,1
0,0
1,0
1,1
1,0
1,1
1,0
1,0
1,0
0,0
0,0
1,1
0,0
1,1
1,0
1,1
1,0
1,0
1,0
0,0
1,1
1,0
0,1
1,0
0,0
1,1
1,1
0,1
0,1
0,0
1,0
0,1
0,0
1,1
0,0
1,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
1,0
1,0
1,0
0,0
0,1
1,0
0,1
0,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
0,1
0,0
0,1
0,0
0,0
1,0
0,0
1,0
1,1
1,0
1,1
1,0
1,1
0,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,1
0,0
1,1
0,0
0,1
0,0
1,0
1,0
0,0
1,1
1,0
1,1
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
1,1
1,1
1,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
1,0
1,1
0,1
1,0
0,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
1,0
1,0
1,0
0,0
1,1
0,0
0,1
0,0
1,1
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
1,1
1,1
1,1
0,0
1,0
1,1
0,0
1,1
1,0
0,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
1,1
1,0
1,1
1,1
0,1
1,0
1,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
1,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,0
1,0
1,0
0,0
0,0
0,0
1,1
1,0
1,1
0,0
1,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
0,0
1,1
1,1
1,0
1,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,1
1,0
1,1
1,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
