50Traced_NONETRACED_MEDIAN_MULTI_VSM_14_RFSMOTE,Associated
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,1
0,0
0,1
0,0
1,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
0,1
1,0
1,1
0,1
0,0
0,0
1,0
0,0
1,1
1,1
0,0
1,0
1,0
0,0
1,0
1,0
1,0
1,1
0,0
1,1
0,0
0,1
0,0
1,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
1,1
1,1
1,1
0,1
0,0
0,1
1,0
1,1
1,1
0,0
1,0
0,0
1,0
1,1
0,1
1,0
0,0
0,0
0,0
0,0
1,0
1,0
0,1
0,0
0,1
0,0
1,1
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,0
1,0
0,0
1,1
0,1
0,1
1,1
0,0
0,0
1,1
0,0
0,1
1,0
0,0
1,0
1,0
0,0
1,1
1,0
1,1
1,0
1,1
0,0
0,0
1,0
0,0
1,1
1,0
1,1
1,0
0,0
1,0
1,0
1,0
0,0
1,0
0,0
1,0
1,1
1,0
1,1
1,0
0,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
1,0
1,1
0,0
1,0
1,0
0,0
0,0
1,1
1,0
1,1
1,0
1,1
1,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
1,0
1,0
0,0
0,0
1,0
1,0
0,1
1,0
0,1
0,0
0,0
1,0
0,0
1,0
0,0
0,0
1,0
0,0
0,1
1,1
1,1
0,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,1
0,0
0,1
1,0
0,0
0,0
1,0
1,0
0,0
0,0
1,0
1,0
1,1
1,1
1,1
1,1
0,0
1,1
1,0
1,0
0,0
0,0
0,0
1,0
0,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
0,0
1,0
0,0
0,0
0,0
1,0
1,0
0,0
1,1
1,1
1,1
0,1
1,0
0,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
1,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,1
0,1
0,0
0,1
0,0
1,0
0,0
1,1
0,1
0,1
1,1
1,0
0,0
0,1
0,0
1,1
1,0
1,0
1,0
1,0
1,0
0,1
0,0
1,1
1,0
1,1
