50Traced_NONETRACED_RFNONE_SINGLE_LSA_21_RFSMOTE,Associated
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
1,0
0,0
0,0
1,0
0,0
1,1
1,1
1,1
1,1
0,0
0,1
1,0
0,1
0,1
0,0
1,0
0,0
0,0
1,1
0,1
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,1
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,1
1,0
1,1
0,0
0,0
1,0
1,0
1,0
0,0
1,0
0,0
0,0
1,1
1,1
1,1
0,1
0,0
1,1
0,0
0,1
1,1
1,0
1,0
1,0
1,0
0,1
1,1
1,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,1
1,1
0,1
0,1
0,0
0,0
1,1
0,0
0,1
1,0
0,0
1,0
1,0
0,0
0,1
0,0
1,1
0,0
0,1
0,0
0,0
1,0
0,0
1,1
1,0
0,1
0,0
0,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
0,1
1,0
0,1
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
0,0
0,1
1,1
1,1
0,1
1,0
1,1
0,0
0,0
0,0
1,1
1,1
1,1
0,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
1,0
0,1
0,0
0,1
0,0
0,1
1,0
0,0
0,0
0,0
1,1
0,0
0,1
0,0
0,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
0,1
1,0
0,1
0,0
1,0
1,0
0,0
1,0
0,0
0,0
0,0
1,0
0,1
0,1
1,1
1,1
1,0
1,1
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
1,0
0,0
0,0
0,0
1,0
1,0
1,1
1,1
0,1
1,1
0,0
1,1
1,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
1,1
1,0
1,1
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
0,1
1,1
1,1
0,0
1,1
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
1,1
1,0
1,0
1,0
0,0
0,0
0,0
1,0
1,0
0,0
0,1
0,1
1,1
0,1
0,0
1,1
1,0
1,0
0,0
1,1
0,1
0,1
1,1
0,0
0,0
1,1
0,0
0,1
1,0
1,0
1,0
1,0
1,0
1,1
0,0
1,1
1,0
0,1
