50Traced_NONETRACED_MEDIAN_RAW_LSA_6_RFSMOTE,Associated
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,1
0,0
0,1
0,0
1,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
0,1
1,0
1,1
0,1
0,0
1,0
1,0
0,0
1,1
1,1
0,0
1,0
1,0
0,0
1,0
1,0
1,0
1,1
0,0
1,1
0,0
0,1
0,0
1,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
0,0
0,0
1,0
1,1
0,0
1,1
1,0
1,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
1,1
1,1
1,1
0,1
0,0
0,1
1,0
1,1
1,1
1,0
1,0
0,0
1,0
0,1
0,1
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,1
0,0
0,1
0,0
0,1
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
1,0
0,0
1,1
0,1
0,1
1,1
0,0
0,0
1,1
0,0
0,1
1,0
0,0
1,0
1,0
0,0
1,1
0,0
1,1
1,0
1,1
0,0
0,0
1,0
0,0
1,1
1,0
1,1
0,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,1
1,0
1,1
1,0
0,0
1,0
0,0
1,0
0,0
1,0
1,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
0,0
0,0
0,0
0,1
1,1
1,1
0,1
0,0
0,0
1,1
0,0
1,1
0,0
1,0
1,0
0,0
0,0
1,1
1,0
1,1
1,0
1,1
1,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
1,0
1,0
0,0
0,0
1,0
1,0
0,1
0,0
0,1
0,0
0,0
0,0
1,0
0,0
0,0
1,0
1,0
0,0
0,1
1,1
1,1
0,1
1,0
1,1
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
0,1
1,0
0,1
0,0
0,0
0,0
0,0
1,0
0,0
1,0
1,0
1,0
1,1
0,1
1,1
1,1
0,0
1,1
1,0
1,0
0,0
0,0
1,0
1,0
0,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
0,0
1,0
0,0
0,0
0,0
1,0
1,0
1,0
1,1
1,1
1,1
0,1
1,0
0,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,1
0,1
1,1
0,1
1,0
1,1
1,0
0,0
0,0
1,1
0,1
0,1
1,1
1,0
0,0
0,1
0,0
0,1
0,0
1,0
1,0
1,0
0,0
0,1
0,0
1,1
1,0
1,1
