50Traced_NONETRACED_MEDIAN_SINGLE_LSA_64_RFSMOTE,Associated
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,1
0,0
0,1
0,0
1,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
0,1
1,0
1,1
0,1
0,0
1,0
1,0
0,0
1,1
1,1
0,0
1,0
1,0
0,0
1,0
1,0
1,0
1,1
0,0
1,1
0,0
0,1
0,0
1,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
0,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,1
1,0
0,1
1,0
1,0
1,0
0,0
0,0
1,0
0,0
1,0
1,0
1,1
1,1
1,1
0,1
0,0
0,1
1,0
1,1
1,1
0,0
1,0
0,0
1,0
0,1
0,1
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,1
0,0
0,1
0,0
1,1
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
0,1
0,1
1,1
0,0
0,0
1,1
0,0
0,1
1,0
0,0
0,0
0,0
0,0
1,1
1,0
1,1
1,0
1,1
0,0
0,0
1,0
0,0
1,1
1,0
0,1
0,0
0,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
1,1
1,0
1,1
0,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
1,0
1,1
0,0
1,0
1,0
0,0
0,0
1,1
1,0
1,1
1,0
1,1
1,0
1,0
1,0
0,0
1,1
0,0
0,1
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
1,1
1,0
0,1
1,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,1
1,1
1,1
0,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
0,1
0,0
0,1
1,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
1,1
0,1
1,1
1,1
0,0
0,1
1,0
1,0
0,0
0,0
0,0
1,0
0,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
0,0
1,0
0,0
0,0
0,0
1,0
1,0
1,0
1,1
1,1
1,1
0,1
1,0
0,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,1
0,0
1,0
1,0
0,0
0,0
0,0
1,0
0,0
0,0
0,1
0,1
1,1
0,1
1,0
1,1
1,0
1,0
0,0
1,1
0,1
0,1
1,1
1,0
0,0
1,1
0,0
0,1
1,0
1,0
1,0
1,0
1,0
0,1
0,0
1,1
0,0
