50Traced_NONETRACED_MAX_SINGLE_LSA_81_RFSMOTE,Associated
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
1,1
1,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
0,0
0,1
1,1
0,0
1,0
0,0
1,0
1,1
1,1
0,0
1,0
0,0
1,0
1,0
0,0
0,0
1,1
1,0
0,1
0,0
0,1
0,0
0,0
1,0
1,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,0
1,1
0,0
1,0
1,0
0,0
0,0
0,0
1,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
0,0
1,1
1,1
0,0
1,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,1
0,0
0,1
0,0
1,1
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
0,1
0,0
0,0
0,1
0,0
1,1
1,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
1,1
0,0
0,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
1,0
0,0
0,0
1,1
1,1
1,1
0,1
0,0
0,0
0,1
0,0
1,1
1,0
1,0
1,0
0,0
1,0
1,1
1,0
1,1
1,0
1,1
0,0
1,0
1,0
1,0
0,1
1,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,0
1,1
0,0
1,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
1,1
1,1
0,1
1,1
0,0
1,1
1,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
1,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
1,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,1
1,1
1,1
1,1
1,0
1,1
0,0
0,0
0,0
1,1
0,1
0,1
1,1
0,0
0,0
1,1
1,0
1,1
0,0
0,0
1,0
0,0
1,0
0,1
0,0
0,1
1,0
0,1
