50Traced_NONETRACED_RFUNDER_SINGLE_LSA_76_RFSMOTE,Associated
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
1,1
0,0
0,1
0,0
0,0
1,0
0,0
1,0
1,0
0,0
1,0
0,0
0,1
1,1
1,1
1,1
1,0
1,1
1,0
1,1
1,1
1,0
1,0
1,0
0,0
1,1
0,1
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
0,0
1,1
0,0
0,1
0,0
1,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,0
1,1
1,0
1,1
1,0
0,0
0,0
1,0
0,0
1,0
1,0
1,0
0,0
1,1
0,1
1,1
0,1
1,0
1,1
1,0
1,1
1,1
1,0
0,0
1,0
1,0
0,1
0,1
1,0
0,0
0,0
0,0
0,0
1,0
1,0
0,1
0,0
0,1
0,0
1,1
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
0,0
1,1
1,0
1,0
0,0
0,0
0,0
1,1
0,0
1,1
1,0
1,1
0,0
0,0
1,0
0,0
0,1
0,0
0,1
1,0
0,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
1,1
1,0
1,1
0,0
1,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
1,0
0,1
1,0
1,0
1,0
0,0
0,0
1,1
1,0
1,1
1,0
1,1
1,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
1,0
0,1
0,0
1,0
1,0
1,0
0,0
0,0
0,0
1,0
0,0
1,1
1,1
1,1
0,1
1,0
1,1
1,0
0,0
1,0
0,0
1,0
1,0
0,0
1,0
0,0
0,0
0,1
0,0
0,1
1,0
0,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
1,1
0,1
1,1
0,1
0,0
1,1
1,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,1
0,0
1,1
1,0
1,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
1,1
0,1
1,1
0,1
1,0
0,1
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
1,1
0,0
0,1
1,0
1,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,1
0,1
0,1
1,1
1,0
1,1
0,0
1,0
0,0
1,1
0,1
1,1
1,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
1,0
1,0
1,1
0,0
0,1
0,0
