50Traced_NONETRACED_RFUNDER_MULTI_VSM_45_RFNONE,Associated
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,1
0,1
0,1
0,0
0,1
0,0
0,1
0,1
0,0
0,0
0,0
0,0
0,1
1,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,1
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,1
0,1
0,1
0,0
0,1
0,0
0,1
1,1
0,0
0,0
0,0
0,0
0,1
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
1,1
1,1
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
1,1
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,1
1,1
1,0
1,1
0,0
0,0
0,0
0,1
0,1
1,1
1,1
0,0
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
1,1
1,0
0,0
1,0
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
1,1
0,1
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
1,1
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,1
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,1
1,1
0,0
1,1
0,0
0,0
0,0
0,1
0,1
0,1
0,1
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,1
