50Traced_NONETRACED_SUM_MULTI_LSA_76_RFSMOTE,Associated
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
1,0
1,1
0,0
1,1
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,1
0,1
1,1
1,1
1,0
0,1
0,0
1,1
0,1
1,0
0,0
0,0
1,0
1,1
1,1
0,0
1,0
1,0
0,0
0,0
1,0
1,0
0,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
1,0
0,0
0,0
1,0
1,0
0,0
1,0
1,1
1,0
1,1
0,0
1,0
0,0
0,0
0,0
1,0
1,0
1,0
1,0
1,1
1,1
1,1
1,1
1,0
1,1
0,0
1,1
0,1
0,0
0,0
1,0
0,0
1,1
1,1
1,0
0,0
1,0
0,0
0,0
1,0
0,0
1,1
0,0
0,1
0,0
1,1
0,0
0,0
0,0
1,0
1,0
1,0
0,0
1,0
0,0
0,0
1,1
1,1
1,1
0,1
0,0
0,0
1,1
1,0
1,1
1,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
1,1
1,0
1,1
1,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
0,0
0,0
0,0
1,0
0,0
1,0
1,0
1,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
1,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
1,0
1,1
1,0
0,0
1,0
0,0
0,0
1,1
1,0
1,1
0,0
1,1
1,0
1,0
0,0
0,0
1,1
1,0
1,1
1,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,1
1,0
1,1
1,0
0,0
1,0
0,0
0,0
1,0
1,0
0,0
1,0
1,1
1,1
1,1
0,1
1,0
1,1
1,0
0,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,1
0,0
1,1
0,0
0,0
0,0
1,0
0,0
0,0
1,0
1,0
1,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
1,0
0,0
1,0
0,0
0,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
1,0
0,0
0,0
1,0
0,0
1,0
1,0
1,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
1,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
1,0
1,1
0,0
1,1
1,0
1,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
0,0
1,0
1,0
1,1
1,1
1,1
1,1
1,0
0,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
0,0
1,1
1,0
1,1
1,0
1,1
