50Traced_NONETRACED_MAX_RAW_LSA_86_RFSMOTE,Associated
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,1
1,1
0,1
1,1
0,0
1,1
0,0
1,1
1,1
1,0
1,0
0,0
0,0
0,1
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
1,1
1,0
1,1
1,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
1,0
1,1
1,1
1,1
1,1
0,0
1,1
0,0
1,1
1,1
1,0
1,0
0,0
1,0
1,1
1,1
0,0
0,0
0,0
0,0
1,0
1,0
1,0
1,1
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
0,1
0,0
0,1
0,0
1,0
1,0
1,0
0,0
1,1
0,0
0,1
0,0
1,1
0,0
0,0
0,0
0,0
1,1
0,0
0,1
0,0
0,0
1,0
1,0
0,0
1,0
0,0
0,0
0,0
1,1
0,0
1,1
1,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
0,0
0,0
0,0
0,1
1,1
1,1
0,1
0,0
0,0
1,1
1,0
0,1
0,0
1,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
1,1
1,0
1,1
1,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,1
1,1
1,1
1,1
0,0
1,1
0,0
0,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,1
1,0
1,1
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
1,1
1,0
1,1
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
1,0
1,1
0,0
