50Traced_NONETRACED_RFNONE_MULTI_VSM_71_RFSMOTE,Associated
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,1
0,0
1,1
1,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
1,1
1,1
1,0
1,0
1,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
1,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,1
1,0
1,1
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,0
1,0
1,1
1,1
1,1
1,1
0,0
0,1
1,0
1,1
1,1
1,0
1,0
0,0
1,0
1,1
1,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
1,1
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,1
1,1
1,1
0,0
0,0
0,1
0,0
0,1
1,0
0,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
1,1
1,0
1,1
0,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,1
0,0
0,1
1,0
1,0
1,0
0,0
1,0
0,0
1,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
0,0
0,0
0,0
0,1
1,1
1,1
1,1
0,0
0,0
0,1
0,0
0,1
0,0
1,0
1,0
0,0
0,0
1,1
1,0
1,1
1,0
1,1
0,0
1,0
1,0
0,0
1,1
0,0
0,1
0,0
0,0
0,0
1,0
1,0
0,0
0,0
1,0
1,0
1,1
0,0
0,1
1,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,1
1,0
0,1
1,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
1,1
0,1
1,1
1,1
1,0
1,1
1,0
1,0
0,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,1
1,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
1,1
0,1
1,1
1,1
0,0
1,1
0,0
0,0
0,0
1,1
0,1
0,1
1,1
1,0
0,0
1,1
0,0
0,1
0,0
0,0
0,0
1,0
1,0
0,1
0,0
1,1
0,0
1,1
