50Traced_NONETRACED_SUM_MULTI_VSM_54_RFSMOTE,Associated
1,0
0,0
0,0
1,0
0,0
1,0
0,0
0,0
1,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
1,1
1,1
1,1
1,1
1,0
1,1
0,0
1,1
0,1
0,0
1,0
1,0
1,0
1,1
1,1
1,0
1,0
0,0
0,0
1,0
0,0
1,0
0,1
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
1,1
0,1
0,0
1,0
1,0
1,0
1,1
1,1
0,0
0,0
1,0
0,0
1,0
0,0
0,0
1,1
1,0
0,1
1,0
0,1
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,1
1,1
0,1
1,1
0,0
0,0
0,1
0,0
0,1
1,0
1,0
1,0
1,0
0,0
0,1
0,0
1,1
1,0
0,1
0,0
1,0
1,0
1,0
1,1
0,0
1,1
1,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
1,1
1,0
0,1
1,0
1,0
1,0
0,0
0,0
0,0
1,0
0,0
1,0
1,1
1,1
0,1
0,1
1,0
1,1
1,0
1,0
0,0
1,1
1,1
0,1
1,1
0,0
0,0
1,1
1,0
1,1
1,0
0,0
0,0
0,0
0,0
0,1
1,0
0,1
0,0
0,1
0,0
1,0
1,0
0,0
1,1
0,0
1,1
1,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,1
1,0
1,1
1,0
1,0
0,0
0,0
1,0
0,0
1,0
1,0
1,0
1,1
1,1
1,1
0,1
0,0
1,1
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
1,1
0,0
1,1
1,0
0,0
0,0
1,0
1,0
0,0
0,0
1,0
0,0
1,1
1,1
1,1
1,1
1,0
0,1
1,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,1
1,0
1,1
0,0
1,0
0,0
1,0
1,0
0,0
1,0
0,0
1,0
1,1
1,1
0,1
1,1
1,0
1,1
1,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
0,0
0,0
1,0
1,0
0,0
1,0
0,0
1,0
1,1
1,1
0,1
1,1
1,0
1,1
1,0
1,0
1,0
1,1
1,1
1,1
0,1
1,0
1,0
1,1
1,0
1,1
1,0
0,0
1,0
0,0
1,0
1,1
1,0
1,1
1,0
1,1
1,0
1,0
0,0
1,0
1,1
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,1
1,0
0,0
1,1
1,0
1,1
0,0
1,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
0,0
1,0
1,0
0,0
1,0
1,1
1,0
0,1
1,0
1,0
0,1
0,1
0,1
0,1
1,0
1,0
1,1
1,0
1,1
1,0
1,0
0,0
0,0
0,0
1,1
0,0
0,1
1,0
1,1
1,0
1,0
0,0
1,0
0,1
1,0
1,1
0,0
1,0
1,1
1,0
1,0
1,1
1,0
0,0
1,1
1,0
1,1
1,0
1,0
0,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
1,1
0,0
1,1
1,0
0,0
1,1
1,1
1,1
0,1
1,0
0,0
1,1
0,0
1,1
1,0
1,0
1,0
0,0
0,0
1,1
1,0
1,1
1,0
1,1
0,0
1,0
1,0
0,0
1,1
1,0
1,1
1,1
0,1
0,0
1,0
0,0
1,0
1,1
0,1
1,0
1,0
1,0
0,0
1,0
0,0
1,0
1,1
1,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
0,0
0,0
0,1
1,1
1,1
0,1
1,0
0,0
1,1
1,0
1,1
0,0
1,0
1,0
1,0
0,0
1,1
1,0
1,1
0,0
1,1
1,0
1,0
0,0
0,0
0,1
1,0
1,1
1,0
1,0
1,1
1,1
1,1
0,1
0,0
1,0
0,1
1,0
0,1
0,0
0,0
0,0
0,0
1,0
1,1
1,0
1,1
1,0
1,1
1,0
1,0
0,0
1,0
0,1
1,0
0,1
1,0
0,0
1,1
1,1
1,1
1,1
1,0
1,0
1,1
1,0
1,1
0,0
1,0
1,0
1,0
0,0
1,1
1,0
0,1
1,0
1,1
1,0
1,0
1,0
0,0
1,1
0,0
0,1
1,0
1,0
0,1
1,1
1,1
0,1
1,0
1,0
1,1
1,0
1,1
1,0
0,0
0,0
1,0
0,0
1,1
1,0
1,1
0,0
1,1
0,0
1,0
0,0
0,0
0,1
1,0
1,1
1,0
0,0
1,1
1,1
0,1
1,1
1,0
0,0
1,1
1,0
1,1
1,0
0,0
0,0
0,0
1,0
0,1
1,0
0,1
0,0
0,1
1,0
1,0
1,0
0,0
1,1
0,0
1,1
1,0
0,0
1,1
1,1
1,1
1,1
1,0
0,0
0,1
1,0
0,1
1,0
1,0
0,0
0,0
1,0
0,1
1,0
1,1
0,0
1,1
1,0
1,0
1,0
0,0
1,1
1,0
1,1
0,0
0,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
0,0
0,1
0,1
1,1
1,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,1
0,1
0,0
1,0
1,0
1,0
1,1
1,1
1,0
0,0
0,0
1,0
1,0
1,0
1,0
0,1
0,0
1,1
0,0
0,1
0,0
0,0
1,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
1,1
0,1
0,1
1,1
0,0
0,0
1,1
1,0
1,1
1,0
1,0
1,0
0,0
0,0
0,1
1,0
1,1
0,0
0,1
1,0
0,0
1,0
1,0
1,1
1,0
1,1
1,1
0,1
0,0
0,0
0,0
1,0
1,1
0,1
1,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
1,0
0,0
0,0
1,0
0,0
1,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
1,1
1,1
1,1
1,1
0,0
1,1
0,0
1,1
1,1
1,0
1,0
0,0
1,0
1,1
1,1
1,0
0,0
0,0
0,0
1,0
0,0
0,0
1,1
1,0
0,1
0,0
1,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,1
0,0
0,1
0,0
1,0
1,0
0,0
0,0
1,0
0,0
1,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
