50Traced_NONETRACED_RFSMOTE_RAW_VSM_5_RFSMOTE,Associated
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,1
0,0
0,1
1,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,1
0,1
0,1
1,0
0,1
1,0
1,1
0,1
0,0
1,0
1,0
0,0
1,1
0,1
0,0
0,0
1,0
0,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
1,0
1,0
0,0
0,0
1,0
1,0
0,0
1,0
1,1
0,0
1,1
1,0
0,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
0,1
1,1
0,1
0,1
0,0
1,1
1,0
0,1
1,1
0,0
1,0
0,0
1,0
1,1
1,1
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
1,1
0,0
1,0
0,0
0,0
0,0
1,0
0,0
1,0
1,0
0,0
1,1
0,1
0,1
0,1
0,0
0,0
1,1
0,0
0,1
1,0
0,0
1,0
1,0
1,0
0,1
0,0
1,1
0,0
0,1
0,0
0,0
1,0
0,0
1,1
1,0
0,1
1,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,1
1,0
1,1
0,0
1,0
1,0
0,0
1,0
0,0
1,0
0,0
0,0
0,1
1,1
1,1
1,1
1,0
1,1
0,0
0,0
0,0
1,1
0,1
1,1
1,1
0,0
0,0
0,1
0,0
1,1
1,0
1,0
0,0
0,0
1,0
1,1
1,0
1,1
0,0
0,1
1,0
1,0
1,0
0,0
0,1
0,0
1,1
0,0
0,0
0,0
1,0
0,0
0,0
0,0
1,0
1,0
1,1
1,0
1,1
0,0
0,0
0,0
0,0
1,0
0,0
1,0
1,0
0,0
1,1
1,1
1,1
0,1
0,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,1
0,0
1,1
1,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,1
1,1
1,1
1,1
1,0
1,1
1,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
0,1
1,0
1,1
1,0
0,0
1,0
0,0
0,0
0,0
1,0
1,0
1,0
0,1
0,1
1,1
0,1
1,0
0,1
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
1,0
1,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,1
0,1
1,1
0,1
0,0
1,1
1,0
1,0
0,0
1,1
0,1
0,1
1,1
0,0
0,0
0,1
0,0
0,1
0,0
1,0
1,0
1,0
1,0
1,1
0,0
1,1
0,0
1,1
