Requirement,Class,Similarity,Associated
13.txt,147.txt,0.0533,0.0
13.txt,153.txt,0.0216,0.0
13.txt,116.txt,0.1281,0.0
13.txt,134.txt,0.0589,0.0
13.txt,159.txt,0.1056,0.0
13.txt,145.txt,0.0415,0.0
13.txt,146.txt,0.0,0.0
13.txt,158.txt,0.0018,0.0
13.txt,132.txt,0.0194,0.0
13.txt,140.txt,1.0,1.0
13.txt,154.txt,0.0337,0.0
13.txt,141.txt,1.0,1.0
13.txt,120.txt,0.0076,0.0
13.txt,142.txt,0.059,0.0
13.txt,152.txt,0.1733,0.0
13.txt,124.txt,0.0,0.0
13.txt,148.txt,0.1907,0.0
13.txt,123.txt,0.0299,0.0
13.txt,117.txt,0.0844,0.0
13.txt,122.txt,0.2508,0.0
13.txt,138.txt,0.1502,0.0
13.txt,155.txt,1.0,1.0
13.txt,150.txt,1.0,1.0
13.txt,118.txt,1.0,1.0
13.txt,156.txt,1.0,1.0
13.txt,136.txt,0.0925,0.0
13.txt,149.txt,1.0,1.0
13.txt,114.txt,0.082,0.0
5.txt,147.txt,1.0,1.0
5.txt,153.txt,1.0,1.0
5.txt,116.txt,0.4007,0.0
5.txt,134.txt,0.3639,0.0
5.txt,159.txt,0.3639,0.0
5.txt,145.txt,0.4007,0.0
5.txt,146.txt,1.0,1.0
5.txt,158.txt,1.0,1.0
5.txt,132.txt,0.3639,0.0
5.txt,140.txt,0.0,0.0
5.txt,154.txt,0.3639,0.0
5.txt,141.txt,0.0646,0.0
5.txt,120.txt,0.4183,0.0
5.txt,142.txt,0.4183,0.0
5.txt,152.txt,0.4183,0.0
5.txt,124.txt,1.0,1.0
5.txt,148.txt,0.3639,0.0
5.txt,123.txt,1.0,1.0
5.txt,117.txt,0.3639,0.0
5.txt,122.txt,1.0,1.0
5.txt,138.txt,0.3639,0.0
5.txt,155.txt,0.086,0.0
5.txt,150.txt,0.1001,0.0
5.txt,118.txt,0.1927,0.0
5.txt,156.txt,0.0728,0.0
5.txt,136.txt,0.4007,0.0
5.txt,149.txt,0.2181,0.0
5.txt,114.txt,0.3639,0.0
27.txt,147.txt,0.1606,0.0
27.txt,153.txt,0.0544,0.0
27.txt,116.txt,0.3233,0.0
27.txt,134.txt,0.3076,0.0
27.txt,159.txt,0.3186,0.0
27.txt,145.txt,0.2077,0.0
27.txt,146.txt,0.0431,0.0
27.txt,158.txt,0.0278,0.0
27.txt,132.txt,0.2021,0.0
27.txt,140.txt,1.0,1.0
27.txt,154.txt,0.2077,0.0
27.txt,141.txt,1.0,1.0
27.txt,120.txt,0.0862,0.0
27.txt,142.txt,0.1774,0.0
27.txt,152.txt,0.1733,0.0
27.txt,124.txt,0.0,0.0
27.txt,148.txt,0.5752,0.0
27.txt,123.txt,0.0898,0.0
27.txt,117.txt,0.3076,0.0
27.txt,122.txt,0.2508,0.0
27.txt,138.txt,0.4531,0.0
27.txt,155.txt,1.0,1.0
27.txt,150.txt,1.0,1.0
27.txt,118.txt,1.0,1.0
27.txt,156.txt,1.0,1.0
27.txt,136.txt,0.2232,0.0
27.txt,149.txt,1.0,1.0
27.txt,114.txt,0.2473,0.0
4.txt,147.txt,1.0,1.0
4.txt,153.txt,1.0,1.0
4.txt,116.txt,0.4748,0.0
4.txt,134.txt,0.0906,0.0
4.txt,159.txt,0.015,0.0
4.txt,145.txt,0.4748,0.0
4.txt,146.txt,1.0,1.0
4.txt,158.txt,1.0,1.0
4.txt,132.txt,0.4748,0.0
4.txt,140.txt,0.1182,0.0
4.txt,154.txt,0.4748,0.0
4.txt,141.txt,0.0646,0.0
4.txt,120.txt,0.7021,0.0
4.txt,142.txt,0.7021,0.0
4.txt,152.txt,0.7021,0.0
4.txt,124.txt,1.0,1.0
4.txt,148.txt,0.0146,0.0
4.txt,123.txt,1.0,1.0
4.txt,117.txt,0.0403,0.0
4.txt,122.txt,1.0,1.0
4.txt,138.txt,0.1355,0.0
4.txt,155.txt,0.0244,0.0
4.txt,150.txt,0.1172,0.0
4.txt,118.txt,0.0221,0.0
4.txt,156.txt,0.2209,0.0
4.txt,136.txt,0.4748,0.0
4.txt,149.txt,0.0244,0.0
4.txt,114.txt,0.4748,0.0
15.txt,147.txt,0.1425,0.0
15.txt,153.txt,0.1304,0.0
15.txt,116.txt,1.0,1.0
15.txt,134.txt,1.0,1.0
15.txt,159.txt,1.0,1.0
15.txt,145.txt,1.0,1.0
15.txt,146.txt,0.1884,0.0
15.txt,158.txt,0.1337,0.0
15.txt,132.txt,1.0,1.0
15.txt,140.txt,0.0,0.0
15.txt,154.txt,1.0,1.0
15.txt,141.txt,0.0332,0.0
15.txt,120.txt,0.2021,0.0
15.txt,142.txt,0.1778,0.0
15.txt,152.txt,0.2758,0.0
15.txt,124.txt,0.0,0.0
15.txt,148.txt,1.0,1.0
15.txt,123.txt,0.0896,0.0
15.txt,117.txt,1.0,1.0
15.txt,122.txt,0.4988,0.0
15.txt,138.txt,1.0,1.0
15.txt,155.txt,0.0791,0.0
15.txt,150.txt,0.3338,0.0
15.txt,118.txt,0.2692,0.0
15.txt,156.txt,0.2464,0.0
15.txt,136.txt,0.7068,1.0
15.txt,149.txt,0.4518,0.0
15.txt,114.txt,1.0,1.0
9.txt,147.txt,0.2169,0.0
9.txt,153.txt,0.2169,0.0
9.txt,116.txt,0.4137,0.0
9.txt,134.txt,0.4137,0.0
9.txt,159.txt,0.4137,0.0
9.txt,145.txt,0.4137,0.0
9.txt,146.txt,0.2169,0.0
9.txt,158.txt,0.2169,0.0
9.txt,132.txt,0.4137,0.0
9.txt,140.txt,1.0,1.0
9.txt,154.txt,0.4137,0.0
9.txt,141.txt,1.0,1.0
9.txt,120.txt,0.0836,0.0
9.txt,142.txt,0.1774,0.0
9.txt,152.txt,0.1733,0.0
9.txt,124.txt,0.2169,0.0
9.txt,148.txt,0.4137,0.0
9.txt,123.txt,0.2169,0.0
9.txt,117.txt,0.4137,0.0
9.txt,122.txt,0.2508,0.0
