Requirement,Class,Similarity,Associated
13.txt,147.txt,0.1503,0.0
13.txt,153.txt,0.3133,0.0
13.txt,116.txt,0.1766,0.0
13.txt,134.txt,0.6139,0.0
13.txt,159.txt,0.0,0.0
13.txt,145.txt,0.1766,0.0
13.txt,146.txt,0.4224,0.0
13.txt,158.txt,0.1047,0.0
13.txt,132.txt,0.1766,0.0
13.txt,140.txt,1.0,1.0
13.txt,154.txt,0.7077,0.0
13.txt,141.txt,1.0,1.0
13.txt,120.txt,0.3701,0.0
13.txt,142.txt,0.3574,0.0
13.txt,152.txt,0.3701,0.0
13.txt,124.txt,0.3249,0.0
13.txt,148.txt,0.2942,0.0
13.txt,123.txt,0.1047,0.0
13.txt,117.txt,0.0371,0.0
13.txt,122.txt,0.1047,0.0
13.txt,138.txt,0.1755,0.0
13.txt,155.txt,1.0,1.0
13.txt,150.txt,1.0,1.0
13.txt,118.txt,1.0,1.0
13.txt,156.txt,1.0,1.0
13.txt,136.txt,0.5187,0.0
13.txt,149.txt,1.0,1.0
13.txt,114.txt,0.2574,0.0
5.txt,147.txt,1.0,1.0
5.txt,153.txt,1.0,1.0
5.txt,116.txt,0.4007,0.0
5.txt,134.txt,0.0,0.0
5.txt,159.txt,0.0,0.0
5.txt,145.txt,0.4007,0.0
5.txt,146.txt,1.0,1.0
5.txt,158.txt,1.0,1.0
5.txt,132.txt,0.4007,0.0
5.txt,140.txt,0.0099,0.0
5.txt,154.txt,0.4007,0.0
5.txt,141.txt,0.0,0.0
5.txt,120.txt,0.0406,0.0
5.txt,142.txt,0.0,0.0
5.txt,152.txt,0.0,0.0
5.txt,124.txt,1.0,1.0
5.txt,148.txt,0.1099,0.0
5.txt,123.txt,1.0,1.0
5.txt,117.txt,0.0166,0.0
5.txt,122.txt,1.0,1.0
5.txt,138.txt,0.0975,0.0
5.txt,155.txt,0.0,0.0
5.txt,150.txt,0.0419,0.0
5.txt,118.txt,0.0,0.0
5.txt,156.txt,0.0,0.0
5.txt,136.txt,0.4007,0.0
5.txt,149.txt,0.0,0.0
5.txt,114.txt,0.4007,0.0
27.txt,147.txt,0.1503,0.0
27.txt,153.txt,0.3133,0.0
27.txt,116.txt,0.1135,0.0
27.txt,134.txt,0.6139,0.0
27.txt,159.txt,0.0,0.0
27.txt,145.txt,0.2077,0.0
27.txt,146.txt,0.4224,0.0
27.txt,158.txt,0.1016,0.0
