Requirement,Class,Similarity,Associated
13.txt,147.txt,0.1503,0.0
13.txt,153.txt,0.1429,0.0
13.txt,116.txt,0.1901,0.0
13.txt,134.txt,0.6139,0.0
13.txt,159.txt,0.3369,0.0
13.txt,145.txt,0.166,0.0
13.txt,146.txt,0.2687,0.0
13.txt,158.txt,0.1058,0.0
13.txt,132.txt,0.2452,0.0
13.txt,140.txt,1.0,1.0
13.txt,154.txt,0.1376,0.0
13.txt,141.txt,1.0,1.0
13.txt,120.txt,0.3391,0.0
13.txt,142.txt,0.3391,0.0
13.txt,152.txt,0.3391,0.0
13.txt,124.txt,0.3249,0.0
13.txt,148.txt,0.4176,0.0
13.txt,123.txt,0.2886,0.0
13.txt,117.txt,0.391,0.0
13.txt,122.txt,0.2508,0.0
13.txt,138.txt,0.4715,0.0
13.txt,155.txt,1.0,1.0
13.txt,150.txt,1.0,1.0
13.txt,118.txt,1.0,1.0
13.txt,156.txt,1.0,1.0
13.txt,136.txt,0.1766,0.0
13.txt,149.txt,0.6631,1.0
13.txt,114.txt,0.2574,0.0
5.txt,147.txt,1.0,1.0
5.txt,153.txt,1.0,1.0
5.txt,116.txt,0.2515,0.0
5.txt,134.txt,0.2707,0.0
5.txt,159.txt,0.279,0.0
5.txt,145.txt,0.2515,0.0
5.txt,146.txt,1.0,1.0
5.txt,158.txt,1.0,1.0
5.txt,132.txt,0.2515,0.0
5.txt,140.txt,0.2082,0.0
5.txt,154.txt,0.2286,0.0
5.txt,141.txt,0.2082,0.0
5.txt,120.txt,0.397,0.0
5.txt,142.txt,0.397,0.0
5.txt,152.txt,0.397,0.0
5.txt,124.txt,1.0,1.0
5.txt,148.txt,0.2735,0.0
5.txt,123.txt,1.0,1.0
5.txt,117.txt,0.2676,0.0
5.txt,122.txt,1.0,1.0
5.txt,138.txt,0.3639,0.0
5.txt,155.txt,0.2082,0.0
5.txt,150.txt,0.2082,0.0
5.txt,118.txt,0.1566,0.0
5.txt,156.txt,0.1249,0.0
5.txt,136.txt,0.2572,0.0
5.txt,149.txt,0.1681,0.0
5.txt,114.txt,0.3639,0.0
27.txt,147.txt,0.1503,0.0
27.txt,153.txt,0.0672,0.0
27.txt,116.txt,0.3233,0.0
27.txt,134.txt,0.6139,0.0
27.txt,159.txt,0.3369,0.0
27.txt,145.txt,0.2077,0.0
27.txt,146.txt,0.2687,0.0
27.txt,158.txt,0.1058,0.0
27.txt,132.txt,0.2357,0.0
27.txt,140.txt,1.0,1.0
27.txt,154.txt,0.3471,0.0
27.txt,141.txt,1.0,1.0
27.txt,120.txt,0.1236,0.0
27.txt,142.txt,0.2085,0.0
27.txt,152.txt,0.1733,0.0
27.txt,124.txt,0.3123,0.0
27.txt,148.txt,0.4176,0.0
27.txt,123.txt,0.2774,0.0
27.txt,117.txt,0.3757,0.0
27.txt,122.txt,0.2508,0.0
27.txt,138.txt,0.4531,0.0
27.txt,155.txt,1.0,1.0
27.txt,150.txt,1.0,1.0
27.txt,118.txt,1.0,1.0
27.txt,156.txt,1.0,1.0
27.txt,136.txt,0.2544,0.0
27.txt,149.txt,0.6372,1.0
27.txt,114.txt,0.2473,0.0
4.txt,147.txt,1.0,1.0
4.txt,153.txt,1.0,1.0
4.txt,116.txt,0.4605,0.0
4.txt,134.txt,0.5062,0.0
4.txt,159.txt,0.5217,0.0
4.txt,145.txt,0.466,0.0
4.txt,146.txt,1.0,1.0
4.txt,158.txt,1.0,1.0
4.txt,132.txt,0.4605,0.0
4.txt,140.txt,0.4197,0.0
4.txt,154.txt,0.4275,0.0
4.txt,141.txt,0.4069,0.0
4.txt,120.txt,0.1375,0.0
4.txt,142.txt,0.169,0.0
4.txt,152.txt,0.1877,0.0
4.txt,124.txt,1.0,1.0
4.txt,148.txt,0.5115,0.0
4.txt,123.txt,0.9606,1.0
4.txt,117.txt,0.5005,0.0
4.txt,122.txt,0.9717,1.0
4.txt,138.txt,0.6805,0.0
4.txt,155.txt,0.4069,0.0
4.txt,150.txt,0.4069,0.0
4.txt,118.txt,0.4197,0.0
4.txt,156.txt,0.2304,0.0
4.txt,136.txt,0.481,0.0
4.txt,149.txt,0.4197,0.0
4.txt,114.txt,0.6805,0.0
15.txt,147.txt,0.1709,0.0
15.txt,153.txt,0.2021,0.0
15.txt,116.txt,0.4028,1.0
15.txt,134.txt,0.9815,1.0
15.txt,159.txt,1.0,1.0
15.txt,145.txt,0.503,1.0
15.txt,146.txt,0.257,0.0
15.txt,158.txt,0.1663,0.0
15.txt,132.txt,0.3689,1.0
15.txt,140.txt,0.2963,0.0
15.txt,154.txt,0.4615,1.0
15.txt,141.txt,0.2198,0.0
15.txt,120.txt,0.1484,0.0
15.txt,142.txt,0.1458,0.0
15.txt,152.txt,0.2781,0.0
15.txt,124.txt,0.0827,0.0
15.txt,148.txt,0.9815,1.0
15.txt,123.txt,0.1663,0.0
15.txt,117.txt,0.7786,1.0
15.txt,122.txt,0.1989,0.0
15.txt,138.txt,0.9815,1.0
15.txt,155.txt,0.3342,0.0
15.txt,150.txt,0.4485,0.0
15.txt,118.txt,0.2164,0.0
15.txt,156.txt,0.2429,0.0
15.txt,136.txt,0.5192,1.0
15.txt,149.txt,0.3518,0.0
15.txt,114.txt,0.7346,1.0
9.txt,147.txt,0.2565,0.0
9.txt,153.txt,0.1064,0.0
9.txt,116.txt,0.4056,0.0
9.txt,134.txt,0.6139,0.0
9.txt,159.txt,0.3369,0.0
9.txt,145.txt,0.3357,0.0
9.txt,146.txt,0.2719,0.0
9.txt,158.txt,0.2719,0.0
9.txt,132.txt,0.3573,0.0
9.txt,140.txt,1.0,1.0
9.txt,154.txt,0.4354,0.0
9.txt,141.txt,1.0,1.0
9.txt,120.txt,0.2525,0.0
9.txt,142.txt,0.2525,0.0
9.txt,152.txt,0.2525,0.0
9.txt,124.txt,0.221,0.0
9.txt,148.txt,0.4176,0.0
9.txt,123.txt,0.2719,0.0
9.txt,117.txt,0.2672,0.0
9.txt,122.txt,0.2719,0.0
9.txt,138.txt,0.3207,0.0
9.txt,155.txt,1.0,1.0
9.txt,150.txt,1.0,1.0
9.txt,118.txt,0.9651,1.0
9.txt,156.txt,0.9651,1.0
9.txt,136.txt,0.3573,0.0
9.txt,149.txt,0.6152,1.0
9.txt,114.txt,0.2423,0.0
30.txt,147.txt,0.1709,0.0
30.txt,153.txt,0.2059,0.0
30.txt,116.txt,0.5483,1.0
30.txt,134.txt,1.0,1.0
30.txt,159.txt,1.0,1.0
30.txt,145.txt,0.6847,1.0
30.txt,146.txt,0.2995,0.0
30.txt,158.txt,0.0613,0.0
30.txt,132.txt,0.5022,1.0
30.txt,140.txt,0.6903,0.0
30.txt,154.txt,0.6283,1.0
30.txt,141.txt,0.6903,0.0
30.txt,120.txt,0.4403,0.0
30.txt,142.txt,0.4403,0.0
30.txt,152.txt,0.4403,0.0
30.txt,124.txt,0.1065,0.0
30.txt,148.txt,1.0,1.0
30.txt,123.txt,0.1052,0.0
30.txt,117.txt,1.0,1.0
30.txt,122.txt,0.2026,0.0
30.txt,138.txt,1.0,1.0
30.txt,155.txt,0.6903,0.0
30.txt,150.txt,0.6903,0.0
30.txt,118.txt,0.5192,0.0
30.txt,156.txt,0.3307,0.0
30.txt,136.txt,0.7068,1.0
30.txt,149.txt,0.4619,0.0
30.txt,114.txt,1.0,1.0
11.txt,147.txt,0.2332,0.0
11.txt,153.txt,0.1856,0.0
11.txt,116.txt,0.6593,0.0
11.txt,134.txt,0.6139,0.0
11.txt,159.txt,0.3369,0.0
11.txt,145.txt,0.3984,0.0
11.txt,146.txt,0.4224,0.0
11.txt,158.txt,0.2332,0.0
11.txt,132.txt,0.444,0.0
11.txt,140.txt,1.0,1.0
11.txt,154.txt,0.7077,0.0
11.txt,141.txt,1.0,1.0
11.txt,120.txt,0.3899,0.0
11.txt,142.txt,0.3899,0.0
11.txt,152.txt,0.3889,0.0
11.txt,124.txt,0.1856,0.0
11.txt,148.txt,0.4176,0.0
11.txt,123.txt,0.224,0.0
11.txt,117.txt,0.4343,0.0
11.txt,122.txt,0.2508,0.0
11.txt,138.txt,0.4328,0.0
11.txt,155.txt,1.0,1.0
11.txt,150.txt,1.0,1.0
11.txt,118.txt,1.0,1.0
11.txt,156.txt,1.0,1.0
11.txt,136.txt,0.5187,0.0
11.txt,149.txt,1.0,1.0
11.txt,114.txt,0.4328,0.0
21.txt,147.txt,0.1825,0.0
21.txt,153.txt,0.1825,0.0
21.txt,116.txt,0.5133,0.0
21.txt,134.txt,0.4834,0.0
21.txt,159.txt,0.3315,0.0
