LOWERTRACED_MAX_MULTI_LSA_MAX.csv,Associated
0.6926420695504665,NO
0.6926420695504665,NO
0.7328244274809159,NO
0.7328244274809159,NO
0.7328244274809159,NO
0.7328244274809159,NO
0.6926420695504665,NO
0.6926420695504665,NO
0.7328244274809159,NO
0.8348176420695504,YES
0.7328244274809159,NO
0.8348176420695504,YES
0.6997455470737913,NO
0.6997455470737913,NO
0.6997455470737913,NO
0.6926420695504665,NO
0.7328244274809159,NO
0.6926420695504665,NO
0.7328244274809159,NO
0.6926420695504665,NO
0.7328244274809159,NO
0.8348176420695504,YES
0.8348176420695504,YES
0.8348176420695504,YES
0.8348176420695504,YES
0.7328244274809159,NO
0.8348176420695504,YES
0.7328244274809159,NO
0.3918575063613232,YES
0.3918575063613232,YES
0.8662001696352841,NO
0.9227099236641222,NO
0.9227099236641222,NO
0.8662001696352841,NO
0.3947,YES
0.3918575063613232,YES
0.8662001696352841,NO
0.32538167938931295,NO
0.8662001696352841,NO
0.32538167938931295,NO
0.4470949957591179,NO
0.4470949957591179,NO
0.4470949957591179,NO
0.3918575063613232,YES
0.9227099236641222,NO
0.3918575063613232,YES
0.9227099236641222,NO
0.3918575063613232,YES
0.9227099236641222,NO
0.32538167938931295,NO
0.32538167938931295,NO
0.32538167938931295,NO
0.32538167938931295,NO
0.8662001696352841,NO
0.32538167938931295,NO
0.8662001696352841,NO
0.8615351993214588,NO
0.8615351993214588,NO
0.6530958439355385,NO
0.6552162849872772,NO
0.6552162849872772,NO
0.6530958439355385,NO
0.8615351993214588,NO
0.8615351993214588,NO
0.6530958439355385,NO
0.9202714164546224,YES
0.6530958439355385,NO
0.9202714164546224,YES
0.5789864291772688,NO
0.5789864291772688,NO
0.5789864291772688,NO
0.8615351993214588,NO
0.6552162849872772,NO
0.8615351993214588,NO
0.6552162849872772,NO
0.8615351993214588,NO
0.6552162849872772,NO
0.9202714164546224,YES
0.9202714164546224,YES
0.9202714164546224,YES
0.9202714164546224,YES
0.6530958439355385,NO
0.9202714164546224,YES
0.6530958439355385,NO
0.4201653944020357,YES
0.4201653944020357,YES
0.9027777777777778,NO
0.9118956743002544,NO
