LOWERTRACED_SUM_MULTI_LSA_MAX.csv,Associated
0.25219390268376785,NO
0.25219390268376785,NO
0.7420955647588988,NO
0.565999525642663,NO
0.565999525642663,NO
0.7420955647588988,NO
0.25219390268376785,NO
0.25219390268376785,NO
0.7420955647588988,NO
0.5386874897374615,YES
0.7420955647588988,NO
0.5386874897374615,YES
0.24863622265603624,NO
0.24863622265603624,NO
0.24863622265603624,NO
0.25219390268376785,NO
0.565999525642663,NO
0.25219390268376785,NO
0.565999525642663,NO
0.25219390268376785,NO
0.565999525642663,NO
0.5386874897374615,YES
0.5386874897374615,YES
0.5386874897374615,YES
0.5386874897374615,YES
0.7420955647588988,NO
0.5386874897374615,YES
0.7420955647588988,NO
0.17976318622174384,YES
0.2444,YES
0.6370071700935943,NO
0.6069402127310212,NO
0.6069402127310212,NO
0.6370071700935943,NO
0.3947,YES
0.17976318622174384,YES
0.6370071700935943,NO
0.2332378537154951,NO
0.6370071700935943,NO
0.2332378537154951,NO
0.1797,NO
0.15460400284614406,NO
0.1551,NO
0.2811,YES
0.6069402127310212,NO
0.17976318622174384,YES
0.6069402127310212,NO
0.3399,YES
0.6069402127310212,NO
0.2332378537154951,NO
0.2332378537154951,NO
0.2332378537154951,NO
0.2332378537154951,NO
0.6370071700935943,NO
0.2332378537154951,NO
0.6370071700935943,NO
0.43945558373319227,NO
0.43945558373319227,NO
0.7203116162814034,NO
0.5630804035686268,NO
0.5630804035686268,NO
0.7203116162814034,NO
0.43945558373319227,NO
0.43945558373319227,NO
0.7203116162814034,NO
0.5602525040594042,YES
0.7203116162814034,NO
0.5602525040594042,YES
0.205,NO
0.2168,NO
0.2136,NO
0.43945558373319227,NO
0.5630804035686268,NO
0.43945558373319227,NO
0.5630804035686268,NO
0.43945558373319227,NO
0.5630804035686268,NO
0.5602525040594042,YES
0.5602525040594042,YES
0.5602525040594042,YES
0.5602525040594042,YES
0.7203116162814034,NO
0.5602525040594042,YES
0.7203116162814034,NO
0.1917315867252924,YES
0.1917315867252924,YES
0.7353450949626898,NO
0.6887121198299612,NO
0.6887121198299612,NO
0.7353450949626898,NO
0.3435,YES
0.1917315867252924,YES
0.7353450949626898,NO
0.25706518764481584,NO
0.7353450949626898,NO
0.25706518764481584,NO
0.2289,NO
0.2088,NO
0.2075,NO
0.1923,YES
0.6887121198299612,NO
0.1917315867252924,YES
0.6887121198299612,NO
0.3081,YES
0.6887121198299612,NO
0.25706518764481584,NO
0.25706518764481584,NO
0.25706518764481584,NO
0.25706518764481584,NO
0.7353450949626898,NO
0.25706518764481584,NO
0.7353450949626898,NO
0.2141540931564832,NO
0.2141540931564832,NO
0.9880863330353395,YES
0.4974184014157742,YES
0.4974184014157742,YES
0.9880863330353395,YES
0.2141540931564832,NO
0.2141540931564832,NO
0.9880863330353395,YES
0.479155643940085,NO
0.9880863330353395,YES
0.479155643940085,NO
0.2165,NO
0.1934,NO
0.1934,NO
0.2141540931564832,NO
0.4974184014157742,YES
0.2141540931564832,NO
0.4974184014157742,YES
0.2141540931564832,NO
0.4974184014157742,YES
0.479155643940085,NO
0.479155643940085,NO
0.479155643940085,NO
0.479155643940085,NO
0.9880863330353395,YES
0.479155643940085,NO
0.9880863330353395,YES
0.3584134571527613,NO
0.3584134571527613,NO
0.7954972542007991,NO
0.7930342449508311,NO
0.7930342449508311,NO
0.7954972542007991,NO
0.3584134571527613,NO
0.3584134571527613,NO
0.7954972542007991,NO
0.5590301216909015,YES
0.7954972542007991,NO
0.5590301216909015,YES
0.237580047800624,NO
0.237580047800624,NO
0.237580047800624,NO
0.3584134571527613,NO
0.7930342449508311,NO
0.3584134571527613,NO
