NONETRACED_MAX_MULTI_VSM_MAX.csv,Associated
0.2356,NO
0.1164,NO
0.1376,NO
0.3093,NO
0.1755,NO
0.1938,NO
0.2173,NO
0.1745,NO
0.2141,NO
0.5328,YES
0.1194,NO
0.4567,YES
0.2918,NO
0.282,NO
0.2223,NO
0.2358,NO
0.2383,NO
0.2327,NO
0.1542,NO
0.2179,NO
0.2209,NO
0.3465,YES
0.5015,YES
0.2839,YES
0.3987,YES
0.1805,NO
0.2069,YES
0.1701,NO
0.2803,YES
0.2821,YES
0.3362,NO
0.1791,NO
0.1563,NO
0.2444,NO
0.5234,YES
0.2076,YES
0.1922,NO
0.1692,NO
0.1581,NO
0.1443,NO
0.2584,NO
0.23600000000000002,NO
0.1953,NO
0.5717,YES
0.1413,NO
0.2768,YES
0.1687,NO
0.3484,YES
0.127,NO
0.1484,NO
0.1789,NO
0.1597,NO
0.126,NO
0.2268,NO
0.1504,NO
0.1506,NO
0.3088,NO
0.1534,NO
0.3097,NO
0.5644,NO
0.31,NO
0.4016,NO
0.3258,NO
0.1066,NO
0.3028,NO
0.9462,YES
0.2785,NO
0.4529,YES
0.2522,NO
0.35200000000000004,NO
0.2136,NO
0.3167,NO
0.4175,NO
0.3069,NO
0.3405,NO
0.1755,NO
0.4224,NO
0.83,YES
1.0,YES
0.7321,YES
0.3954,YES
0.303,NO
0.5483,YES
0.2372,NO
0.3105,YES
0.2106,YES
0.3356,NO
0.228,NO
0.1989,NO
0.2306,NO
0.3908,YES
0.2375,YES
0.2344,NO
0.2193,NO
0.1598,NO
0.188,NO
0.3157,NO
0.285,NO
0.2386,NO
0.4268,YES
0.1759,NO
0.2823,YES
0.2148,NO
0.3081,YES
0.1617,NO
0.1815,NO
0.2187,NO
0.1854,NO
0.1641,NO
0.2201,NO
0.1746,NO
0.184,NO
0.2556,NO
0.0849,NO
0.3116,YES
0.6166,YES
0.5411,YES
0.3951,YES
0.2525,NO
0.1691,NO
0.335,YES
0.2975,NO
0.278,YES
0.1577,NO
0.2986,NO
0.3325,NO
0.2412,NO
0.1663,NO
0.4631,YES
0.2254,NO
0.5156,YES
0.1882,NO
0.5358,YES
0.2431,NO
0.4169,NO
0.3006,NO
0.138,NO
0.3603,YES
0.2838,NO
0.2703,YES
0.3049,NO
0.111,NO
0.3565,NO
0.5352,NO
0.2939,NO
0.3946,NO
0.3089,NO
0.2258,NO
0.2962,NO
0.8971,YES
0.3093,NO
0.5465,YES
0.2548,NO
0.3375,NO
0.19699999999999998,NO
0.2249,NO
0.3413,NO
0.3011,NO
0.2733,NO
0.2019,NO
0.2968,NO
0.7869,YES
0.9481,YES
0.6131,YES
0.4771,YES
0.3029,NO
0.4832,YES
0.2044,NO
0.1741,NO
0.0774,NO
0.2644,YES
0.4836,YES
0.4244,YES
0.3353,YES
0.1807,NO
0.11800000000000001,NO
0.2746,YES
0.433,NO
0.2359,YES
0.2419,NO
0.2568,NO
0.2571,NO
0.2375,NO
0.1513,NO
0.3632,YES
0.1573,NO
0.3768,YES
0.1597,NO
0.3361,YES
0.3798,NO
0.4576,NO
0.3496,NO
0.2111,NO
0.3057,YES
0.2619,NO
0.2294,YES
0.2969,NO
0.1149,NO
0.2722,NO
0.3065,NO
0.2386,NO
0.3398,NO
0.2154,NO
0.2271,NO
0.3147,NO
0.5279,YES
0.2493,NO
0.4525,YES
0.3323,NO
0.3272,NO
0.2685,NO
0.2328,NO
0.2361,NO
0.2701,NO
0.2577,NO
0.2256,NO
0.19399999999999998,NO
0.3655,YES
0.49700000000000005,YES
0.3917,YES
0.395,YES
0.3153,NO
0.3689,YES
0.2626,NO
0.2944,NO
0.1374,NO
0.4128,NO
0.4117,NO
0.2823,NO
0.4569,NO
0.3004,NO
0.1016,NO
0.3429,NO
0.7547,YES
0.3581,NO
0.3322,YES
0.22399999999999998,NO
0.32299999999999995,NO
0.0706,NO
0.3019,NO
0.39799999999999996,NO
0.2925,NO
0.3308,NO
0.1309,NO
0.4027,NO
0.6302,YES
0.8367,YES
0.6979,YES
0.2678,YES
0.3432,NO
0.5595,YES
0.2345,NO
0.2944,NO
0.0994,NO
0.3406,NO
0.5077,NO
0.2788,NO
0.377,NO
0.293,NO
0.2252,NO
0.2829,NO
0.8511,YES
0.2955,NO
0.4897,YES
0.2912,NO
0.3166,NO
0.22699999999999998,NO
0.2091,NO
0.3238,NO
0.2676,NO
0.2902,NO
0.1912,NO
0.2789,NO
0.7466,YES
0.8995,YES
0.5817,YES
0.4275,YES
0.2857,NO
0.4616,YES
0.21,NO
0.29100000000000004,NO
0.1106,NO
0.2714,NO
0.5348,NO
0.2937,NO
0.3083,NO
0.3087,NO
0.1473,NO
0.2324,NO
0.8966,YES
0.2354,NO
0.4352,YES
0.282,NO
0.3335,NO
0.2131,NO
0.2431,NO
0.3411,NO
0.2355,NO
0.2614,NO
0.1702,NO
0.3242,NO
0.7864,YES
0.9475,YES
0.6127,YES
0.38,YES
0.2371,NO
0.4208,YES
0.2042,NO
0.2502,NO
0.1006,NO
0.5321,YES
0.3242,YES
0.2829,YES
0.5276,YES
0.2732,NO
0.1861,NO
0.5235,YES
0.2509,NO
0.4091,YES
0.121,NO
0.3398,NO
0.2945,NO
0.2417,NO
0.2039,NO
0.2501,YES
0.2471,NO
0.3749,YES
0.2129,NO
0.2518,YES
0.2703,NO
0.3467,NO
0.4412,NO
0.1712,NO
0.4896,YES
0.4155,NO
0.431,YES
0.3183,NO
0.1547,NO
0.5557,YES
0.2764,NO
0.2717,NO
0.7629,YES
0.3518,NO
0.12,NO
0.8170000000000001,YES
0.2414,NO
0.547,YES
0.1547,NO
0.4028,NO
0.4022,NO
0.3254,NO
0.1965,NO
0.3623,NO
0.1902,NO
0.509,NO
0.1807,NO
0.3894,NO
0.2505,NO
0.3213,NO
0.4676,NO
0.2166,NO
0.62,YES
0.5021,NO
0.4957,YES
0.289,NO
0.0951,NO
0.457,YES
0.4798,YES
0.42100000000000004,YES
0.5123,YES
0.2595,NO
0.221,NO
0.5487,YES
0.5755,NO
0.3953,YES
0.3044,NO
0.3581,NO
0.3525,NO
0.2893,NO
0.1928,NO
0.3603,YES
0.2627,NO
0.5392,YES
0.2035,NO
0.4124,YES
0.5048,NO
0.6083,NO
0.5131,NO
0.2658,NO
0.4164,YES
0.4832,NO
0.4165,YES
0.2442,NO
0.1646,NO
0.5359,YES
0.2819,NO
0.2459,NO
0.5646,YES
0.2752,NO
0.153,NO
0.6706,YES
0.3096,NO
0.5737,YES
0.1456,NO
0.4162,NO
0.3005,NO
0.1803,NO
0.1895,NO
0.2747,NO
0.1834,NO
0.4421,NO
0.1664,NO
0.3382,NO
0.2612,NO
0.3432,NO
0.4524,NO
0.21600000000000003,NO
0.4638,YES
0.4421,NO
0.528,YES
0.11900000000000001,NO
0.0518,NO
0.1378,YES
0.2745,YES
0.2213,YES
0.1653,YES
0.1188,NO
0.0842,NO
0.1805,YES
0.1268,NO
0.1359,YES
0.1087,NO
0.2464,NO
0.2225,NO
0.1863,NO
0.0979,NO
0.2155,YES
0.1072,NO
0.2619,YES
0.1347,NO
0.2572,YES
0.1048,NO
0.1705,NO
0.1471,NO
0.0949,NO
0.1423,YES
0.1442,NO
0.1436,YES
0.6459,YES
0.0976,YES
0.3634,NO
0.2171,NO
0.1894,NO
0.2215,NO
0.2394,YES
0.4939,YES
0.2571,NO
0.2151,NO
0.1797,NO
0.16699999999999998,NO
0.3471,NO
0.3133,NO
0.2623,NO
0.1979,YES
0.1675,NO
0.5870000000000001,YES
0.2045,NO
0.3826,YES
0.1539,NO
0.1887,NO
0.2273,NO
0.2024,NO
0.1458,NO
0.2177,NO
0.1906,NO
0.2023,NO
0.2985,NO
0.1352,NO
0.5273,YES
0.3525,YES
0.3075,YES
0.7143,YES
0.3377,NO
0.1228,NO
0.765,YES
0.2465,NO
0.6027,YES
0.1448,NO
0.4829,NO
0.391,NO
0.3133,NO
0.1661,NO
0.3392,YES
0.1607,NO
0.4637,YES
0.1673,NO
0.3238,YES
0.2411,NO
0.3092,NO
0.4753,NO
0.2175,NO
0.5805,YES
0.4701,NO
0.6125,YES
0.3203,NO
0.0984,NO
0.4277,YES
0.4091,YES
0.3568,YES
0.4362,YES
0.2324,NO
0.245,NO
0.4671,YES
0.4565,NO
0.3631,YES
0.2572,NO
0.3016,NO
0.293,NO
0.2404,NO
0.1994,NO
0.3156,YES
0.2912,NO
0.3854,YES
0.1968,NO
0.29,YES
0.4005,NO
0.4825,NO
0.4595,NO
0.2246,NO
0.3716,YES
0.4327,NO
0.3826,YES
0.2191,NO
0.1099,NO
0.5706,YES
0.2882,YES
0.2514,YES
0.4959,YES
0.293,NO
0.1622,NO
0.5311,YES
0.3543,NO
0.4364,YES
0.1559,NO
0.3249,NO
0.2713,NO
0.1323,NO
0.2034,NO
0.2592,YES
0.1975,NO
0.4171,YES
0.1773,NO
0.319,YES
0.2958,NO
0.3928,NO
0.4418,NO
0.1715,NO
0.4311,YES
0.4208,NO
0.4121,YES
0.3075,NO
0.1451,NO
0.5435,YES
0.3611,YES
0.315,YES
0.635,YES
0.3479,NO
0.1263,NO
0.7882,YES
0.2302,NO
