UPPERTRACED_RFUNDER_MULTI_VSM_MAX.csv,Associated
0.51,NO
0.56,NO
0.26,NO
0.76,NO
0.66,NO
0.71,NO
0.71,NO
0.81,NO
0.5,NO
0.71,YES
0.36,NO
0.66,YES
0.89,NO
0.96,NO
0.2223,NO
0.88,NO
0.99,NO
0.92,NO
0.87,NO
0.8,NO
0.88,NO
0.71,YES
0.71,YES
0.71,YES
0.36,YES
0.5,NO
0.71,YES
0.92,NO
0.71,YES
0.5,YES
0.65,NO
0.82,NO
0.95,NO
0.86,NO
0.59,YES
0.8,YES
0.89,NO
0.89,NO
0.4,NO
0.84,NO
0.95,NO
0.58,NO
0.1551,NO
0.34,YES
0.85,NO
0.71,YES
0.04,NO
0.71,YES
0.95,NO
0.63,NO
0.81,NO
0.93,NO
0.72,NO
0.82,NO
0.96,NO
0.96,NO
0.51,NO
0.56,NO
0.26,NO
0.76,NO
0.66,NO
0.71,NO
0.71,NO
0.81,NO
0.5,NO
0.71,YES
0.36,NO
0.66,YES
0.89,NO
0.96,NO
0.2136,NO
0.88,NO
0.99,NO
0.92,NO
0.87,NO
0.8,NO
0.88,NO
0.71,YES
0.71,YES
0.71,YES
0.36,YES
0.5,NO
0.71,YES
0.92,NO
0.71,YES
0.5,YES
0.65,NO
0.82,NO
0.95,NO
0.86,NO
0.59,YES
0.8,YES
0.89,NO
0.89,NO
0.4,NO
0.84,NO
0.95,NO
0.58,NO
0.2075,NO
0.34,YES
0.85,NO
0.71,YES
0.04,NO
0.71,YES
0.95,NO
0.63,NO
0.81,NO
0.93,NO
0.72,NO
0.82,NO
0.96,NO
0.96,NO
0.56,NO
0.53,NO
0.94,YES
0.71,YES
0.71,YES
0.71,YES
0.51,NO
0.4,NO
0.94,YES
0.52,NO
0.98,YES
0.94,NO
0.89,NO
0.88,NO
0.84,NO
0.92,NO
0.71,YES
0.91,NO
0.71,YES
0.91,NO
0.71,YES
0.58,NO
0.89,NO
0.99,NO
0.94,NO
0.71,YES
0.99,NO
0.5,YES
0.51,NO
0.56,NO
0.26,NO
0.76,NO
0.66,NO
0.71,NO
0.71,NO
0.81,NO
0.5,NO
0.71,YES
0.36,NO
0.66,YES
0.89,NO
0.96,NO
0.1689,NO
0.88,NO
0.99,NO
0.92,NO
0.87,NO
0.8,NO
0.88,NO
0.71,YES
0.71,YES
0.71,YES
0.36,YES
0.5,NO
0.71,YES
0.92,NO
0.56,NO
0.53,NO
0.94,YES
0.71,YES
0.71,YES
0.71,YES
0.51,NO
0.4,NO
0.94,YES
0.52,NO
0.98,YES
0.94,NO
0.89,NO
0.88,NO
0.84,NO
0.92,NO
0.71,YES
0.91,NO
0.71,YES
0.91,NO
0.71,YES
0.58,NO
0.89,NO
0.99,NO
0.94,NO
0.71,YES
0.99,NO
0.5,YES
0.51,NO
0.56,NO
0.26,NO
0.76,NO
0.66,NO
0.71,NO
0.71,NO
0.81,NO
0.5,NO
0.71,YES
0.36,NO
0.66,YES
0.89,NO
0.96,NO
0.2033,NO
0.88,NO
0.99,NO
0.92,NO
0.87,NO
0.8,NO
0.88,NO
0.71,YES
0.71,YES
0.71,YES
0.36,YES
0.5,NO
0.71,YES
0.92,NO
0.51,NO
0.56,NO
0.26,NO
0.76,NO
0.66,NO
0.71,NO
0.71,NO
0.81,NO
0.5,NO
0.71,YES
0.36,NO
0.66,YES
0.89,NO
0.96,NO
0.0647,NO
0.88,NO
0.99,NO
0.92,NO
0.87,NO
0.8,NO
0.88,NO
0.71,YES
0.71,YES
0.71,YES
0.36,YES
0.5,NO
0.71,YES
0.92,NO
0.51,NO
0.56,NO
0.26,NO
0.76,NO
0.66,NO
0.71,NO
0.71,NO
0.81,NO
0.5,NO
0.71,YES
0.36,NO
0.66,YES
0.89,NO
0.96,NO
0.2007,NO
0.88,NO
0.99,NO
0.92,NO
0.87,NO
0.8,NO
0.88,NO
0.71,YES
0.71,YES
0.71,YES
0.36,YES
0.5,NO
0.71,YES
0.92,NO
0.51,NO
0.56,NO
0.26,NO
0.76,NO
0.66,NO
0.71,NO
0.71,NO
0.81,NO
0.5,NO
0.71,YES
0.36,NO
0.66,YES
0.89,NO
0.96,NO
0.2045,NO
0.88,NO
0.99,NO
0.92,NO
0.87,NO
0.8,NO
0.88,NO
0.71,YES
0.71,YES
0.71,YES
0.36,YES
0.5,NO
0.71,YES
0.92,NO
0.87,NO
0.79,NO
0.71,YES
0.32,YES
0.3,YES
0.71,YES
0.98,NO
0.96,NO
0.71,YES
0.93,NO
0.71,YES
0.85,NO
0.92,NO
0.99,NO
0.96,NO
0.98,NO
0.99,YES
0.94,NO
0.71,YES
0.66,NO
0.99,YES
0.83,NO
0.88,NO
0.71,NO
0.82,NO
0.71,YES
0.71,NO
0.71,YES
0.81,NO
0.1547,NO
0.92,YES
0.2156,NO
0.1535,NO
0.88,YES
0.97,NO
0.45,NO
0.88,YES
0.191,NO
0.88,YES
0.1528,NO
0.98,NO
1.0,NO
0.2648,NO
0.171,NO
0.97,NO
0.57,NO
0.3673,NO
0.1451,NO
0.2637,NO
0.1991,NO
0.79,NO
0.92,NO
0.1917,NO
0.88,YES
0.93,NO
0.88,YES
0.56,NO
0.53,NO
0.94,YES
0.71,YES
0.71,YES
0.71,YES
0.51,NO
0.4,NO
0.94,YES
0.52,NO
0.98,YES
0.94,NO
0.89,NO
0.88,NO
0.84,NO
0.92,NO
0.71,YES
0.91,NO
0.71,YES
0.91,NO
0.71,YES
0.58,NO
0.89,NO
0.99,NO
0.94,NO
0.71,YES
0.99,NO
0.5,YES
0.41,NO
0.1646,NO
0.88,YES
0.85,NO
0.1649,NO
0.88,YES
0.1681,NO
0.52,NO
0.88,YES
0.159,NO
0.88,YES
0.61,NO
0.98,NO
0.1542,NO
0.69,NO
0.1775,NO
0.2106,NO
0.1654,NO
1.0,NO
0.0902,NO
0.2663,NO
0.2218,NO
0.1764,NO
1.0,NO
0.21600000000000003,NO
0.93,YES
1.0,NO
0.88,YES
0.56,NO
0.53,NO
0.94,YES
0.71,YES
0.71,YES
0.71,YES
0.51,NO
0.4,NO
0.94,YES
0.52,NO
0.98,YES
0.94,NO
0.89,NO
0.88,NO
0.84,NO
0.92,NO
0.71,YES
0.91,NO
0.71,YES
0.91,NO
0.71,YES
0.58,NO
0.89,NO
0.99,NO
0.94,NO
0.71,YES
0.99,NO
0.5,YES
0.71,YES
0.5,YES
0.65,NO
0.82,NO
0.95,NO
0.86,NO
0.59,YES
0.8,YES
0.89,NO
0.89,NO
0.4,NO
0.84,NO
0.95,NO
0.58,NO
0.1446,NO
0.34,YES
0.85,NO
0.71,YES
0.04,NO
0.71,YES
0.95,NO
0.63,NO
0.81,NO
0.93,NO
0.72,NO
0.82,NO
0.96,NO
0.96,NO
0.87,NO
0.79,NO
0.71,YES
0.32,YES
0.3,YES
0.71,YES
0.98,NO
0.96,NO
0.71,YES
0.93,NO
0.71,YES
0.85,NO
0.92,NO
0.99,NO
0.96,NO
0.98,NO
0.99,YES
0.94,NO
0.71,YES
0.66,NO
0.99,YES
0.83,NO
0.88,NO
0.71,NO
0.82,NO
0.71,YES
0.71,NO
0.71,YES
0.87,NO
0.79,NO
0.71,YES
0.32,YES
0.3,YES
0.71,YES
0.98,NO
0.96,NO
0.71,YES
0.93,NO
0.71,YES
0.85,NO
0.92,NO
0.99,NO
0.96,NO
0.98,NO
0.99,YES
0.94,NO
0.71,YES
0.66,NO
0.99,YES
0.83,NO
0.88,NO
0.71,NO
0.82,NO
0.71,YES
0.71,NO
0.71,YES
0.87,NO
0.79,NO
0.71,YES
0.32,YES
0.3,YES
0.71,YES
0.98,NO
0.96,NO
0.71,YES
0.93,NO
0.71,YES
0.85,NO
0.92,NO
0.99,NO
0.96,NO
0.98,NO
0.99,YES
0.94,NO
0.71,YES
0.66,NO
0.99,YES
0.83,NO
0.88,NO
0.71,NO
0.82,NO
0.71,YES
0.71,NO
0.71,YES
0.87,NO
0.79,NO
0.71,YES
0.32,YES
0.3,YES
0.71,YES
0.98,NO
0.96,NO
0.71,YES
0.93,NO
0.71,YES
0.85,NO
0.92,NO
0.99,NO
0.96,NO
0.98,NO
0.99,YES
0.94,NO
0.71,YES
0.66,NO
0.99,YES
0.83,NO
0.88,NO
0.71,NO
0.82,NO
0.71,YES
0.71,NO
0.71,YES
0.56,NO
0.53,NO
0.94,YES
0.71,YES
0.71,YES
0.71,YES
0.51,NO
0.4,NO
0.94,YES
0.52,NO
0.98,YES
0.94,NO
0.89,NO
0.88,NO
0.84,NO
0.92,NO
0.71,YES
0.91,NO
0.71,YES
0.91,NO
0.71,YES
0.58,NO
0.89,NO
0.99,NO
0.94,NO
0.71,YES
0.99,NO
0.5,YES
0.56,NO
0.53,NO
0.94,YES
0.71,YES
0.71,YES
0.71,YES
0.51,NO
0.4,NO
0.94,YES
0.52,NO
0.98,YES
0.94,NO
0.89,NO
0.88,NO
0.84,NO
0.92,NO
0.71,YES
0.91,NO
0.71,YES
0.91,NO
0.71,YES
0.58,NO
0.89,NO
0.99,NO
0.94,NO
0.71,YES
0.99,NO
0.5,YES
0.79,NO
0.45,NO
0.26,NO
0.94,NO
0.42,NO
0.62,NO
0.98,NO
0.2,NO
0.88,NO
0.1291,NO
0.82,NO
0.39,NO
0.88,YES
0.88,YES
0.88,YES
0.22,NO
0.0711,NO
0.0797,NO
0.28,NO
0.1551,NO
0.26,NO
0.49,NO
0.0745,NO
0.61,NO
0.0541,NO
0.1685,NO
0.62,NO
1.0,NO
0.71,YES
0.5,YES
0.65,NO
0.82,NO
0.95,NO
0.86,NO
0.59,YES
0.8,YES
0.89,NO
0.89,NO
0.4,NO
0.84,NO
0.95,NO
0.58,NO
0.1562,NO
0.34,YES
0.85,NO
0.71,YES
0.04,NO
0.71,YES
0.95,NO
0.63,NO
0.81,NO
0.93,NO
0.72,NO
0.82,NO
0.96,NO
0.96,NO
0.56,NO
0.53,NO
0.94,YES
0.71,YES
0.71,YES
0.71,YES
0.51,NO
0.4,NO
0.94,YES
0.52,NO
0.98,YES
0.94,NO
0.89,NO
0.88,NO
0.84,NO
0.92,NO
0.71,YES
0.91,NO
0.71,YES
0.91,NO
0.71,YES
0.58,NO
0.89,NO
0.99,NO
0.94,NO
0.71,YES
0.99,NO
0.5,YES
0.71,YES
0.5,YES
0.65,NO
0.82,NO
0.95,NO
0.86,NO
0.59,YES
0.8,YES
0.89,NO
0.89,NO
0.4,NO
0.84,NO
0.95,NO
0.58,NO
0.132,NO
0.34,YES
0.85,NO
0.71,YES
0.04,NO
0.71,YES
0.95,NO
0.63,NO
0.81,NO
0.93,NO
0.72,NO
0.82,NO
0.96,NO
0.96,NO
0.51,NO
0.56,NO
0.26,NO
0.76,NO
0.66,NO
0.71,NO
0.71,NO
0.81,NO
0.5,NO
0.71,YES
0.36,NO
0.66,YES
0.89,NO
0.96,NO
0.2504,NO
0.88,NO
0.99,NO
0.92,NO
0.87,NO
0.8,NO
0.88,NO
0.71,YES
0.71,YES
0.71,YES
0.36,YES
0.5,NO
0.71,YES
0.92,NO
0.71,YES
0.5,YES
0.65,NO
0.82,NO
0.95,NO
0.86,NO
0.59,YES
0.8,YES
0.89,NO
0.89,NO
0.4,NO
0.84,NO
0.95,NO
0.58,NO
0.1463,NO
0.34,YES
0.85,NO
0.71,YES
0.04,NO
0.71,YES
0.95,NO
0.63,NO
0.81,NO
0.93,NO
0.72,NO
0.82,NO
0.96,NO
0.96,NO
0.51,NO
0.56,NO
0.26,NO
0.76,NO
0.66,NO
0.71,NO
0.71,NO
0.81,NO
0.5,NO
0.71,YES
0.36,NO
0.66,YES
0.89,NO
0.96,NO
0.2176,NO
0.88,NO
0.99,NO
0.92,NO
0.87,NO
0.8,NO
0.88,NO
0.71,YES
0.71,YES
0.71,YES
0.36,YES
0.5,NO
0.71,YES
0.92,NO
