UPPERTRACED_RFSMOTE_SINGLE_LSA_SUM.csv,Associated
0.22345276872964165,NO
0.05805284111473035,NO
0.18776692001447695,NO
0.739341295693087,NO
0.38516105682229457,NO
0.37321751719145846,NO
0.4805646036916394,NO
0.09619978284473396,NO
0.12587766920014473,NO
0.32710821570756415,YES
0.4463264567499094,NO
0.8273615635179151,YES
0.3240680419833514,NO
0.16511038726022434,NO
0.3165399927614911,NO
0.14419109663409335,NO
0.04024610930148388,NO
0.30828809265291346,NO
0.13731451321027865,NO
0.4219326818675352,NO
0.10836047774158522,NO
0.7331885631559898,YES
0.04733984799131378,YES
0.5731451321027867,YES
0.6840390879478826,YES
0.28396670285921094,NO
0.4680419833514295,YES
0.07636626854867895,NO
0.0667390517553384,YES
0.1660513934129569,YES
0.746435034382917,NO
0.1323923271806008,NO
0.3183496199782844,NO
0.06963445530220772,NO
0.6802026782482808,YES
0.05841476655808902,YES
0.08787549764748459,NO
0.11625045240680418,NO
0.7116178067318131,NO
0.1887803112558813,NO
0.11921824104234524,NO
0.1647484618168657,NO
0.6877307274701411,NO
0.4242490047050307,YES
0.36308360477741575,NO
0.36018820123054646,YES
0.5277596815056097,NO
0.6115816141874773,YES
0.34469779225479547,NO
0.07687296416938111,NO
0.19681505609844369,NO
0.17263843648208466,NO
0.04719507781397031,NO
0.7204487875497646,NO
0.1208107129931234,NO
0.7714802750633368,NO
0.23423814694172995,NO
0.12189648932319941,NO
0.2013029315960912,NO
0.7900832428519724,NO
0.44603691639522247,NO
0.42823018458197604,NO
0.5439739413680781,NO
0.08389431777053927,NO
0.16192544335866807,NO
0.47947882736156344,YES
0.5177705392689105,NO
0.7285559174809988,YES
0.29677886355410776,NO
0.16055012667390514,NO
0.31024249004705023,NO
0.20043431053203037,NO
0.10010857763300757,NO
0.3197973217517191,NO
0.22417661961635899,NO
0.39124140427072013,NO
0.18472674629026417,NO
0.9999999999999998,YES
0.29692363373145125,YES
0.716829533116178,YES
0.6385088671733622,YES
0.29019182048498005,NO
