UPPERTRACED_MAX_RAW_LSA_MEDIAN.csv,Associated
0.36153384633738966,NO
0.3316932951562873,NO
0.3274219040801718,NO
0.42775380577427824,NO
0.38835792173705563,NO
0.4669177523264138,NO
0.41551537819136247,NO
0.14400726556907664,NO
0.22832974230493916,NO
0.30866832498210456,YES
0.3519643999045574,NO
0.2928964447625865,YES
0.3208847172512527,NO
0.4805550107372942,NO
0.3360963135289907,NO
0.39431068957289434,NO
0.47946607015032217,NO
0.34470077547124794,NO
0.23939008589835364,NO
0.10895,NO
0.38632876401813415,NO
0.3386994631352899,YES
0.4582983058935815,YES
0.34389868766404197,YES
0.41169649248389406,YES
0.4526657480314961,NO
0.45282457647339536,YES
0.2007295991410165,NO
0.4940676688141255,YES
0.5002124075399667,YES
0.2925333094726795,NO
0.3367047124791219,NO
0.39657919350990223,NO
0.30715094249582436,NO
0.5396907301360058,YES
0.4510353972798855,YES
0.13638181818181822,NO
0.26122281078501547,NO
0.36067013839179196,NO
0.2442027916964925,NO
0.265822321641613,NO
0.39275192078262944,NO
0.2673615008351229,NO
0.3672262109281794,YES
0.4133298258172274,NO
0.3672043187783346,YES
0.0889898711524696,NO
0.33596049868766403,YES
0.22222252445717017,NO
0.44374244810307806,NO
0.36301454306848013,NO
0.16787025769506086,NO
0.4444784299689811,NO
0.3138925435456932,NO
0.3483026604628967,NO
0.14220386542591268,NO
0.3689838463373897,NO
0.3757932951562873,NO
0.3367719040801718,NO
0.4628038057742782,NO
0.4304079217370556,NO
0.5049177523264138,NO
0.4593153781913625,NO
0.13550726556907663,NO
0.25322974230493916,NO
0.41391832498210457,YES
0.4013143999045574,NO
0.22464644476258655,YES
0.3020347172512527,NO
0.4774050107372942,NO
0.33174631352899075,NO
0.43316068957289433,NO
0.5208160701503222,NO
0.35265077547124796,NO
0.29939008589835364,NO
0.08775,NO
0.43907876401813417,NO
0.5229994631352899,YES
0.6306983058935816,YES
0.44314868766404203,YES
0.3802464924838941,YES
0.45696574803149614,NO
0.5133745764733953,YES
0.2030295991410165,NO
0.5056176688141255,YES
0.4687124075399666,YES
0.29223330947267956,NO
0.3408547124791219,NO
0.41452919350990225,NO
0.3236009424958244,NO
0.5140907301360058,YES
0.4653353972798855,YES
0.1547318181818182,NO
0.2560228107850155,NO
0.37982013839179196,NO
0.2356527916964925,NO
0.290422321641613,NO
0.42085192078262945,NO
0.2935615008351229,NO
0.3228262109281794,YES
0.4213798258172274,NO
0.3519543187783346,YES
0.0874898711524696,NO
0.32006049868766406,YES
0.22192252445717014,NO
0.44569244810307806,NO
0.37006454306848013,NO
0.16512025769506086,NO
0.4570284299689812,NO
0.3287925435456932,NO
0.3599026604628967,NO
0.1582038654259127,NO
0.4258444762586495,NO
0.3797137198759246,NO
0.47905230255309,YES
0.6196190408017179,YES
0.5613095561918396,YES
0.45702851348126944,YES
0.4228318539727989,NO
0.35253913147220234,NO
0.4705759126700072,YES
0.56975,NO
0.4897169529945121,YES
0.5346291219279408,NO
0.5264079575280363,NO
0.45663796230016707,NO
0.44208296349319975,NO
0.36980734908136487,NO
0.48961748985922215,YES
0.3810569792412312,NO
0.5537499284180387,YES
0.41748564781675024,NO
0.5523389405869721,YES
0.4251694345025054,NO
0.4489657241708423,NO
0.5043050465282749,NO
0.4148216893342878,NO
0.5314670126461465,YES
