NONETRACED_RFSMOTE_RAW_VSM_MEDIAN.csv,Associated
0.03685,NO
0.0326,NO
0.0822,NO
0.1232,NO
0.18355,NO
0.0553,NO
0.02945,NO
0.03395,NO
0.08445,NO
0.41845,YES
0.0358,NO
0.18899999999999997,YES
0.14635,NO
0.13655,NO
0.11115,NO
0.06709999999999999,NO
0.0653,NO
0.27545,NO
0.07735,NO
0.11895,NO
0.09235,NO
0.17895,YES
0.17020000000000002,YES
0.0934,YES
0.175,YES
0.09865,NO
0.0358,YES
0.07024999999999999,NO
0.1436,YES
0.1922,YES
0.1681,NO
0.11895,NO
0.1324,NO
0.0706,NO
0.21234999999999998,YES
0.04785,YES
0.0682,NO
0.07780000000000001,NO
0.14905000000000002,NO
0.0529,NO
0.10985,NO
0.08130000000000001,NO
0.07755,NO
0.14555,YES
0.0533,NO
0.0963,YES
0.02205,NO
0.18994999999999998,YES
0.06559999999999999,NO
0.1456,NO
0.06845,NO
0.18175,NO
0.0401,NO
0.19014999999999999,NO
0.07595,NO
0.2054,NO
0.0493,NO
0.0767,NO
0.12154999999999999,NO
0.35324999999999995,NO
0.0806,NO
0.5233,NO
0.10325,NO
0.03045,NO
0.11935,NO
0.24369999999999997,YES
0.11015,NO
0.16575,YES
0.1025,NO
0.2784,NO
0.1068,NO
0.27094999999999997,NO
0.46665,NO
0.0784,NO
0.27735,NO
0.47775,NO
0.3301,NO
0.26825,YES
0.2326,YES
0.23265000000000002,YES
0.32355,YES
0.30295,NO
0.11135,YES
0.12755,NO
0.10515,YES
0.0907,YES
0.1728,NO
0.3431,NO
0.09035,NO
0.07205,NO
0.17675000000000002,YES
0.06215,YES
0.11655,NO
0.0526,NO
0.0982,NO
0.04435,NO
0.15944999999999998,NO
0.15940000000000001,NO
0.10375,NO
0.09615,YES
0.06135,NO
0.14605,YES
0.05555,NO
0.32405,YES
0.0203,NO
0.08754999999999999,NO
0.0455,NO
0.059000000000000004,NO
0.05265,NO
0.11005,NO
0.12755,NO
0.0864,NO
0.0412,NO
0.0172,NO
0.1652,YES
0.3124,YES
0.21185,YES
0.0815,YES
