UPPERTRACED_SUM_SINGLE_LSA_MEDIAN.csv,Associated
0.14597081886309632,NO
0.2328741729117163,NO
0.15781231950283314,NO
0.26962387132151344,NO
0.23459185706452199,NO
0.21105580332663132,NO
0.24385321696216417,NO
0.054028596234692014,NO
0.16084371230122463,NO
0.18173916103089013,YES
0.15386708097239996,NO
0.18223341253884115,YES
0.22266602997623836,NO
0.353525872783769,NO
0.1979714220435021,NO
0.21132226284043137,NO
0.36190391153354046,NO
0.14251817766404679,NO
0.19809757813927983,NO
0.13669629866569183,NO
0.22919244196673366,NO
0.22240823432644857,YES
0.3510481082069091,YES
0.2305120453299214,YES
0.2205300676293182,YES
0.19231295010053007,NO
0.2558146225552915,YES
0.13899246024492778,NO
0.248006872600987,YES
0.34635463352220797,YES
0.18362732590020106,NO
0.13086921038201427,NO
0.2200667885212941,NO
0.0556,NO
0.2719524492780113,YES
0.2949711844269786,YES
0.08867157740815207,NO
0.10651961250228477,NO
0.12836822335953207,NO
0.12638747943703163,NO
0.1284535459696582,NO
0.16104684701151528,NO
0.17281594772436482,NO
0.2455582251873515,YES
0.1372764211295924,NO
0.22342666788521293,YES
0.06330297020654359,NO
0.29631629501005297,YES
0.06962211661487844,NO
0.22483871321513438,NO
0.17056478705903855,NO
0.0995036099433376,NO
0.23332792908060684,NO
0.1107230213854871,NO
0.09946124108938037,NO
0.06542467556205447,NO
0.15342081886309633,NO
0.27697417291171633,NO
0.1671623195028331,NO
0.3046738713215134,NO
0.276641857064522,NO
0.2490558033266313,NO
0.28765321696216417,NO
0.04552859623469201,NO
0.18574371230122466,NO
0.2869891610308901,YES
0.20321708097239993,NO
0.11398341253884117,YES
0.20381602997623835,NO
0.350375872783769,NO
0.1936214220435021,NO
0.25017226284043137,NO
0.40325391153354045,NO
0.15046817766404677,NO
0.25809757813927986,NO
0.11549629866569183,NO
0.2819424419667337,NO
0.40670823432644854,YES
0.5234481082069091,YES
0.32976204532992137,YES
0.18908006762931823,YES
0.19661295010053004,NO
0.3163646225552916,YES
0.1412924602449278,NO
0.259556872600987,YES
0.314854633522208,YES
0.18332732590020107,NO
0.13501921038201425,NO
0.2380167885212941,NO
0.07205,NO
0.24635244927801137,YES
0.3092711844269786,YES
0.10702157740815207,NO
0.10131961250228477,NO
0.14751822335953207,NO
0.11783747943703163,NO
0.1530535459696582,NO
0.18914684701151527,NO
0.19901594772436482,NO
0.2011582251873515,YES
0.1453264211295924,NO
0.20817666788521294,YES
0.061802970206543587,NO
0.280416295010053,YES
0.06932211661487844,NO
