ALLTRACED_SUM_MULTI_VSM_SUM.csv,Associated
0.008479524403513895,NO
0.007351575147960402,NO
0.013880410838928848,NO
0.027415801905570743,NO
0.007603704981554714,NO
0.010722152923379072,NO
0.006515565699726639,NO
0.007709864911489159,NO
0.021112556065713,NO
0.5622627989065527,YES
0.006873855463255394,NO
0.5743517609278378,YES
0.030905809602165667,NO
0.02830489131877173,NO
0.028198731388837283,NO
0.013853870856445235,NO
0.008068154675017914,NO
0.013415961145465644,NO
0.008612224315931952,NO
0.027614851774197834,NO
0.013920220812654264,NO
0.539836513707901,YES
0.5401682634889462,YES
0.5516335359218664,YES
0.5613471695108682,YES
0.019573237081663527,NO
0.5390005042596673,YES
0.014689880304679,NO
0.4110247087236923,YES
0.42923113670744983,YES
0.043313251413254074,NO
0.019652857029114363,NO
0.01393349080389607,NO
0.013455771119191062,NO
0.44917593354388385,YES
0.4094986597308846,YES
0.016799808912126117,NO
0.012712651609649938,NO
0.011717402266514505,NO
0.012739191592133551,NO
0.022545715119828023,NO
0.018949547493298656,NO
0.019281297274343797,NO
0.4341012234931925,YES
0.008864354149526263,NO
0.4117412882507498,YES
0.0032246078717588045,NO
0.44190397834337436,YES
0.004166777249927015,NO
0.01478277024337164,NO
0.008904164123251679,NO
0.015087980041933173,NO
0.009342073834231268,NO
0.023952334191459434,NO
0.013548661057883703,NO
0.01207569203004326,NO
0.010456753098542954,NO
0.019055707423233103,NO
0.01636189920114653,NO
0.0367180657660766,NO
0.018763767615913373,NO
0.020807346267151465,NO
0.018140078027548502,NO
0.005453966400382176,NO
0.027721011704132277,NO
0.5901961304705539,YES
0.0199713368189177,NO
0.556238222882773,YES
0.025903022904004883,NO
0.027468881870537965,NO
0.027044242150800184,NO
0.024164654051328324,NO
0.019042437431991296,NO
0.015525889752912764,NO
0.02453621380609889,NO
0.021988375487672178,NO
0.027920061572759364,NO
0.5887497014251971,YES
0.5859231932906925,YES
0.5779744685368509,YES
0.5530003450197724,YES
0.020714456328458822,NO
0.5550704636534941,YES
0.015300299901802063,NO
0.4140900767005494,YES
0.4208710422251122,YES
0.04323363146580324,NO
0.02075426630218424,NO
0.018697417659704344,NO
0.017821598237745165,NO
0.44238169802807936,YES
0.41329387722604105,YES
0.02166989569786884,NO
0.011332572520502137,NO
0.016799808912126117,NO
0.010470023089784761,NO
0.029074550810796466,NO
0.026407282571193506,NO
0.026234772685050027,NO
0.422317471270469,YES
0.011000822739456993,NO
0.407693940921999,YES
0.002826508134504631,NO
0.4376841211284801,YES
0.0040871573024761805,NO
0.015300299901802063,NO
0.010775232888346293,NO
0.014358130523633855,NO
0.012672841635924522,NO
0.027906791581517557,NO
0.016627299025982645,NO
0.01632208922742111,NO
0.008307014517370419,NO
0.0019374187213036442,NO
0.15003052097985617,YES
0.7066270336261578,YES
0.7011730672257758,YES
0.15037554075214313,YES
0.00966055362403461,NO
0.0004246397197377851,NO
0.1593062448578784,YES
0.0172111786406221,NO
0.14898219167175353,YES
0.017848138220228776,NO
0.02742907189681255,NO
0.024363703919955414,NO
0.024363703919955414,NO
0.006289975848615941,NO
0.6929589426470979,YES
0.006077655988747047,NO
0.7100905013402692,YES
0.017503118447941824,NO
0.6960375806151968,YES
0.005626476286525652,NO
0.007683324929005546,NO
0.017795058255261554,NO
0.00525491653175509,NO
0.15415748825605777,YES
0.011491812415403806,NO
0.14922105151410603,YES
0.01918840733565116,NO
0.008413174447304866,NO
0.024907773560869453,NO
0.03296265824464556,NO
0.02493431354335306,NO
0.021271795960614667,NO
0.02104620610950397,NO
0.014955280129515115,NO
0.018047188088855862,NO
0.582950715252528,YES
0.019626317046630752,NO
0.5680352450967383,YES
