NONETRACED_MEDIAN_MULTI_LSA_MAX.csv,Associated
0.6885895404120443,NO
0.7456418383518224,NO
0.5059429477020603,NO
0.3878763866877972,NO
0.5033676703645007,NO
0.7539619651347067,NO
0.7949683042789222,NO
0.4136291600633914,NO
0.455229793977813,NO
0.4053090332805071,YES
0.7183042789223455,NO
0.4082805071315373,YES
0.4760301109350237,NO
0.7210776545166402,NO
0.4237321711568937,NO
0.5221870047543582,NO
0.793581616481775,NO
0.43502377179080826,NO
0.2099841521394612,NO
0.2179,NO
0.5328843106180665,NO
0.4956418383518225,YES
0.6333201267828843,YES
0.44611727416798735,YES
0.6602614896988905,YES
0.6568938193343898,NO
0.7921949286846277,YES
0.4059033280507132,NO
0.452852614896989,YES
0.463351822503962,YES
0.3362,NO
0.22543581616481775,NO
0.3054675118858954,NO
0.4457210776545167,NO
0.4619651347068146,YES
0.2912044374009509,YES
0.2793185419968304,NO
0.2167194928684628,NO
0.4171949286846275,NO
0.2551505546751188,NO
0.3419175911251981,NO
0.41006339144215537,NO
0.2478209191759113,NO
0.3298335974643423,YES
0.4340332805071316,NO
0.3181458003169572,YES
0.08835182250396198,NO
0.3399,YES
0.266838351822504,NO
0.3201267828843106,NO
0.4001584786053883,NO
0.2523771790808241,NO
0.3748019017432646,NO
0.42155309033280497,NO
0.4651347068145801,NO
0.2567353407290016,NO
0.7387083993660855,NO
0.6905705229793977,NO
0.5360538827258321,NO
0.5114896988906497,NO
0.5895404120443741,NO
0.8129952456418383,NO
0.7953645007923931,NO
0.3991679873217116,NO
0.4673137876386688,NO
0.4574,YES
0.6933438985736926,NO
0.41917591125198106,YES
0.5106973058637085,NO
0.6687797147385104,NO
0.5059429477020603,NO
0.6299524564183836,NO
0.7979397781299524,NO
0.5257527733755942,NO
0.2999207606973059,NO
0.25752773375594296,NO
0.5554675118858954,NO
0.6071711568938194,YES
0.7868462757527734,YES
0.455229793977813,YES
0.6461965134706813,YES
0.6969096671949286,NO
0.7939778129952455,YES
0.4025356576862123,NO
0.5445721077654517,YES
0.5273375594294769,YES
0.43165610142630745,NO
0.2824881141045959,NO
0.4053090332805071,NO
