LOWERTRACED_RFSMOTE_MULTI_LSA_SUM.csv,Associated
0.11913410927422345,NO
0.11283267847876048,NO
0.17896063459114836,NO
0.6845577878271184,NO
0.57387500926681,NO
0.16131662836385208,NO
0.10816220624212322,NO
0.11483430943731929,NO
0.219363926162058,NO
0.5144191563496182,YES
0.13981762917933133,NO
0.5819556675809919,YES
0.17028690043739345,NO
0.1557565423678553,NO
0.1551634665282823,NO
0.14915857365260585,NO
0.5764697160649418,NO
0.1467121358143673,NO
0.5795092297427533,NO
0.2260360293572541,NO
0.6091630217214026,NO
0.3891318852398251,YES
0.39098524723849065,YES
0.4550374379123731,YES
0.5093038772333012,YES
0.21076432648824972,NO
0.38446141300318787,YES
0.18348283786789238,NO
0.06983468010971904,YES
0.17154718659648605,YES
0.4545926310326933,NO
0.4780932611757729,NO
0.4461413003187783,NO
0.28779005115279116,NO
0.2829713099562607,YES
0.06130921491585736,YES
0.3064719400993402,NO
0.27622507228111803,NO
0.27807843427978357,NO
0.27637334124101126,NO
0.12358217807102083,NO
0.10349173400548596,NO
0.10534509600415153,NO
0.19875454073689677,YES
0.41782192897916826,NO
0.07383794202683669,YES
0.3863147750018534,NO
0.24234561494551116,YES
0.3915783230780636,NO
0.28779005115279116,NO
0.2549484765364371,NO
0.2894951441915635,NO
0.2573949143746757,NO
0.34643042479057007,NO
0.2808955445177552,NO
0.28008006523834234,NO
0.056045666839647124,NO
0.10408480984505894,NO
0.16316999036251761,NO
0.21758469864333904,NO
0.11728074727555786,NO
0.1880050411446364,NO
0.09896953072874193,NO
0.028096967899770186,NO
0.22662910519682705,NO
0.6778856846319223,YES
0.1833345689079991,NO
0.48817555044851363,YES
0.1423382014975165,NO
0.15108607013121805,NO
0.1487137667729261,NO
0.13262658462450885,NO
0.11883757135443694,NO
0.08436503817925717,NO
0.14952924605233897,NO
0.12046852991326266,NO
0.16843353843872785,NO
0.6698050263177403,YES
0.6540143820891097,YES
0.6096078286010823,YES
0.4700867373415376,YES
0.18748609978501005,NO
0.48165171621321073,YES
0.15723923196678777,NO
0.08695974497738898,YES
0.12484246423011343,YES
