NONETRACED_MEDIAN_SINGLE_LSA_SUM.csv,Associated
0.24245030422933278,NO
0.6115565703868119,NO
0.31952222659434854,NO
0.19044487260049642,NO
0.10070148656260251,NO
0.3207233072983427,NO
0.4258214070767576,NO
0.124440308415195,NO
0.380155966203446,NO
0.2331177675977964,YES
0.34051778038110586,NO
0.335916968375593,YES
0.47725401408856993,NO
0.7229479110935572,NO
0.43040577310241657,NO
0.3875043379547957,NO
0.3524948436775217,NO
0.2633115382603109,NO
0.11499428797048318,NO
0.2927167536736536,NO
0.25555172216436833,NO
0.20372500133255028,YES
0.33481043567530094,YES
0.38616854436403,YES
0.47344794914536115,YES
0.3814888113117678,NO
0.43110498933353714,YES
0.2926422553505702,NO
0.21529428950697016,YES
0.45437598530502576,YES
0.37378472153401554,NO
0.080897774901515,NO
0.07741263589187027,NO
0.16445065824379146,NO
0.4461481795233988,YES
0.15315125449573957,YES
0.23841340587168008,NO
0.027108511394099186,NO
0.16883796735944767,NO
0.09377376497325383,NO
0.2849759389090164,NO
0.3282458688402967,NO
0.21788335194098768,NO
0.3490338167020851,YES
0.1468237784101436,NO
0.21602662702421105,YES
0.0,NO
0.35251263285493334,YES
0.027814705700337145,NO
0.16281588853321088,NO
0.17491144806295683,NO
0.1649903288137794,NO
0.12661802478736772,NO
0.25384671304979,NO
0.20809334187781708,NO
0.16772989489610163,NO
0.14024276559528542,NO
0.2856438357043992,NO
0.0888308962433287,NO
0.2437845908179605,NO
0.14595384504551923,NO
0.10786777314258138,NO
0.18820897284142996,NO
0.0028425991632796688,NO
0.19392974952281278,NO
0.3164731681381615,YES
0.1534246771010403,NO
0.09231940962732595,YES
0.20193039111259248,NO
0.3604676057277483,NO
0.3267752313190951,NO
0.27102050941455363,NO
0.2295423722644513,NO
0.16223457883893155,NO
0.14419081634862757,NO
0.13548977913474952,NO
0.23051599392835398,NO
0.4777499488356395,YES
0.5300998287357593,YES
0.42745499739436066,YES
0.17838089459381662,YES
0.15005868954304652,NO
0.20188213428326018,YES
0.12597915416359956,NO
0.27626828399009745,YES
0.4714401636447071,YES
0.4565156662536717,NO
0.10033918359207526,NO
0.13572408520629403,NO
0.28603883406913816,NO
0.41339014644031197,YES
0.22984410030121372,YES
0.35977677629113486,NO
0.06396768699120046,NO
0.2598718058803028,NO
0.08462950532622061,NO
0.451430615148117,NO
0.544220962943571,NO
0.40410701327016946,NO
0.327035254709734,YES
0.19333153519585483,NO
0.23150435800447627,YES
0.016428616568433613,NO
0.4095356936241067,YES
0.07581907941367268,NO
0.25391053131424324,NO
0.24569438841872798,NO
0.25508923631257946,NO
0.22310550748018537,NO
0.3601689244561779,NO
0.3384369707985903,NO
0.28450028316897785,NO
0.0753085988198798,NO
0.30933685779636266,NO
0.288309591442875,YES
0.2992761115230069,YES
0.331795874463708,YES
0.34117673344640886,YES
0.24189792242391994,NO
0.05791602505777636,NO
0.38375029734626437,YES
0.11084177634011234,NO
0.2161166867824152,YES
0.14270661580818383,NO
0.4033073193095429,NO
0.46158305922547893,NO
0.3521615996395251,NO
0.23771913653888205,NO
0.3692360649068443,YES
0.0675518622500453,NO
0.35004606348600337,YES
0.2782147410559178,NO
0.29269450901165994,YES
0.21617719619434794,NO
0.28071308851341026,NO
0.36499585230422443,NO
0.21229083424591605,NO
0.3858473891040536,YES
0.28410177938622233,NO
0.2948777947395601,YES
0.3418127538704812,NO
0.519697582673564,NO
0.34644452494165523,NO
0.3917449109274921,NO
0.3718310243057496,NO
0.3603163485783745,NO
0.456578829299804,NO
0.3587872000611188,NO
0.33834710760588244,NO
0.36370634988782835,YES
0.3424969000802217,NO
0.3093257190849077,YES
0.4042482783401499,NO
0.6445109068788326,NO
0.47467120898951676,NO
0.29166221254712293,NO
0.5431670770353613,NO
0.29238809616390316,NO
0.17219763206064498,NO
0.3547279259978083,NO
0.234186559722806,NO
0.6218269537619312,YES
0.7119674676241067,YES
0.4442363835067529,YES
0.5193392437738782,YES
0.42180121678628724,NO
0.47587890739855176,YES
0.28006448789757715,NO
0.24123317067647732,NO
0.4244596996014013,NO
0.2191485129967632,YES
0.2977314015706305,YES
0.23432867657660356,YES
0.3206143772524973,YES
0.2559723068045373,NO
0.10957258569166338,NO
0.31541807007605815,YES
0.2465883682957284,NO
0.28263723539540486,YES
0.14071527628738362,NO
0.34526274041721106,NO
0.5954535645629366,NO
0.35415644457834206,NO
0.309116016461312,NO
0.30276668884471486,YES
0.1942761306881427,NO
0.26759712473165126,YES
0.24340145190482954,NO
0.293259798617994,YES
0.2978395781154067,NO
0.4059442782028162,NO
0.31614405197558654,NO
0.22404014365399605,NO
0.31287067952724823,YES
0.28336636234287343,NO
0.24142288914128635,YES
0.29476221422775795,NO
0.4070610650698298,NO
0.38641631517206854,NO
0.22887133042112817,NO
0.172024490619354,NO
0.44174347436132355,NO
0.42263914273593683,NO
0.25468155947333165,NO
0.48219999510551925,NO
0.12512206307806434,YES
0.39350787410255167,NO
0.24969734646735942,YES
0.4931591767404574,NO
0.5811604683068115,NO
0.44004763830323756,NO
0.23147526631102955,NO
0.3375278226174617,NO
0.29359576181202207,NO
0.15470268043590502,NO
0.38145713150595356,NO
0.182257100658275,NO
0.2650239513419151,YES
0.40462692900778285,YES
0.3465633160232298,YES
0.45986225934936775,YES
0.5095588326591084,NO
0.45047950023353633,YES
0.3119327345009172,NO
0.2640597975827489,NO
0.3594232204851912,NO
0.23880902669382376,NO
0.20722347403502478,NO
