LOWERTRACED_SUM_MULTI_LSA_MEDIAN.csv,Associated
0.16294695134188392,NO
0.1586969513418839,NO
0.4282477823794494,NO
0.3911997628213315,NO
0.3165497628213315,NO
0.4163477823794494,NO
0.15554695134188393,NO
0.16004695134188393,NO
0.4554977823794494,NO
0.39279374486873075,YES
0.4018477823794494,NO
0.43834374486873073,YES
0.24566811132801813,NO
0.2358681113280181,NO
0.23546811132801812,NO
0.1831969513418839,NO
0.3182997628213315,NO
0.18154695134188392,NO
0.3203497628213315,NO
0.23504695134188391,NO
0.3403497628213315,NO
0.30829374486873073,YES
0.30954374486873076,YES
0.3527437448687307,YES
0.38934374486873075,YES
0.4496977823794494,NO
0.30514374486873075,YES
0.4312977823794494,NO
0.1434815931108719,YES
0.21208159311087194,YES
0.4866035850467971,NO
0.3824201063655106,NO
0.3608701063655106,NO
0.37410358504679714,NO
0.28723159311087193,YES
0.1377315931108719,YES
0.38670358504679714,NO
0.16941892685774756,NO
0.36755358504679714,NO
0.16951892685774755,NO
0.16715200142307202,NO
0.15360200142307204,NO
0.15485200142307204,NO
0.2304315931108719,YES
0.3417701063655106,NO
0.14618159311087192,YES
0.3205201063655106,NO
0.2598315931108719,YES
0.3240701063655106,NO
0.17721892685774754,NO
0.15506892685774754,NO
0.17836892685774755,NO
0.15671892685774755,NO
0.41365358504679717,NO
0.17256892685774755,NO
0.36890358504679716,NO
0.26402779186659614,NO
0.2964277918665961,NO
0.4267058081407017,NO
0.42479020178431337,NO
0.3571402017843134,NO
0.4434558081407017,NO
0.2929777918665961,NO
0.24517779186659613,NO
0.4695058081407017,NO
0.5088262520297021,YES
0.4403058081407017,NO
0.3808762520297021,YES
0.20381178048202003,NO
0.20971178048202005,NO
0.20811178048202006,NO
0.3156777918665961,NO
0.3581902017843134,NO
0.28312779186659615,NO
0.3788902017843134,NO
0.30747779186659613,NO
0.39164020178431336,NO
0.503376252029702,YES
0.4927262520297021,YES
0.4627762520297021,YES
0.3686762520297021,YES
0.44310580814070166,NO
0.3764762520297021,YES
0.4227058081407017,NO
0.1610157933626462,YES
0.1865657933626462,YES
0.5354725474813449,NO
0.4274560599149806,NO
0.41970605991498056,NO
0.4397225474813449,NO
0.2676157933626462,YES
0.1580157933626462,YES
0.45422254748134494,NO
0.17613259382240792,NO
0.4358725474813449,NO
0.17288259382240792,NO
0.20810820729415627,NO
0.1980582072941563,NO
0.19740820729415626,NO
0.19201579336264618,YES
0.3907060599149806,NO
0.1369157933626462,YES
0.3599060599149806,NO
0.2499157933626462,YES
0.36465605991498057,NO
0.19108259382240791,NO
0.17403259382240793,NO
0.18753259382240792,NO
0.18118259382240792,NO
0.4777225474813449,NO
0.19608259382240792,NO
0.43407254748134494,NO
0.1432770465782416,NO
0.1192770465782416,NO
0.5642431665176698,YES
0.4161092007078871,YES
0.3955592007078871,YES
0.5655431665176698,YES
0.1483770465782416,NO
0.11357704657824161,NO
0.5991931665176697,YES
0.3093278219700425,NO
0.5602931665176698,YES
0.3117278219700425,NO
0.20082265877287409,NO
0.18927265877287408,NO
0.18927265877287408,NO
0.1356770465782416,NO
0.3646092007078871,YES
0.1348770465782416,NO
0.4291592007078871,YES
0.1779270465782416,NO
0.3762092007078871,YES
