LOWERTRACED_SUM_RAW_LSA_SUM.csv,Associated
0.14746044726037166,NO
0.14087714148665176,NO
0.5280062170898584,NO
0.49256536015321584,NO
0.3769315305042298,NO
0.5095729609234426,NO
0.13599775014848292,NO
0.1429683092030099,NO
0.5702168246978272,NO
0.5119815834815006,YES
0.48711227063663354,NO
0.5825391312445457,YES
0.2948809696390936,NO
0.2797006410314571,NO
0.27908103578216575,NO
0.178827963005743,NO
0.37964230346987915,NO
0.17627209135241645,NO
0.382817780372497,NO
0.25914429344512585,NO
0.41379804283706123,NO
0.38108997456871657,YES
0.3830262409727519,YES
0.4499436078962107,YES
0.5066374882063632,YES
0.5612325485831036,NO
0.37621058323054773,YES
0.5327307071157045,NO
0.11018838611801089,YES
0.2164506863714663,YES
0.6080492923419105,NO
0.48297849687126515,NO
0.4495972640656971,NO
0.4337853159787365,NO
0.33285902258206645,YES
0.10128156065944867,YES
0.45330288133141194,NO
0.13599365608773006,NO
0.4236392800215917,NO
0.13614855740005288,NO
0.16401889778562284,NO
0.14302976996588063,NO
0.1449660363699159,NO
0.24487507718270402,YES
0.42001111341203823,NO
0.1143707215507271,YES
0.38709458454343876,NO
0.29041606300561346,YES
0.3925935811308989,NO
0.14807595844891014,NO
0.11376531776940522,NO
0.14985732354062253,NO
0.11632118942273174,NO
0.49504878500241234,NO
0.1408730474258989,NO
0.42573044773794977,NO
0.3224047169362656,NO
0.3725927421288598,NO
0.5234679974810995,NO
0.5443033768062348,NO
0.43951263901984616,NO
0.549413967295172,NO
0.36724864685372244,NO
0.29320581956341385,NO
0.589765759155267,NO
0.6938186063632746,YES
0.5445345759570032,NO
0.4956223772462248,YES
0.22552039562610243,NO
0.23465957305314894,NO
0.23218115205598377,NO
0.4024112447510029,NO
0.44113910279923574,NO
0.3519908675899245,NO
0.47320367445005984,NO
0.38970933714053146,NO
0.49295359177121945,NO
0.6853764848416809,YES
0.6688794950793004,YES
0.6224865520386156,YES
0.47672441714284064,YES
0.5488718127020422,NO
0.48880671950402066,YES
0.5172719449881866,NO
0.13853274022253548,YES
0.1781100255210163,YES
0.6934071937620124,NO
0.560772549388705,NO
0.5487676976836864,NO
0.545089187212911,NO
0.303657539158663,YES
0.1338857008528508,YES
0.5675498774997201,NO
0.14873624258495183,NO
0.5391254866884824,NO
0.14370194993446017,NO
0.2306802270101228,NO
0.21511264512167927,NO
0.21410578659158092,NO
0.18655214704261008,YES
0.5038463171100682,NO
0.10120152395273556,YES
0.4561367129146393,NO
0.2762400068775236,YES
0.46349452524997325,NO
0.17189398877721362,NO
0.14548331502617257,NO
0.16639499218975345,NO
0.1565587588572543,NO
0.6039516858955831,NO
0.1796390543933547,NO
0.5363372630666716,NO
0.11325555423836618,NO
0.07607923928088907,NO
0.7628011621000795,YES
0.5244294661504303,YES
0.49259724646809067,YES
0.7648148791602761,YES
0.12115552116683005,NO
0.06724986447848826,NO
0.8169391707569055,YES
0.37682930984579616,NO
0.756682560263328,YES
0.3805469413415439,NO
0.21916017565901047,NO
0.2012690740857246,NO
0.2012690740857246,NO
0.10148305450183175,NO
0.4446552903041774,YES
0.10024384400324916,NO
0.5446440874085585,YES
0.16692885895822374,NO
0.46262384253362465,YES
0.3092148870168846,NO
0.32121973872190335,NO
0.3802371387168982,NO
0.30704626864436513,NO
0.7868883161662782,YES
0.3434480770402281,NO
0.7580766720742335,YES
0.30264032396346363,NO
0.23975039116039815,NO
0.6389477795260172,NO
0.7230685953710019,NO
0.6762109483933486,NO
0.6177262997377907,NO
0.31348341582606104,NO
0.2779335646479736,NO
0.5989057902905679,NO
0.6504867807077988,YES
