NONETRACED_MEDIAN_MULTI_VSM_SUM.csv,Associated
0.16187147082549075,NO
0.08107018015595589,NO
0.23904275342834097,NO
0.36770637268082823,NO
0.13968808819575157,NO
0.21242269427265398,NO
0.1402258671685937,NO
0.0869857488572197,NO
0.320381823070718,NO
0.3564130142511428,YES
0.15004033342296316,NO
0.4618176929282065,YES
0.3730841624092498,NO
0.37227749394998655,NO
0.29658510352245226,NO
0.1698037106749126,NO
0.17289593976875506,NO
0.1630814735143856,NO
0.17881150847001887,NO
0.2992739983866631,NO
0.22223716052702341,NO
0.12570583490185533,YES
0.15904813121806938,YES
0.2917450927668728,YES
0.33664963699919337,YES
0.2891906426458726,NO
0.1684592632428072,YES
0.22169938155418123,NO
0.2030115622479161,YES
0.31876848615219144,YES
0.5259478354396343,NO
0.27520838935197633,NO
0.19386931970959936,NO
0.24347942995428878,NO
0.6017746706103791,YES
0.12772250605001342,YES
0.27077171282602847,NO
0.17047593439096534,NO
0.16523258940575428,NO
0.15609034686743747,NO
0.28650174778166176,NO
0.2874428609841355,NO
0.20583490185533745,NO
0.3910997579994622,YES
0.17343371874159724,NO
0.15635923635385857,YES
0.10876579725732727,NO
0.4565743479429954,YES
0.10943802097337993,NO
0.1933315407367572,NO
0.16913148695885988,NO
0.24038720086044635,NO
0.13471363269696154,NO
0.33073406829792956,NO
0.2139015864479699,NO
0.19884377520838933,NO
0.20731379403065342,NO
0.21806937348749666,NO
0.2975262167249261,NO
0.46558214573810164,NO
0.25598279107286903,NO
0.3869319709599355,NO
0.28717397149771445,NO
0.07488572196827104,NO
0.4489109975799947,NO
0.6499058886797526,YES
0.32091960204356007,NO
0.28878730841624095,YES
0.37752083893519767,NO
0.40521645603656903,NO
0.30411400914224257,NO
0.2824684054853455,NO
0.30371067491261095,NO
0.19481043291207312,NO
0.3811508470018823,NO
0.2730572734606077,NO
0.3893519763377253,NO
0.6364614143586986,YES
0.6434525410056466,YES
0.6097069104598011,YES
0.2737294971766604,YES
0.3608496907770906,NO
0.3779241731648293,YES
0.29456843237429414,NO
0.24845388545307878,YES
0.2378327507394461,YES
0.5418123151384782,NO
0.285829524065609,NO
0.24912610916913153,NO
0.2897284216187147,NO
0.5435600968002152,YES
0.1718203818230707,YES
0.3148695885990858,NO
0.16482925517612262,NO
0.21712826028502286,NO
0.13726808281796182,NO
0.35977413283140636,NO
0.3630008066684593,NO
0.280855068566819,NO
0.284081742403872,YES
0.20879268620596936,NO
0.12261360580801292,YES
0.1122613605808013,NO
0.4209464909922022,YES
0.12274805055122345,NO
0.21201936004302233,NO
0.20301156224791608,NO
0.23971497714439371,NO
0.17531594514654478,NO
0.39163753697230436,NO
0.26620059155687015,NO
0.23998386663081472,NO
0.22667383705297123,NO
0.054315676257058354,NO
0.3375907502016671,YES
0.5443667652594784,YES
0.4611454692121539,YES
0.4235009411132025,YES
0.24845388545307878,NO
0.029308954019897818,NO
0.511427803172896,YES
0.27507394460876583,NO
0.30908846464103257,YES
0.2387738639419199,NO
0.4302231782737295,NO
0.40575423500941116,NO
0.2766872815272923,NO
0.1312180693734875,NO
0.4358698574885722,YES
0.12100026888948642,NO
0.6269158375907502,YES
0.24159720354934122,NO
0.4487765528367841,YES
0.15447700994891103,NO
0.21914493143318098,NO
0.37147082549072336,NO
0.13363807475127723,NO
0.4096531325625169,YES
0.31554181231513845,NO
0.3244151653670342,YES
0.31352514116698044,NO
0.11132024737832752,NO
0.38088195751546117,NO
0.4302231782737295,NO
0.32468405485345525,NO
0.382091960204356,NO
0.3234740521645604,NO
0.17518150040333422,NO
0.39325087389083097,NO
0.5842968539930089,YES
0.3074751277225061,NO
0.4189298198440441,YES
0.36246302769561717,NO
0.35520301156224793,NO
0.24092497983328848,NO
0.10473245496101105,NO
0.29214842699650445,NO
0.10258133906964237,NO
0.2559827910728691,NO
0.30411400914224257,NO
0.25638612530250066,NO
0.5605001344447432,YES
0.5721968271040603,YES
0.48292551761226143,YES
0.4264587254638344,YES
0.41906426458725465,NO
0.3443129873621942,YES
0.2625705834901856,NO
0.24079053509007797,NO
0.11051357891906427,NO
0.2319171820381823,YES
0.5896746437214306,YES
0.3861253025006722,YES
0.3176929282065072,YES
