NONETRACED_RFNONE_RAW_LSA_MEDIAN.csv,Associated
0.03685,NO
0.0326,NO
0.1372,NO
0.1282,NO
0.03355,NO
0.0453,NO
0.02945,NO
0.25395,NO
0.12445,NO
0.19345,YES
0.0308,NO
0.249,YES
0.50135,NO
0.33155,NO
0.14115,NO
0.0571,NO
0.0353,NO
0.06545,NO
0.04735,NO
0.30895,NO
0.20734999999999998,NO
0.03895,YES
0.0402,YES
0.13340000000000002,YES
0.12,YES
0.20865,NO
0.0358,YES
0.36024999999999996,NO
0.4236,YES
0.1922,YES
0.2281,NO
0.14895000000000003,NO
0.1374,NO
0.1056,NO
0.50735,YES
0.05785,YES
0.1482,NO
0.1128,NO
0.08905,NO
0.1129,NO
0.14984999999999998,NO
0.3863,NO
0.28755,NO
0.31055,YES
0.0983,NO
0.2863,YES
0.027049999999999998,NO
0.39995,YES
0.0806,NO
0.1206,NO
0.09845,NO
0.12175,NO
0.1001,NO
0.15515,NO
0.11595,NO
0.13040000000000002,NO
0.0643,NO
0.0767,NO
0.08655,NO
0.14325,NO
0.0756,NO
0.1033,NO
0.07325,NO
0.09545000000000001,NO
0.11935,NO
0.2387,YES
0.08015,NO
0.23075,YES
0.11249999999999999,NO
0.1084,NO
0.1268,NO
0.24595,NO
0.07665,NO
0.07339999999999999,NO
0.09735,NO
0.12775,NO
0.1101,NO
0.22325,YES
0.2126,YES
0.18265,YES
0.08855,YES
0.08295,NO
0.09635,YES
0.07254999999999999,NO
0.35514999999999997,YES
0.1407,YES
0.24780000000000002,NO
0.1431,NO
0.13535,NO
0.07205,NO
0.39175000000000004,YES
0.06215,YES
0.20655,NO
0.1276,NO
0.0682,NO
0.10435,NO
0.15445,NO
0.19440000000000002,NO
0.16375,NO
0.15615,YES
0.23635,NO
0.11105000000000001,YES
0.02555,NO
0.40405,YES
0.0803,NO
0.11255,NO
0.1155,NO
0.119,NO
0.09265000000000001,NO
0.16005,NO
0.06755,NO
0.1064,NO
0.0362,NO
0.0122,NO
0.0902,YES
0.1974,YES
0.25685,YES
0.07150000000000001,YES
0.0413,NO
0.23650000000000002,NO
