LOWERTRACED_MAX_MULTI_VSM_SUM.csv,Associated
0.18977892621303472,NO
0.183677863910422,NO
0.1810221073786965,NO
0.28875968992248063,NO
0.1815963250071777,NO
0.16393913293138102,NO
0.17915590008613264,NO
0.1856158484065461,NO
0.22014068331897785,NO
0.6604220499569338,YES
0.14312374389893767,NO
0.7258110824002297,YES
0.361541774332472,NO
0.3474734424346827,NO
0.3468992248062015,NO
0.21884869365489518,NO
0.18410852713178294,NO
0.21648004593741027,NO
0.18705139247774905,NO
0.29328165374677,NO
0.2157622739018088,NO
0.5391185759402813,YES
0.5409130060292852,YES
0.6029285099052542,YES
0.6554694229112834,YES
0.21181452770600057,NO
0.534596612115992,YES
0.1854005167958656,NO
0.5053832902670111,YES
0.603861613551536,YES
0.39125753660637375,NO
0.24619580821131204,NO
0.21525983347688776,NO
0.22975882859603786,NO
0.7117427505024404,YES
0.497128911857594,YES
0.24784668389319547,NO
0.18202698822853858,NO
0.22035601492965834,NO
0.1821705426356589,NO
0.2871088142405972,NO
0.26765719207579675,NO
0.26945162216480045,NO
0.6302038472581108,YES
0.18784094171691068,NO
0.5092592592592593,YES
0.15733563020384728,NO
0.6724088429514785,YES
0.16243181165661785,NO
0.1932242319839219,NO
0.16142693080677578,NO
0.1948751076658053,NO
0.1637955785242607,NO
0.286534596612116,NO
0.186548952052828,NO
0.22229399942578237,NO
0.2067901234567901,NO
0.25330175136376687,NO
0.2970858455354579,NO
0.40805340223944875,NO
0.31093884582256676,NO
0.32113120872810796,NO
0.24834912431811657,NO
0.17973011771461384,NO
0.35852713178294576,NO
0.9782515073212746,YES
0.3166092449038186,NO
0.7945736434108527,YES
0.27512202124605223,NO
0.28359173126614984,NO
0.2812948607522251,NO
0.28093597473442433,NO
0.3124461670973299,NO
0.23420901521676712,NO
0.3421619293712317,NO
0.2691645133505598,NO
0.36046511627906974,NO
0.9704277921332184,YES
0.9551392477749067,YES
0.9121447028423771,YES
0.7770600057421763,YES
0.3206287683031869,NO
0.7882572494975596,YES
0.2913436692506459,NO
0.39613838644846394,YES
0.4328165374677002,YES
0.4285099052540913,NO
0.30691932242319836,NO
0.2957938558713752,NO
0.2910565604364054,NO
0.5491673844387023,YES
0.39183175423485495,YES
0.31187194946884866,NO
0.22731840367499279,NO
0.2855297157622739,NO
0.22265288544358308,NO
0.37245190927361466,NO
0.3580246913580247,NO
0.3570915877117427,NO
0.44064025265575657,YES
0.2541630778064886,NO
0.36154177433247203,YES
0.2099483204134367,NO
0.5237582543784094,YES
0.21676715475165081,NO
0.24877978753947744,NO
0.22430376112546657,NO
0.24368360608670686,NO
0.2345679012345679,NO
0.34560723514211883,NO
0.2559575078954924,NO
0.28294573643410853,NO
0.16307780648865922,NO
0.12862474877978752,NO
0.4773184036749928,YES
0.7407407407407407,YES
0.7112403100775193,YES
