LOWERTRACED_RFNONE_RAW_LSA_MEDIAN.csv,Associated
0.03685,NO
0.0326,NO
0.32828433734939766,NO
0.32506746987951807,NO
0.2504174698795181,NO
0.31638433734939764,NO
0.02945,NO
0.03395,NO
0.35553433734939766,NO
0.37043795180722894,YES
0.3018843373493976,NO
0.4159879518072289,YES
0.1815909638554217,NO
0.1717909638554217,NO
0.17139096385542169,NO
0.0571,NO
0.2521674698795181,NO
0.05545,NO
0.2542174698795181,NO
0.10895,NO
0.27421746987951806,NO
0.2859379518072289,YES
0.2871879518072289,YES
0.3303879518072289,YES
0.3669879518072289,YES
0.34973433734939763,NO
0.28278795180722893,YES
0.33133433734939766,NO
0.0536,YES
0.1222,YES
0.22231686746987953,NO
0.33196204819277114,NO
0.31041204819277113,NO
0.10981686746987951,NO
0.19735,YES
0.04785,YES
0.12241686746987951,NO
0.0528,NO
0.10326686746987952,NO
0.0529,NO
0.08985,NO
0.0763,NO
0.07755,NO
0.14055,YES
0.2913120481927711,NO
0.0563,YES
0.27006204819277113,NO
0.16995,YES
0.27361204819277113,NO
0.0606,NO
0.03845,NO
0.06175,NO
0.0401,NO
0.1493668674698795,NO
0.05595,NO
0.10461686746987953,NO
0.2370710843373494,NO
0.2694710843373494,NO
0.28944156626506023,NO
0.21553915662650602,NO
0.14788915662650604,NO
0.3061915662650602,NO
0.2660210843373494,NO
0.2182210843373494,NO
0.33224156626506024,NO
0.3853265060240964,YES
0.30304156626506024,NO
0.25737650602409645,YES
0.3133433734939759,NO
0.3192433734939759,NO
0.3176433734939759,NO
0.2887210843373494,NO
0.14893915662650603,NO
0.2561710843373494,NO
0.16963915662650603,NO
0.2805210843373494,NO
0.182389156626506,NO
0.3798765060240964,YES
0.36922650602409646,YES
0.3392765060240964,YES
0.2451765060240964,YES
0.3058415662650602,NO
0.25297650602409644,YES
0.28544156626506023,NO
0.06515,YES
0.0907,YES
0.34852289156626504,NO
0.402377108433735,NO
0.39462710843373494,NO
0.25277289156626503,NO
0.17175,YES
0.06215,YES
0.26727289156626505,NO
0.0476,NO
0.24892289156626507,NO
0.04435,NO
