NONETRACED_SUM_RAW_VSM_MEDIAN.csv,Associated
0.30619999999999997,NO
0.12925,NO
0.31115000000000004,NO
0.40790000000000004,NO
0.25295,NO
0.35455000000000003,NO
0.29024999999999995,NO
0.1563,NO
0.37849999999999995,NO
0.39625,YES
0.24145,NO
0.35019999999999996,YES
0.37035,NO
0.4118,NO
0.2435,NO
0.22565000000000002,NO
0.313,NO
0.2358,NO
0.2869,NO
0.2711,NO
0.31035,NO
0.2652,YES
0.37245,YES
0.37725,YES
0.29905,YES
0.35085,NO
0.3081,YES
0.28875,NO
0.31605,YES
0.22775,YES
0.42784999999999995,NO
0.33725,NO
0.24735000000000001,NO
0.356,NO
0.4665,YES
0.1726,YES
0.35505,NO
0.2486,NO
0.25745,NO
0.1865,NO
0.3257,NO
0.35430000000000006,NO
0.2014,NO
0.32665,YES
0.2832,NO
0.23970000000000002,YES
0.2464,NO
0.3543,YES
0.2389,NO
0.2345,NO
0.29774999999999996,NO
0.31245,NO
0.1817,NO
0.3637,NO
0.30625,NO
0.27244999999999997,NO
0.37695,NO
0.2061,NO
0.4159,NO
0.56305,NO
0.38325,NO
0.51645,NO
0.41824999999999996,NO
0.16425,NO
0.5058,NO
0.66775,YES
0.3843,NO
0.3561,YES
0.4134,NO
0.4926,NO
0.25245,NO
0.31545,NO
0.45894999999999997,NO
0.27725,NO
0.45215,NO
0.26725,NO
0.46075,NO
0.6064,YES
0.73815,YES
0.65125,YES
0.34140000000000004,YES
0.4568,NO
0.50365,YES
0.37255,NO
0.34015,YES
0.195,YES
0.4364,NO
0.3559,NO
0.2766,NO
0.39115,NO
0.44380000000000003,YES
0.19379999999999997,YES
0.39785000000000004,NO
0.25980000000000003,NO
0.29005,NO
0.189,NO
0.3709,NO
0.39965,NO
0.24235,NO
0.2728,YES
0.3045,NO
0.2262,YES
0.2541,NO
0.33875,YES
0.24725000000000003,NO
0.24875,NO
0.32415,NO
0.32495,NO
0.20555,NO
0.3936,NO
0.3312,NO
0.30715,NO
0.39585000000000004,NO
0.14325,NO
0.46599999999999997,YES
0.6375500000000001,YES
0.52705,YES
0.55905,YES
0.39775,NO
0.156,NO
0.5759,YES
0.36645000000000005,NO
0.41785000000000005,YES
0.2705,NO
0.46235000000000004,NO
0.5152,NO
0.2806,NO
0.2373,NO
0.56245,YES
0.24775,NO
0.6567000000000001,YES
0.27705,NO
0.5598000000000001,YES
0.2901,NO
0.44015,NO
0.4814,NO
0.238,NO
0.5124500000000001,YES
0.4484,NO
0.42095,YES
0.45255,NO
0.1659,NO
0.46125,NO
0.5596,NO
0.4122,NO
0.5302,NO
0.44370000000000004,NO
0.2329,NO
0.47600000000000003,NO
0.63645,YES
0.38654999999999995,NO
0.40854999999999997,YES
0.42815,NO
0.49095,NO
0.24459999999999998,NO
0.25115,NO
0.4626,NO
0.27475,NO
0.4043,NO
0.31575,NO
0.4142,NO
0.56975,YES
0.704,YES
0.6011,YES
0.40485,YES
0.5015,NO
0.4966,YES
0.3658,NO
0.34345000000000003,NO
0.1471,NO
0.34854999999999997,YES
0.57885,YES
0.435,YES
0.43645,YES
0.3358,NO
0.15284999999999999,NO
0.4547,YES
0.44199999999999995,NO
0.3092,YES
0.2655,NO
0.395,NO
0.4727,NO
0.2687,NO
0.24925000000000003,NO
0.47300000000000003,YES
0.25395,NO
0.48635,YES
0.23445,NO
0.46845000000000003,YES
0.36885,NO
0.50475,NO
0.4633,NO
0.24280000000000002,NO
0.39590000000000003,YES
0.3785,NO
0.33665,YES
0.4244,NO
0.1623,NO
0.48135,NO
0.47085,NO
0.35695,NO
0.5416,NO
0.4237,NO
0.24025000000000002,NO
0.5236000000000001,NO
0.43415,YES
0.4177,NO
0.3434,YES
0.46045,NO
0.48995,NO
0.272,NO
0.2338,NO
0.40945,NO
0.2566,NO
0.3938,NO
0.32365,NO
0.37105,NO
0.38695,YES
0.49255,YES
0.49829999999999997,YES
0.38670000000000004,YES
0.5071,NO
0.4629,YES
0.39295,NO
0.3609,NO
0.18695,NO
0.4813,NO
