NONETRACED_RFSMOTE_RAW_LSA_MEDIAN.csv,Associated
0.14509742268041237,NO
0.0326,NO
0.11390103092783507,NO
0.11335463917525773,NO
0.03355,NO
0.0453,NO
0.02945,NO
0.05456855670103093,NO
0.14115103092783507,NO
0.14406855670103094,YES
0.0308,NO
0.18961855670103092,YES
0.18320567010309277,NO
0.4208283505154639,NO
0.18331494845360827,NO
0.18081134020618556,NO
0.0353,NO
0.12761494845360827,NO
0.03735,NO
0.1244139175257732,NO
0.18106134020618558,NO
0.07503247422680413,YES
0.06081855670103093,YES
0.1297917525773196,YES
0.17670103092783507,YES
0.3466912371134021,NO
0.0358,YES
0.13756958762886595,NO
0.09483711340206186,YES
0.1685917525773196,YES
0.19387319587628865,NO
0.09956855670103093,NO
0.08317319587628866,NO
0.0710639175257732,NO
0.21796855670103094,YES
0.08908711340206185,YES
0.0836639175257732,NO
0.07341855670103092,NO
0.0645139175257732,NO
0.07351855670103094,NO
0.11046855670103092,NO
0.1072278350515464,NO
0.10332319587628866,NO
0.1663231958762887,YES
0.0537639175257732,NO
0.09238247422680414,YES
0.01705,NO
0.20087783505154638,YES
0.04121855670103093,NO
0.08121855670103093,NO
0.05906855670103093,NO
0.08236855670103094,NO
0.06071855670103093,NO
0.1106139175257732,NO
0.06625927835051547,NO
0.07617319587628867,NO
0.0443,NO
0.08185463917525773,NO
0.09747783505154639,NO
0.15355927835051544,NO
0.08590927835051547,NO
0.3204134020618557,NO
0.07325,NO
0.03575927835051547,NO
0.15058711340206188,NO
0.24416391752577318,YES
0.08015,NO
0.2708530927835052,YES
0.24682989690721652,NO
0.1084,NO
0.1068,NO
0.21966134020618555,NO
0.07665,NO
0.06855463917525773,NO
0.09735,NO
0.09805927835051546,NO
0.1101,NO
0.23355927835051546,YES
0.2126,YES
0.5022376288659794,YES
0.09370463917525773,YES
0.09841391752577319,NO
0.09635,YES
0.08316855670103093,NO
0.14762422680412374,YES
0.1216278350515464,YES
0.20388247422680414,NO
0.09340927835051546,NO
0.09596855670103094,NO
0.07205,NO
0.3109252577319588,YES
0.08792319587628866,YES
0.1020139175257732,NO
0.05790927835051547,NO
0.10943711340206186,NO
0.05465927835051547,NO
0.13506855670103093,NO
0.16110103092783506,NO
0.11921391752577319,NO
0.12192319587628866,YES
0.11851494845360827,NO
0.0719778350515464,YES
0.03616855670103093,NO
0.19528711340206184,YES
0.04091855670103093,NO
0.08316855670103093,NO
0.060963917525773195,NO
0.07961855670103093,NO
0.07842319587628867,NO
0.19767886597938145,NO
0.07785927835051547,NO
0.0818639175257732,NO
0.0516639175257732,NO
0.0276639175257732,NO
0.0856639175257732,YES
0.27564742268041237,YES
0.35819020618556696,YES
0.07150000000000001,YES
0.0413,NO
0.10443814432989693,NO
0.14123247422680413,YES
0.2398530927835052,NO
0.0817139175257732,YES
0.283490206185567,NO
0.5412396907216495,NO
0.0967,NO
0.2771123711340206,NO
0.06983711340206186,NO
0.1159,YES
0.09996494845360826,NO
0.20622319587628868,YES
0.07085,NO
0.20997422680412373,YES
0.22713092783505162,NO
0.03385,NO
0.0874139175257732,NO
0.0247,NO
0.08575,YES
0.0482,NO
0.10323247422680414,YES
0.0772,NO
0.041754639175257735,NO
0.1296778350515464,NO
0.13425463917525773,NO
0.10400463917525772,NO
0.08505,NO
0.0842,NO
0.06125,NO
0.0883639175257732,NO
0.22201855670103093,YES
0.10462319587628867,NO
0.17097319587628867,YES
0.10965927835051546,NO
0.0878,NO
0.28548092783505163,NO
0.03215463917525774,NO
0.07345,NO
0.042813917525773196,NO
0.09018247422680414,NO
0.12672319587628866,NO
0.06465,NO
0.19485,YES
0.1806,YES
0.1550139175257732,YES
0.1447,YES
0.1113,NO
0.08765,YES
0.10049639175257732,NO
0.13687886597938148,NO
