NONETRACED_RFNONE_SINGLE_VSM_SUM.csv,Associated
0.06032285471537809,NO
0.0522986878127065,NO
0.09874445388464081,NO
0.21391484942886813,NO
0.054092325120362515,NO
0.07627678655716039,NO
0.04635136410837346,NO
0.054847540828849246,NO
0.15019352402529973,NO
0.23326725195884077,YES
0.0489002171245162,NO
0.7912772585669782,YES
0.21986217313320117,NO
0.2768809591239498,NO
0.228924761635042,NO
0.09855564995751911,NO
0.057396393844991976,NO
0.09544038516001133,NO
0.06126687435098651,NO
0.19645048617011235,NO
0.09902765977532332,NO
0.06428773718493344,YES
0.07608798263003871,YES
0.14821108279052206,YES
0.745964316057774,YES
0.13924289625224204,NO
0.058340413480600394,YES
0.10450297366185218,NO
0.1013877088643444,YES
0.6368356461814406,YES
0.3081280090625885,NO
0.1398093080336071,NO
0.09912206173888419,NO
0.10516378740677806,NO
0.5804776739356179,YES
0.11885207212310014,YES
0.11951288586802605,NO
0.0904370810912867,NO
0.11167752289247618,NO
0.0906258850184084,NO
0.16982913244595488,NO
0.26696875295006145,NO
0.18436703483432457,NO
0.7847635230812802,YES
0.06306051165864252,NO
0.23864816388180876,YES
0.022939677145284623,NO
0.37770225620692915,YES
0.02964221655810441,NO
0.15236476918719913,NO
0.06334371754932502,NO
0.11677522892476164,NO
0.06645898234683281,NO
0.20815632965165676,NO
0.09638440479561974,NO
0.12366657226470312,NO
0.07438874728594355,NO
0.1355612196733692,NO
0.11639762107051826,NO
0.28009062588501843,NO
0.1429245728311149,NO
0.14802227886340036,NO
0.1290474841876711,NO
0.05767959973567451,NO
0.2066458982346833,NO
0.8851128103464553,YES
0.20815632965165676,NO
0.2376097422826395,YES
0.1842726328707637,NO
0.19541206457094307,NO
0.19239120173699614,NO
0.17190597564429339,NO
0.14490701406589257,NO
0.11045029736618522,NO
0.174549230623997,NO
0.1564240536203153,NO
0.20806192768809595,NO
0.7237798546209762,YES
0.9113565562163694,YES
0.5055225148683092,YES
0.23345605588596244,YES
0.14736146511847445,NO
0.26706315491362226,YES
0.19380723119040877,NO
0.11375436609081468,YES
0.3602378929481733,YES
0.3075615972812235,NO
0.1665250637213254,NO
0.1424525630133107,NO
0.18342301519871615,NO
0.5793448503728879,YES
0.11753044463324838,YES
0.22023978098744457,NO
0.09005947323704333,NO
0.21391484942886813,NO
0.07448314924950439,NO
0.24459548758614177,NO
0.21618049655432836,NO
0.2243934673841216,NO
0.5215708486736524,YES
0.13490040592844332,NO
0.11545360143490985,YES
0.029547814594543566,NO
0.3948834135750024,YES
0.047956197488907774,NO
0.1182856603417351,NO
0.1238553761918248,NO
0.10214292457283114,NO
0.15623524969319363,NO
0.20796752572453509,NO
0.12772585669781933,NO
0.172755593316341,NO
0.05909562918908714,NO
0.013782686679882944,NO
0.12328896441045975,YES
0.8826583592938734,YES
0.8721797413386199,YES
0.15406400453129426,YES
0.06872462947229305,NO
0.003020862833946949,NO
0.18927593693948833,YES
0.12243934673841217,NO
0.11583120928915322,YES
0.12697064098933258,NO
0.20456905503634476,NO
0.23940337959029545,NO
0.17332200509770604,NO
0.04474653072783914,NO
0.7665439441140376,YES
0.04323609931086567,NO
0.4069668649107902,YES
0.14339658264891908,NO
0.7695648069479845,YES
0.04002643254979704,NO
0.06409893325781177,NO
0.20211460398376285,NO
0.03738317757009346,NO
0.15264797507788164,YES
0.09119229679977345,NO
0.12697064098933258,YES
0.13650523930897765,NO
0.05985084489757387,NO
0.17719248560370057,NO
0.31945624468988953,NO
0.19626168224299065,NO
0.36845086377796665,NO
0.14972151420749552,NO
0.10639101293306902,NO
0.17558765222316627,NO
0.6919663929009724,YES
0.14906070046256964,NO
0.5292174077220806,YES
0.17832530916643066,NO
0.15651845558387614,NO
0.15019352402529973,NO
0.041725667893892204,NO
0.20494666289058813,NO
0.04238648163881809,NO
0.10233172849995281,NO
