NONETRACED_MEDIAN_MULTI_VSM_MEDIAN.csv,Associated
0.07300000000000001,NO
0.042949999999999995,NO
0.10170000000000001,NO
0.14955000000000002,NO
0.06475,NO
0.0918,NO
0.06495,NO
0.04515,NO
0.13195,NO
0.14535,YES
0.0686,NO
0.18455,YES
0.15155,NO
0.15125,NO
0.1231,NO
0.07594999999999999,NO
0.0771,NO
0.07345,NO
0.07930000000000001,NO
0.1241,NO
0.09545000000000001,NO
0.05955,YES
0.07195,YES
0.1213,YES
0.138,YES
0.12035,NO
0.07544999999999999,YES
0.09525,NO
0.0883,YES
0.13135,YES
0.2084,NO
0.11515,NO
0.0849,NO
0.10335,NO
0.2366,YES
0.06029999999999999,YES
0.11349999999999999,NO
0.0762,NO
0.07425000000000001,NO
0.07085,NO
0.11935,NO
0.1197,NO
0.08935,NO
0.15825,YES
0.07730000000000001,NO
0.07095,YES
0.053250000000000006,NO
0.18259999999999998,YES
0.0535,NO
0.0847,NO
0.07569999999999999,NO
0.1022,NO
0.0629,NO
0.1358,NO
0.09235,NO
0.08675,NO
0.08990000000000001,NO
0.09390000000000001,NO
0.12345,NO
0.18595,NO
0.108,NO
0.1567,NO
0.1196,NO
0.04065,NO
0.17975000000000002,NO
0.2545,YES
0.13215,NO
0.1202,YES
0.1532,NO
0.1635,NO
0.1259,NO
0.11785,NO
0.12575,NO
0.08524999999999999,NO
0.15455000000000002,NO
0.11435,NO
0.15760000000000002,NO
0.2495,YES
0.2521,YES
0.23955,YES
0.11460000000000001,YES
0.147,NO
0.15335000000000001,YES
0.12234999999999999,NO
0.1052,YES
0.10125,YES
0.21430000000000002,NO
0.1191,NO
0.10545,NO
0.12054999999999999,NO
0.21495000000000003,YES
0.07669999999999999,YES
0.12990000000000002,NO
0.0741,NO
0.09355,NO
0.06385,NO
0.1466,NO
0.14780000000000001,NO
0.11725,NO
0.11845,YES
0.09045,NO
0.05840000000000001,YES
0.05455,NO
0.16935,YES
0.05845,NO
0.09165,NO
0.08829999999999999,NO
0.10195000000000001,NO
0.078,NO
0.15844999999999998,NO
0.1118,NO
0.10205,NO
0.0971,NO
0.033,NO
0.13835,YES
0.21525,YES
0.18430000000000002,YES
0.1703,YES
0.1052,NO
0.0237,NO
0.203,YES
0.11510000000000001,NO
0.12775,YES
0.10160000000000001,NO
0.1728,NO
0.1637,NO
0.1157,NO
0.0616,NO
0.1749,YES
0.0578,NO
0.24595,YES
0.10264999999999999,NO
0.1797,YES
0.07025,NO
0.0943,NO
0.15095,NO
0.0625,NO
0.16515000000000002,YES
0.13015,NO
0.13345,YES
0.12940000000000002,NO
0.0542,NO
0.15445,NO
0.1728,NO
0.13355,NO
0.15489999999999998,NO
0.1331,NO
0.07794999999999999,NO
0.15905000000000002,NO
0.2301,YES
0.12715,NO
0.1686,YES
0.1476,NO
0.1449,NO
0.10239999999999999,NO
0.051750000000000004,NO
0.12145,NO
0.050949999999999995,NO
0.10800000000000001,NO
0.1259,NO
0.10815,NO
0.22125,YES
0.22560000000000002,YES
0.19240000000000002,YES
0.1714,YES
0.16865,NO
0.14085,YES
0.11045,NO
0.10235,NO
0.053899999999999997,NO
0.09905,YES
0.23210000000000003,YES
0.15639999999999998,YES
0.13095,YES
0.09395,NO
0.0438,NO
0.1625,YES
0.15944999999999998,NO
0.09765,YES
0.09365,NO
0.15535000000000002,NO
0.18305,NO
0.13545,NO
0.09845000000000001,NO
0.16035,YES
0.09575,NO
0.17035,YES
0.09809999999999999,NO
0.16765,YES
0.1292,NO
0.15535,NO
0.1585,NO
0.077,NO
0.12765,YES
0.1105,NO
0.11424999999999999,YES
0.13015,NO
0.05595,NO
0.17070000000000002,NO
0.1475,NO
0.1193,NO
0.1733,NO
0.14315,NO
0.09645,NO
0.1683,NO
0.13069999999999998,YES
0.14375,NO
0.14695,YES
0.17880000000000001,NO
0.16075,NO
0.11915,NO
0.05845,NO
0.11624999999999999,NO
0.0582,NO
0.11624999999999999,NO
0.13945,NO
0.10944999999999999,NO
0.13175,YES
0.12535,YES
0.1656,YES
0.1895,YES
0.18375,NO
0.15394999999999998,YES
0.1238,NO
0.09745000000000001,NO
0.08535,NO
0.17729999999999999,NO
0.14785,NO
0.11195,NO
0.20365,NO
0.12284999999999999,NO
0.06775,NO
0.184,NO
0.2005,YES
0.1727,NO
0.1084,YES
0.11265,NO
0.096,NO
0.04405,NO
0.12645,NO
0.12405000000000001,NO
0.10915,NO
0.22235,NO
0.0865,NO
0.19619999999999999,NO
0.2397,YES
0.2138,YES
0.3233,YES
0.12229999999999999,YES
0.1755,NO
0.20315,YES
0.14300000000000002,NO
0.1253,NO
0.0586,NO
0.16385,NO
0.1593,NO
0.13665,NO
0.17304999999999998,NO
0.1417,NO
0.07905,NO
0.17655,NO
0.2113,YES
0.14505,NO
0.1285,YES
0.1691,NO
0.16355,NO
0.11985,NO
0.053599999999999995,NO
0.12795,NO
0.052849999999999994,NO
0.12265000000000001,NO
0.1208,NO
0.1205,NO
0.23325,YES
0.2251,YES
0.19824999999999998,YES
0.16465000000000002,YES
0.17759999999999998,NO
0.16360000000000002,YES
0.12925,NO
0.08185,NO
0.04735,NO
0.096,NO
0.19260000000000002,NO
0.10005,NO
0.09875,NO
0.06695000000000001,NO
0.039,NO
0.12585000000000002,NO
0.23954999999999999,YES
0.06595,NO
0.13135,YES
0.1407,NO
0.14225,NO
0.11424999999999999,NO
0.06285,NO
0.0952,NO
0.0625,NO
0.08895,NO
0.10794999999999999,NO
0.1109,NO
0.188,YES
0.19374999999999998,YES
0.19419999999999998,YES
0.08055000000000001,YES
0.11435000000000001,NO
0.0959,YES
0.086,NO
0.12855,NO
0.04115,NO
0.31024999999999997,YES
0.14135,YES
0.11635000000000001,YES
0.21345,YES
0.18375000000000002,NO
0.07935,NO
0.25880000000000003,YES
0.0953,NO
0.20825000000000002,YES
0.08625,NO
0.1664,NO
0.15625,NO
0.0883,NO
0.0789,NO
0.12405,YES
0.0764,NO
0.18235,YES
0.13655,NO
0.12905,YES
0.10894999999999999,NO
0.11295,NO
0.21835,NO
0.1001,NO
0.22749999999999998,YES
0.18585,NO
0.17465,YES
0.15125,NO
0.09645000000000001,NO
0.25005,YES
0.1923,NO
0.14300000000000002,NO
0.29905,YES
0.16005,NO
0.08115,NO
0.3787,YES
0.1421,NO
0.28075,YES
0.11285,NO
0.227,NO
0.2405,NO
0.14625,NO
0.11730000000000002,NO
0.19319999999999998,NO
0.11,NO
0.25980000000000003,NO
0.0995,NO
0.207,NO
0.1531,NO
0.1713,NO
0.27899999999999997,NO
0.13975,NO
0.2625,YES
0.25415,NO
0.22644999999999998,YES
0.1295,NO
0.0458,NO
0.20385,YES
0.22949999999999998,YES
0.1792,YES
0.22155,YES
0.14925,NO
0.0534,NO
0.26875,YES
0.1733,NO
0.206,YES
0.09655,NO
0.1938,NO
0.2079,NO
0.1283,NO
0.06625,NO
0.19485,YES
0.06355,NO
0.24570000000000003,YES
0.10219999999999999,NO
0.19119999999999998,YES
0.18645,NO
0.19675,NO
0.26034999999999997,NO
0.12054999999999999,NO
0.20725,YES
0.21765,NO
0.18785000000000002,YES
0.14125,NO
0.0996,NO
0.24645,YES
0.14479999999999998,NO
0.13005,NO
0.28265,YES
0.14445,NO
0.0922,NO
0.31275,YES
0.118,NO
0.29615,YES
0.1032,NO
0.1667,NO
0.14900000000000002,NO
0.07095,NO
0.11635,NO
0.17185,NO
0.1093,NO
0.23235,NO
0.05695,NO
0.19724999999999998,NO
0.15045,NO
0.14815,NO
0.26995,NO
0.14625000000000002,NO
0.25705,YES
0.25275000000000003,NO
0.2192,YES
0.05085,NO
0.0175,NO
0.0539,YES
0.12340000000000001,YES
0.07959999999999999,YES
0.0634,YES
0.046049999999999994,NO
0.0128,NO
0.09115,YES
0.0783,NO
0.04395,YES
0.0638,NO
0.10495,NO
0.11685000000000001,NO
0.09515,NO
0.04870000000000001,NO
0.11120000000000001,YES
0.0478,NO
0.09805,YES
0.08255,NO
0.08295,YES
0.022199999999999998,NO
0.0621,NO
0.0663,NO
0.0325,NO
0.06705,YES
0.0503,NO
0.054650000000000004,YES
0.19035,YES
0.034,YES
0.2374,NO
0.12079999999999999,NO
0.1051,NO
0.14155,NO
0.1624,YES
0.19845000000000002,YES
0.11979999999999999,NO
0.06390000000000001,NO
0.11385,NO
0.052250000000000005,NO
0.14195000000000002,NO
0.1245,NO
0.08645,NO
0.06305,YES
0.09195,NO
0.13835,YES
0.0542,NO
0.16555,YES
0.05815,NO
0.07769999999999999,NO
0.08549999999999999,NO
0.11125000000000002,NO
0.0857,NO
0.1671,NO
0.12869999999999998,NO
0.08965,NO
0.11035,NO
0.0518,NO
0.22610000000000002,YES
0.1365,YES
0.0917,YES
0.25145,YES
0.1164,NO
0.05695,NO
0.3847,YES
0.09295,NO
0.2492,YES
0.0743,NO
0.2083,NO
0.1762,NO
0.1116,NO
0.07880000000000001,NO
0.12985,YES
0.07794999999999999,NO
0.2134,YES
0.06595000000000001,NO
0.16945,YES
0.11255000000000001,NO
0.1147,NO
0.24415000000000003,NO
0.10264999999999999,NO
0.2238,YES
0.2165,NO
0.25765,YES
0.1305,NO
0.044950000000000004,NO
0.2742,YES
0.18195,YES
0.15864999999999999,YES
0.2019,YES
0.18485000000000001,NO
0.08205000000000001,NO
0.23709999999999998,YES
0.13729999999999998,NO
0.2032,YES
0.08829999999999999,NO
0.17245,NO
0.169,NO
0.1084,NO
0.08410000000000001,NO
0.15735,YES
0.07775,NO
0.19775,YES
0.1317,NO
0.1623,YES
0.15760000000000002,NO
0.16344999999999998,NO
0.2319,NO
0.1125,NO
0.2126,YES
0.19445,NO
0.1671,YES
0.1355,NO
0.07475,NO
0.31235,YES
0.1446,YES
0.1524,YES
0.23435,YES
0.17475,NO
0.10400000000000001,NO
0.2364,YES
0.09685,NO
0.24265,YES
0.0823,NO
0.12394999999999999,NO
0.1191,NO
0.04245,NO
0.13455,NO
0.1507,YES
0.13045,NO
0.2338,YES
0.11345000000000001,NO
0.19255,YES
0.13405,NO
0.12384999999999999,NO
0.2374,NO
0.1272,NO
0.2259,YES
0.231,NO
0.1805,YES
0.09765,NO
0.0543,NO
0.2172,YES
0.1213,YES
0.08130000000000001,YES
0.22724999999999998,YES
0.09945000000000001,NO
0.0427,NO
0.3669,YES
0.08825,NO
0.2346,YES
0.07485,NO
0.1961,NO
0.1421,NO
0.08285000000000001,NO
0.08399999999999999,NO
0.11825,YES
0.0814,NO
0.20829999999999999,YES
0.0469,NO
0.17245,YES
0.10615,NO
0.10435,NO
0.24485,NO
0.09645000000000001,NO
0.2158,YES
0.19574999999999998,NO
0.28415,YES
0.10655,NO
0.05925,NO
0.09665,YES
0.22765,YES
0.16245,YES
0.13155,YES
0.0911,NO
0.0404,NO
0.16415,YES
0.1294,NO
0.09825,YES
0.0915,NO
0.16499999999999998,NO
0.18730000000000002,NO
0.14065,NO
0.11045,NO
0.158,YES
0.10930000000000001,NO
0.17515000000000003,YES
0.09709999999999999,NO
0.16845,YES
0.087,NO
0.12185,NO
0.12925,NO
0.0744,NO
0.1231,YES
0.1043,NO
0.1073,YES
0.12309999999999999,NO
0.0693,NO
0.18505,YES
0.22205,YES
0.22655,YES
0.22725,YES
0.11045,NO
0.05840000000000001,NO
0.222,YES
0.13495000000000001,NO
0.21195,YES
0.0965,NO
0.13290000000000002,NO
0.1226,NO
0.0485,NO
0.12054999999999999,NO
0.2177,YES
0.1167,NO
0.35585,YES
0.0672,NO
0.2935,YES
0.12955,NO
0.13435,NO
0.22515,NO
0.1046,NO
0.2097,YES
0.1955,NO
0.16925,YES
0.08020000000000001,NO
0.027299999999999998,NO
0.09935,NO
0.1455,NO
0.0612,NO
0.08424999999999999,NO
0.08310000000000001,NO
0.03375,NO
0.1599,NO
0.08915,NO
0.06634999999999999,NO
0.07075000000000001,NO
0.23535,YES
0.2036,YES
0.207,YES
0.0567,NO
0.07295,NO
0.0573,NO
0.06535,NO
0.0957,NO
0.07300000000000001,NO
0.051750000000000004,NO
0.07744999999999999,NO
0.0947,NO
0.04725,NO
0.11645,NO
0.061200000000000004,NO
0.12775,NO
0.08515,YES
0.15209999999999999,YES
0.1663,NO
0.11615,NO
0.06075,NO
0.06525,NO
0.18989999999999999,YES
0.06965,YES
0.07425,NO
0.09945000000000001,NO
0.04625,NO
0.10385,NO
0.1068,NO
0.1009,NO
0.0885,NO
0.16805,YES
0.061450000000000005,NO
0.10425,YES
0.04115,NO
0.19625,YES
0.06709999999999999,NO
0.07395,NO
0.057800000000000004,NO
0.09515,NO
0.0622,NO
0.1006,NO
0.06925,NO
0.066,NO
0.0808,NO
0.0264,NO
0.12855,YES
0.19080000000000003,YES
0.17825,YES
0.1647,YES
0.0867,NO
0.02175,NO
0.18625,YES
0.10305,NO
0.13055,YES
0.0773,NO
0.16635,NO
0.15325,NO
0.10865,NO
0.039400000000000004,NO
0.16315,YES
0.0376,NO
0.23420000000000002,YES
0.08265,NO
0.19025,YES
0.0633,NO
0.07705000000000001,NO
0.13065000000000002,NO
0.05395,NO
0.14715,YES
0.11904999999999999,NO
0.1186,YES
0.2065,YES
0.0235,YES
0.21445,NO
0.11524999999999999,NO
0.07314999999999999,NO
0.10794999999999999,NO
0.14665,YES
0.21964999999999998,YES
0.10375000000000001,NO
0.0754,NO
0.08399999999999999,NO
0.0695,NO
0.11945,NO
0.10925,NO
0.0789,NO
0.0721,YES
0.07765,NO
0.17625,YES
0.05255,NO
0.18265,YES
0.05235,NO
0.05495,NO
0.077,NO
0.1059,NO
0.0581,NO
0.1398,NO
0.0938,NO
0.07925,NO
0.0967,NO
0.04365,NO
0.09359999999999999,NO
0.1507,NO
0.07795,NO
0.11729999999999999,NO
0.07965,NO
0.0555,NO
0.14479999999999998,NO
0.1291,YES
0.08710000000000001,NO
0.11525,YES
0.1539,NO
0.1706,NO
0.13675,NO
0.09129999999999999,NO
0.0968,NO
0.1017,NO
0.10550000000000001,NO
0.1202,NO
0.11475,NO
0.08195,YES
0.1022,YES
0.121,YES
0.1157,YES
0.11475,NO
0.09525,YES
0.096,NO
0.20290000000000002,YES
0.031100000000000003,YES
0.16799999999999998,NO
0.11715,NO
0.0521,NO
0.06559999999999999,NO
0.1082,YES
0.23165000000000002,YES
0.08065,NO
0.07765,NO
0.051449999999999996,NO
0.0676,NO
0.10515000000000001,NO
0.101,NO
0.08270000000000001,NO
0.07654999999999999,YES
0.054599999999999996,NO
0.20195,YES
0.0392,NO
0.18795,YES
0.054650000000000004,NO
0.04325,NO
0.0563,NO
0.0893,NO
0.04965,NO
0.09865,NO
0.06735,NO
0.060450000000000004,NO
0.1146,NO
0.04425,NO
0.1248,NO
0.13540000000000002,NO
0.08574999999999999,NO
0.1341,NO
0.1254,NO
0.0706,NO
0.14195000000000002,NO
0.12140000000000001,YES
0.1018,NO
0.16355,YES
0.1595,NO
0.1697,NO
0.12279999999999999,NO
0.063,NO
0.1005,NO
0.06425,NO
0.0895,NO
0.13085,NO
0.0857,NO
0.0774,YES
0.09989999999999999,YES
0.11175,YES
0.1627,YES
0.1459,NO
0.10665,YES
0.096,NO
