NONETRACED_MAX_SINGLE_LSA_MEDIAN.csv,Associated
0.3499353807520022,NO
0.3735800461517578,NO
0.42322416180263334,NO
0.4742241618026333,NO
0.39957416180263333,NO
0.2962841183656848,NO
0.24324123116601065,NO
0.3082814782136554,NO
0.41484228994163164,NO
0.47298169539839824,YES
0.3675042215284376,NO
0.5075367177955747,YES
0.4873741618026333,NO
0.61155,NO
0.4771741618026333,NO
0.3768366634993892,NO
0.5353,NO
0.37647619790959685,NO
0.4033741618026333,NO
0.4584816953983982,NO
0.4233741618026333,NO
0.4049741618026333,YES
0.5402,YES
0.44942416180263334,YES
0.45059590063798016,YES
0.4446741618026333,NO
0.3157647074792996,YES
0.42627416180263333,NO
0.2267369621284105,YES
0.5435384009773313,YES
0.61835111985883,NO
0.5752850074657256,NO
0.5076511198588299,NO
0.28635878919505897,NO
0.3558269919913126,YES
0.39222355775756756,YES
0.47732175919641645,NO
0.5165572960499525,NO
0.46543387403284914,NO
0.5529,NO
0.5401011198588299,NO
0.4115789466539975,NO
0.5278011198588299,NO
0.5373872471833854,YES
0.2738097054431926,NO
0.4546303922899416,YES
0.46730111985882994,NO
0.5917634926021447,YES
0.47085111985882994,NO
0.5108511198588299,NO
0.4295182774535089,NO
0.5120011198588299,NO
0.44949324012488123,NO
0.5454011198588299,NO
0.40677122980860597,NO
0.5006511198588299,NO
0.23671210804940956,NO
0.4788989955205647,NO
0.14337910275553142,NO
0.3940983779014524,NO
0.41406884756345863,NO
0.2353971901723904,NO
0.19310882991719835,NO
0.42866704900230757,NO
0.16948302565494774,NO
0.2287,YES
0.1944434708836704,NO
0.11004822179991858,YES
0.17932910275553143,NO
0.4090651282747388,NO
0.21335626442242436,NO
0.1510606284783494,NO
0.4909298968372472,NO
0.21753329713587627,NO
0.17417910275553145,NO
0.1651899348445772,NO
0.2564282204425139,NO
0.5970113682638793,YES
0.6272871182299443,YES
0.25947910275553143,YES
0.4955677820008144,YES
0.15977910275553142,NO
0.3043043912040179,YES
0.13937910275553142,NO
0.2613628410479164,YES
0.55147100583684,YES
0.6593162209854758,NO
0.5794350074657256,NO
0.5668662209854758,NO
0.3296854011130718,NO
0.376243009366092,YES
0.44086589520836156,YES
0.5342899212705308,NO
0.5113572960499525,NO
0.5236092574996606,NO
0.54435,NO
0.6059662209854758,NO
0.5098567666621421,NO
0.5952662209854758,NO
0.530723096239989,YES
0.3090077982896702,NO
0.4772519818107779,YES
0.5070662209854758,NO
0.583668569295507,YES
0.5118162209854759,NO
0.5540662209854759,NO
0.46806006515542287,NO
0.5505162209854758,NO
0.5005935319668793,NO
0.6015662209854759,NO
0.45312078865209715,NO
0.5579162209854758,NO
0.33659364734627395,NO
0.3165301208090132,NO
0.41274106149043027,YES
0.4823857472512556,YES
0.46183574725125565,YES
0.4510303379937559,YES
0.46195969865616937,NO
0.23841258314103436,NO
0.3878973869960636,YES
0.206983609338944,NO
0.44578033799375594,YES
0.2287266254920592,NO
0.4232357472512556,NO
0.4001478077915027,NO
0.4116857472512556,NO
0.461340599972852,NO
0.5068325369892765,YES
0.3648435726890186,NO
0.4954357472512556,YES
0.3283496606488394,NO
0.4424857472512556,YES
0.3410857472512556,NO
