UPPERTRACED_RFNONE_MULTI_LSA_SUM.csv,Associated
0.040534335855045234,NO
0.11050028504075315,NO
0.058989569049196514,NO
0.2517079333775019,NO
0.6513473953438209,NO
0.05459531916860548,NO
0.028220575320093075,NO
0.035708672942699124,NO
0.11974176848527807,NO
0.5081983883641744,YES
0.03046700460687489,NO
1.0,YES
0.16573656071368048,NO
0.1648367563903056,NO
0.14876353943577345,NO
0.058823166879805266,NO
0.037955102229480925,NO
0.2255612221314886,NO
0.025958738425034295,NO
0.14510269170916604,NO
0.737173936489839,NO
0.16728964762799875,YES
0.04610880852965196,YES
0.11799454570667,YES
0.34838143075050465,YES
0.7726175985701742,NO
0.03878711307643716,YES
0.0640648352156295,NO
0.2378903902747177,YES
0.35204227847711206,YES
0.49005130733556246,NO
0.1876276905535954,NO
0.2904364975424865,NO
0.5647782074788531,NO
0.49250111705160027,YES
0.22832226553472107,YES
0.07729380768223351,NO
0.05166787359598171,NO
0.06083540052077718,NO
0.12887231715020883,NO
0.11331987735543816,NO
0.0907723834029244,NO
0.09285241052031495,NO
0.21309338551376678,YES
0.22783846663482438,NO
0.6121658474954934,YES
0.7471519036100027,NO
0.4314993143614318,YES
0.1829776743756067,NO
0.06464724280849886,NO
0.19727285333497688,NO
0.06656086775649818,NO
0.21542609740689955,NO
0.12213919233317416,NO
0.2109856247014777,NO
0.8796850684868192,NO
0.05293129747469302,NO
0.18388364174229238,NO
0.07454817188727797,NO
0.3100318937491334,NO
0.7213195075728396,NO
0.11782814353727875,NO
0.10110472551345859,NO
0.021564488544443254,NO
0.1611759086636982,NO
0.6833366716484602,YES
0.11258647520145451,NO
0.8864305193904752,YES
0.1343697517834307,NO
0.15959508805448136,NO
0.14152504506725427,NO
0.12347040968830411,NO
0.10676239927276093,NO
0.2387901945980926,NO
0.12580004005978157,NO
0.10982543179822199,NO
0.8249510808437209,NO
0.47396884581606413,YES
0.3329861485601591,YES
0.28314869882748117,YES
0.296047948476958,YES
0.7797728918539978,NO
0.1395436266428363,YES
0.06789208511162814,NO
0.2571098408394066,YES
0.29962559511886977,YES
0.48955210082738876,NO
0.19453338058333208,NO
0.32030568694821504,NO
0.592151364343713,NO
0.4499021616874415,YES
0.2521177757576692,YES
0.10782860576552705,NO
0.04301496078763696,NO
0.09270141595920067,NO
0.11464493166725737,NO
0.15425481102568453,NO
0.13753139300186437,NO
0.13644977890082127,NO
0.1392108223040538,YES
0.24123384127081965,NO
0.5867895166633285,YES
0.7446558710691341,NO
0.4050413694282237,YES
0.18247846786743296,NO
0.06789208511162814,NO
0.20900420627705968,NO
0.06198480809823895,NO
0.23630956966550087,NO
0.14693311557246974,NO
0.2302882763508622,NO
0.9063094155894185,NO
0.03945272175400215,NO
0.014923809377070406,NO
0.48121966627120494,YES
0.25777236799531617,YES
0.40846802150902134,YES
0.09819268754911181,YES
0.047939232392955666,NO
0.08247692710660527,NO
0.16959462582623305,YES
0.09528064958476501,NO
0.18190222331787442,YES
0.09927430165015488,NO
0.15934548480039448,NO
0.24797929217447584,NO
0.34042494183627886,NO
0.05762137343420183,NO
0.2028904673127591,YES
0.25658906367964507,NO
0.5260095835323485,YES
0.32822519760257624,NO
0.48412245967058554,YES
0.053461319199420695,NO
0.03554227077330786,NO
0.09894149731137239,NO
0.020316472274008915,NO
0.12190499668736426,YES
0.05942098208095159,NO
0.09095419318059261,YES
0.1076776112044128,NO
0.11715637181640298,NO
0.128129670431259,NO
0.2864859867802722,NO
0.7600080119563042,NO
0.12074018150162555,NO
0.11932576306179996,NO
0.08113646518650913,NO
0.10052231792058924,NO
0.6379088794046502,YES
