LOWERTRACED_RFNONE_MULTI_VSM_MEDIAN.csv,Associated
0.03685,NO
0.0326,NO
0.0572,NO
0.1082,NO
0.03355,NO
0.0453,NO
0.02945,NO
0.03395,NO
0.08445,NO
0.53345,YES
0.0308,NO
0.579,YES
0.61635,NO
0.60655,NO
0.60615,NO
0.0571,NO
0.0353,NO
0.05545,NO
0.03735,NO
0.10895,NO
0.05735,NO
0.44894999999999996,YES
0.4502,YES
0.49339999999999995,YES
0.53,YES
0.07865,NO
0.4458,YES
0.06025,NO
0.5036,YES
0.5722,YES
0.1681,NO
0.07895,NO
0.0574,NO
0.0556,NO
0.64735,YES
0.49785,YES
0.0682,NO
0.0528,NO
0.04905,NO
0.0529,NO
0.08985,NO
0.0763,NO
0.07755,NO
0.59055,YES
0.0383,NO
0.5063,YES
0.01705,NO
0.61995,YES
0.0206,NO
0.0606,NO
0.03845,NO
0.06175,NO
0.0401,NO
0.09515,NO
0.05595,NO
0.0504,NO
0.0443,NO
0.0767,NO
0.06655,NO
0.14325,NO
0.0756,NO
0.0833,NO
0.07325,NO
0.02545,NO
0.10935,NO
0.6737,YES
0.08015,NO
0.54575,YES
0.1025,NO
0.1084,NO
0.1068,NO
0.09595,NO
0.07665,NO
0.0634,NO
0.09735,NO
0.08775,NO
0.1101,NO
0.66825,YES
0.6576,YES
0.62765,YES
0.53355,YES
0.08295,NO
0.54135,YES
0.06255,NO
0.06515,YES
0.0907,YES
0.6678,NO
0.5831,NO
0.57535,NO
0.57205,NO
0.17175,YES
0.06215,YES
0.58655,NO
0.0476,NO
0.5682,NO
0.04435,NO
0.12945,NO
0.1194,NO
0.11875,NO
0.09615,YES
0.54635,NO
0.04105,YES
0.51555,NO
0.15405,YES
0.5203,NO
0.06255,NO
0.0455,NO
0.059000000000000004,NO
0.05265,NO
0.61005,NO
0.06755,NO
0.5664,NO
0.0362,NO
0.0122,NO
0.3902,YES
0.4124,YES
0.39185000000000003,YES
0.3915,YES
0.0413,NO
0.006500000000000001,NO
0.42515000000000003,YES
0.06975,NO
0.38625,YES
0.07215,NO
0.10825,NO
0.0967,NO
