UPPERTRACED_RFNONE_SINGLE_VSM_MEDIAN.csv,Associated
0.13685,NO
0.1126,NO
0.0872,NO
0.3432,NO
0.31855,NO
0.1503,NO
0.23445,NO
0.03395,NO
0.19945000000000002,NO
0.46845,YES
0.2108,NO
0.30537931034482757,YES
0.15134999999999998,NO
0.14155,NO
0.11115,NO
0.0921,NO
0.1503,NO
0.07045,NO
0.26735000000000003,NO
0.10895,NO
0.28235,NO
0.31395,YES
0.1352,YES
0.2734,YES
0.25137931034482763,YES
0.20865,NO
0.3458,YES
0.27025,NO
0.2136,YES
0.23506634743718136,YES
0.1781,NO
0.07895,NO
0.0574,NO
0.0556,NO
0.4225675324638143,YES
0.052849999999999994,YES
0.0682,NO
0.11338333333333334,NO
0.04905,NO
0.0529,NO
0.08985,NO
0.0763,NO
0.08754999999999999,NO
0.3813037636566474,YES
0.0383,NO
0.2513,YES
0.042050000000000004,NO
0.5649500000000001,YES
0.0206,NO
0.0606,NO
0.03845,NO
0.06175,NO
0.0401,NO
0.09515,NO
0.05595,NO
0.0554,NO
0.1443,NO
0.1567,NO
0.09655,NO
0.37825,NO
0.3606,NO
0.1883,NO
0.27825,NO
0.02545,NO
0.22435,NO
0.5737,YES
0.26015,NO
0.2371293103448276,YES
0.1325,NO
0.1384,NO
0.1068,NO
0.13095,NO
0.19165,NO
0.0784,NO
0.32735000000000003,NO
0.08775,NO
0.3351,NO
0.49825,YES
0.3076,YES
0.37265000000000004,YES
0.2199293103448276,YES
0.21295,NO
0.40635,YES
0.27254999999999996,NO
0.22515000000000002,YES
0.20356634743718136,YES
0.1778,NO
0.0831,NO
0.07535,NO
0.07205,NO
0.3969675324638143,YES
0.06715,YES
0.08655,NO
0.10818333333333334,NO
0.0682,NO
0.04435,NO
0.11445,NO
0.1044,NO
0.11374999999999999,NO
0.3369037636566474,YES
0.04635,NO
0.23605,YES
0.04055,NO
0.54905,YES
0.0203,NO
0.06255,NO
0.0455,NO
0.059000000000000004,NO
0.05265,NO
0.11005,NO
0.06755,NO
0.0714,NO
0.0362,NO
0.0122,NO
0.2652,YES
0.39239999999999997,YES
0.5468500000000001,YES
0.2615,YES
0.0963,NO
0.006500000000000001,NO
0.20015,YES
0.07475000000000001,NO
0.16625,YES
0.08715,NO
0.20325,NO
0.19169999999999998,NO
0.3467,NO
0.0286,NO
0.5459,YES
0.0378,NO
0.53045,YES
0.20585,NO
0.3975,YES
0.16610000000000003,NO
0.20385,NO
0.16194999999999998,NO
0.0547,NO
0.27075,YES
0.1582,NO
0.28215,YES
0.17720000000000002,NO
0.11660000000000001,NO
0.12875,NO
0.3641,NO
0.38384999999999997,NO
0.19005,NO
0.2892,NO
0.06125,NO
0.1879,NO
0.5464,YES
0.25885,NO
0.2815793103448276,YES
0.12935,NO
0.1178,NO
0.08445,NO
0.062000000000000006,NO
0.18845,NO
0.04235,NO
0.2841,NO
0.10095,NO
0.28965,NO
0.46985,YES
0.2756,YES
0.32955,YES
0.2760793103448276,YES
0.24130000000000001,NO
0.39765,YES
0.25895,NO
0.04925,NO
0.0387,NO
0.24845,YES
0.40735,YES
0.5265500000000001,YES
0.25655,YES
0.09925,NO
0.0302,NO
0.19840000000000002,YES
0.1349,NO
0.153,YES
0.08795,NO
0.2076,NO
0.22355,NO
0.36875,NO
0.07265,NO
0.54225,YES
0.08049999999999999,NO
0.48114999999999997,YES
0.20600000000000002,NO
0.39775000000000005,YES
0.24245,NO
0.2803,NO
0.2014,NO
0.0816,NO
0.25805,YES
0.1658,NO
0.2813,YES
0.17075,NO
0.11725,NO
0.14905000000000002,NO
0.32999999999999996,NO
0.36234999999999995,NO
0.20484999999999998,NO
0.28764999999999996,NO
0.0768,NO
0.21495,NO
0.44444999999999996,YES
0.28225,NO
0.2587293103448276,YES
0.15595,NO
0.1318,NO
0.10165,NO
0.06165,NO
0.1675,NO
0.043,NO
0.28565,NO
0.1128,NO
0.27445,NO
0.36895,YES
0.16725,YES
0.28505,YES
0.2867793103448276,YES
0.25025,NO
0.39285,YES
0.27654999999999996,NO
0.14745,NO
0.14695,NO
0.142,NO
0.33335,NO
0.3568,NO
0.20895,NO
0.27194999999999997,NO
0.04835,NO
0.2249,NO
0.5164,YES
0.2972,NO
0.22317931034482758,YES
0.09655,NO
0.06675,NO
0.03235,NO
0.137,NO
0.18135,NO
0.09775,NO
0.385,NO
0.06545,NO
0.36595,NO
0.4771,YES
0.25980000000000003,YES
0.43705,YES
0.2205293103448276,YES
0.2265,NO
0.44365,YES
0.2963,NO
0.17195,NO
0.11845,NO
0.12764999999999999,NO
0.35209999999999997,NO
0.38734999999999997,NO
0.19615,NO
0.2892,NO
0.0602,NO
0.20255,NO
0.5239499999999999,YES
0.2714,NO
0.2405293103448276,YES
0.1426,NO
0.13205,NO
0.10035,NO
0.0599,NO
0.18575,NO
0.040749999999999995,NO
0.29035,NO
0.0956,NO
0.29500000000000004,NO
0.4769,YES
0.2697,YES
0.32994999999999997,YES
0.2651293103448276,YES
0.2403,NO
0.41015,YES
0.26839999999999997,NO
0.13635,NO
0.1157,NO
0.084,NO
0.37929999999999997,NO
0.35634999999999994,NO
0.14775,NO
0.23525,NO
0.0266,NO
0.18605,NO
0.56485,YES
0.21034999999999998,NO
0.2537293103448276,YES
0.1359,NO
0.13240000000000002,NO
0.10225,NO
0.07745,NO
0.16675,NO
0.0562,NO
0.27875,NO
0.0851,NO
0.3009,NO
0.4436,YES
0.26015,YES
0.347,YES
0.1942293103448276,YES
0.19875,NO
0.3664,YES
0.2595,NO
0.07844999999999999,NO
0.25755,NO
0.62975,YES
0.21155000000000002,YES
0.17135,YES
0.52735,YES
0.31684999999999997,NO
0.05325,NO
0.5932999999999999,YES
0.2937,NO
0.56445,YES
0.06294999999999999,NO
0.24655000000000002,NO
0.3198,NO
0.3137,NO
0.0451,NO
0.10464999999999999,YES
0.048749999999999995,NO
0.40345,YES
0.21645,NO
0.23105,YES
0.32855,NO
0.315,NO
0.27125,NO
0.32,NO
0.39495,YES
0.1908,NO
0.53405,YES
0.08995,NO
0.14735,NO
0.19974999999999998,YES
0.1078,NO
0.15175,NO
0.37795,YES
0.16635,NO
0.05485,NO
0.45239999999999997,YES
0.0955,NO
0.49405,YES
0.0764,NO
0.3932,NO
0.32515,NO
0.1324,NO
0.09050000000000001,NO
0.1795,NO
0.0699,NO
0.18365,NO
0.13255,NO
0.14185,NO
0.09955,NO
0.0892,NO
0.37334999999999996,NO
0.18585000000000002,NO
0.5747,YES
0.20295,NO
0.5337000000000001,YES
0.0399,NO
0.0182,NO
0.31875,YES
0.3647,YES
0.5116,YES
0.30065,YES
0.11665,NO
0.0237,NO
0.23495,YES
0.12140000000000001,NO
0.2304,YES
0.06975,NO
0.21325,NO
0.19805,NO
0.3524,NO
0.0228,NO
0.5197499999999999,YES
0.032100000000000004,NO
0.485,YES
0.1962,NO
0.36565000000000003,YES
0.25985,NO
0.27555,NO
0.23675,NO
0.08775,NO
0.3065,YES
0.20795,NO
0.314,YES
0.0818,NO
0.0823,NO
0.22405,YES
0.0881,NO
0.08245,NO
0.22485,YES
0.08405,NO
0.0815,NO
0.6569,YES
0.0795,NO
0.39649999999999996,YES
0.0728,NO
0.1372,NO
0.1471,NO
0.06385,NO
0.08875,NO
0.1153,NO
0.0827,NO
0.20285,NO
0.0501,NO
0.13315,NO
0.1109,NO
0.0882,NO
0.20505,NO
0.273,NO
0.24100000000000002,YES
0.19419999999999998,NO
0.16695000000000002,YES
0.02335,NO
0.0092,NO
0.2222,YES
0.32335,YES
0.46255,YES
0.2163,YES
0.07445,NO
0.0049,NO
0.1552,YES
0.0626,NO
0.1217,YES
0.06470000000000001,NO
0.1805,NO
0.18165,NO
0.33925,NO
0.0316,NO
0.5126,YES
0.0407,NO
0.42665,YES
0.20235,NO
0.3306,YES
0.14750000000000002,NO
0.20570000000000002,NO
0.1249,NO
0.0475,NO
0.2186,YES
0.12890000000000001,NO
0.24685,YES
0.31120000000000003,YES
0.13696634743718136,YES
0.1917,NO
0.0774,NO
0.07295,NO
0.0753,NO
0.3449175324638143,YES
0.18965,YES
0.0702,NO
0.09848333333333334,NO
0.07585,NO
0.0335,NO
0.10655,NO
0.08,NO
0.0823,NO
0.28295376365664743,YES
0.0475,NO
0.31595,YES
0.038000000000000006,NO
0.54425,YES
0.01885,NO
0.051,NO
0.04635,NO
0.06295,NO
0.05965,NO
0.10885,NO
0.075,NO
0.054799999999999995,NO
0.06695000000000001,NO
0.2686,NO
0.5284,YES
0.19770000000000001,YES
0.1501,YES
0.5433,YES
0.24839999999999998,NO
0.03385,NO
0.7028,YES
0.2919,NO
0.58855,YES
0.04825,NO
0.2921,NO
0.33835,NO
0.3412,NO
0.042,NO
0.11135,YES
0.043649999999999994,NO
0.4351,YES
0.15105000000000002,NO
0.26345,YES
0.33265,NO
0.32210000000000005,NO
0.27115,NO
0.31885,NO
0.37329999999999997,YES
0.19605,NO
0.61155,YES
0.0839,NO
0.2587,NO
0.58885,YES
0.25070000000000003,YES
0.21034999999999998,YES
0.50835,YES
0.3146,NO
0.05825,NO
0.58175,YES
0.3393,NO
0.5461,YES
0.0644,NO
0.25385,NO
0.33315,NO
0.3272,NO
0.0474,NO
0.131,YES
0.0491,NO
0.39835,YES
0.2084,NO
0.24370000000000003,YES
0.37170000000000003,NO
0.3673,NO
0.2702,NO
0.3261,NO
0.37695,YES
0.18205,NO
0.53685,YES
0.09210000000000002,NO
0.28995,NO
0.638,YES
0.22115,YES
0.2098,YES
0.54985,YES
0.3185,NO
0.0811,NO
0.5986,YES
0.3001,NO
0.5950500000000001,YES
0.0611,NO
0.21415,NO
0.2881,NO
0.27144999999999997,NO
0.1017,NO
0.1391,YES
0.10375000000000001,NO
0.45609999999999995,YES
0.19865,NO
0.2907,YES
0.3527,NO
0.34005,NO
0.30095,NO
0.34575,NO
0.3976,YES
0.22795,NO
0.5589999999999999,YES
0.060450000000000004,NO
0.2716,NO
0.5297000000000001,YES
0.19455,YES
0.14325,YES
0.53205,YES
0.2382,NO
0.0278,NO
0.69145,YES
0.29515,NO
0.5802,YES
0.054000000000000006,NO
0.28295000000000003,NO
0.30815,NO
0.31484999999999996,NO
0.05235,NO
0.10655,YES
0.055799999999999995,NO
0.43829999999999997,YES
0.14195,NO
0.27235,YES
0.32885000000000003,NO
0.31565000000000004,NO
0.27675,NO
0.31475000000000003,NO
0.376,YES
0.18345,NO
0.64315,YES
0.05755,NO
0.04525,NO
0.2464,YES
0.4033,YES
0.5325500000000001,YES
0.2671,YES
0.10200000000000001,NO
0.0277,NO
0.19685,YES
0.10355,NO
0.1563,YES
0.0859,NO
