UPPERTRACED_MAX_SINGLE_LSA_MEDIAN.csv,Associated
0.28685000000000005,NO
0.3593193018907127,NO
0.33659954290463334,NO
0.417518512362352,NO
0.40992648036567636,NO
0.4499332848535218,NO
0.4241622376895907,NO
0.08542517141076253,NO
0.2634443901932267,NO
0.22982855807188865,YES
0.27674847288593396,NO
0.21211240390608765,YES
0.3336396322460004,NO
0.61155,NO
0.40083418865572407,NO
0.5056248285892375,NO
0.5353,NO
0.40756926033658847,NO
0.3078673488468731,NO
0.18888974651984208,NO
0.39014659256181183,NO
0.3552288281736963,YES
0.5402,YES
0.37973284853521716,YES
0.3533783503012674,YES
0.4379892894244754,NO
0.4658332432993975,YES
0.21971395179721584,NO
0.5536,YES
0.6212650322044464,YES
0.21552364429669643,NO
0.2994985144400582,NO
0.4013642634531478,NO
0.0556,NO
0.4646469042177437,YES
0.54785,YES
0.14912665697070435,NO
0.18821450238936216,NO
0.27390975483066693,NO
0.18696399335134012,NO
0.2711298670268025,NO
0.4566760648244339,NO
0.30583797008103053,NO
0.38623875960939125,YES
0.3642401620610846,NO
0.4439480365676294,YES
0.1131958549761064,NO
0.4510636505298151,YES
0.13123785580718889,NO
0.5311485144400582,NO
0.34953456264284233,NO
0.17514081653854147,NO
0.5401,NO
0.1498975586952005,NO
0.18767657386245584,NO
0.1489352171202992,NO
0.29430000000000006,NO
0.4034193018907127,NO
0.34594954290463337,NO
0.45256851236235196,NO
0.45197648036567634,NO
0.4879332848535218,NO
0.4679622376895907,NO
0.07692517141076252,NO
0.28834439019322666,NO
0.33507855807188863,YES
0.32609847288593397,NO
0.14386240390608768,YES
0.3147896322460004,NO
0.6084,NO
0.3964841886557241,NO
0.5444748285892376,NO
0.57665,NO
0.4155192603365885,NO
0.3678673488468731,NO
0.1676897465198421,NO
0.4428965925618118,NO
0.5395288281736963,YES
0.7126,YES
0.4789828485352172,YES
0.32192835030126743,YES
0.44228928942447543,NO
0.5263832432993976,YES
0.22201395179721584,NO
0.56515,YES
0.5897650322044464,YES
0.21522364429669644,NO
0.3036485144400582,NO
0.4193142634531478,NO
0.07205,NO
0.43904690421774367,YES
0.56215,YES
0.16747665697070435,NO
0.18301450238936215,NO
0.29305975483066693,NO
0.17841399335134012,NO
0.2957298670268025,NO
0.4847760648244339,NO
0.33203797008103053,NO
0.3418387596093912,YES
0.3722901620610846,NO
0.4286980365676294,YES
0.1116958549761064,NO
0.4351636505298151,YES
0.13093785580718886,NO
0.5330985144400582,NO
0.35658456264284233,NO
0.17239081653854146,NO
0.55265,NO
0.1647975586952005,NO
0.19927657386245584,NO
0.16493521712029918,NO
0.4264451693330563,NO
0.48835832121338046,NO
0.5702,YES
0.6674,YES
0.64685,YES
0.3902720756285062,YES
0.42276686058591323,NO
0.4190805111157283,NO
0.5712314460835238,YES
0.56975,NO
0.5383048514440059,YES
0.57215,NO
0.60825,NO
0.5760787658425099,NO
0.5967,NO
0.4845006856430502,NO
0.4385677747766466,YES
0.484947309370455,NO
0.68045,YES
0.57085,NO
0.6275,YES
0.5261,NO
0.5278246519842096,NO
0.57195,NO
0.490989216704758,NO
0.58575,YES
0.5162033243299398,NO
0.56715,YES
0.32720000000000005,NO
0.3633193018907127,NO
0.3781495429046334,NO
0.43841851236235196,NO
0.47522648036567633,NO
0.4896832848535218,NO
0.47891223768959074,NO
0.11272517141076252,NO
0.2518943901932267,NO
0.30777855807188864,YES
0.32479847288593394,NO
0.18831240390608767,YES
0.3116396322460004,NO
0.5878,NO
0.3741341886557241,NO
0.47552482858923756,NO
0.57345,NO
0.37946926033658845,NO
0.3246173488468731,NO
0.18088974651984208,NO
0.3974465925618118,NO
0.5111288281736963,YES
0.6806,YES
0.4358828485352172,YES
0.37807835030126746,YES
0.4706392894244754,NO
0.5176832432993975,YES
0.20841395179721584,NO
0.4394951693330563,NO
0.5148583212133805,NO
0.55345,YES
0.68235,YES
0.6265499999999999,YES
0.3853220756285062,YES
0.42571686058591324,NO
0.4427805111157283,NO
0.5694814460835238,YES
0.6299,NO
0.5250548514440059,YES
0.57295,NO
0.6126,NO
0.60792876584251,NO
0.61875,NO
0.5285506856430502,NO
0.4349177747766466,YES
0.527647309370455,NO
0.63115,YES
0.571,NO
0.62775,YES
0.60245,NO
0.6042746519842096,NO
0.6113999999999999,NO
0.517889216704758,NO
0.5730500000000001,YES
0.5238033243299398,NO
0.5663,YES
0.32075000000000004,NO
0.3639693018907127,NO
0.39844954290463336,NO
0.40431851236235195,NO
0.4537264803656763,NO
0.5044832848535218,NO
0.47736223768959074,NO
