UPPERTRACED_RFUNDER_SINGLE_VSM_SUM.csv,Associated
0.248769128409847,NO
0.14996673320026616,NO
0.3157684630738523,NO
0.7695276114437791,NO
0.5637391882900866,NO
0.3664670658682635,NO
0.5383233532934132,NO
0.03865602129075184,NO
0.39194943446440456,NO
0.6767132401862941,YES
0.5334664005322689,NO
0.7306719893546243,YES
0.3146373918829009,NO
0.3149035262807718,NO
0.1413838988689288,NO
0.10272787757817699,NO
0.6858283433133733,NO
0.07391882900864936,NO
0.7018629407850966,NO
0.13845642049234866,NO
0.6419827012641385,NO
0.5775781769793746,YES
0.4328675981370592,YES
0.45043246839654033,YES
0.7120425815036595,YES
0.4840319361277445,NO
0.6598802395209582,YES
0.5194278110445776,NO
0.40412508316699935,YES
0.8147704590818364,YES
0.33692614770459084,NO
0.1184963406520293,NO
0.06986027944111776,NO
0.06746506986027943,NO
0.9214238190286096,YES
0.06380572188955422,YES
0.0842315369261477,NO
0.48290086493679313,NO
0.05874916833000666,NO
0.06387225548902196,NO
0.11304058549567532,NO
0.09500998003992017,NO
0.10332667997338656,NO
0.8458416500332668,YES
0.044444444444444446,NO
0.42767797737857627,YES
0.022821024617431802,NO
0.7518962075848303,YES
0.020891550232867602,NO
0.07411842980705256,NO
0.04464404524284764,NO
0.07564870259481038,NO
0.04683965402528277,NO
0.12009314703925483,NO
0.06793080505655356,NO
0.06054557551563541,NO
0.25868263473053893,NO
0.20864936793080507,NO
0.32821024617431804,NO
0.8161676646706587,NO
0.6196939454424486,NO
0.41703260146373916,NO
0.5966067864271458,NO
0.027345309381237526,NO
0.42508316699933474,NO
0.8167664670658684,YES
0.5991350632069196,NO
0.6398536260811711,YES
0.2895542248835662,NO
0.3107119095143047,NO
0.1355954757152362,NO
0.15442448436460413,NO
0.740851630073187,NO
0.08449767132401863,NO
0.781703260146374,NO
0.1102461743180306,NO
0.712175648702595,NO
0.822821024617432,YES
0.6622754491017964,YES
0.5825016633399868,YES
0.6701929474384565,YES
0.4897538256819694,NO
0.7404524284763807,YES
0.5224883566200933,NO
0.4194943446440452,YES
0.7728542914171658,YES
0.3365269461077845,NO
0.12401862940785097,NO
0.09374584165003327,NO
0.08935462408516301,NO
0.8873586161011313,YES
0.08283433133732535,YES
0.10864936793080505,NO
0.4759813705921491,NO
0.0842315369261477,NO
0.052495009980039926,NO
0.14577511643379906,NO
0.1324018629407851,NO
0.13819028609447773,NO
0.7867598137059215,YES
0.055156353958749176,NO
0.40738522954091827,YES
0.02082501663339987,NO
0.7307385229540919,YES
0.02049234863606121,NO
0.07671324018629407,NO
0.05402528276779774,NO
0.07198935462408516,NO
0.0635395874916833,NO
0.13992015968063873,NO
0.0833666001330672,NO
0.08183632734530938,NO
0.041650033266799745,NO
0.029673985362608124,NO
0.7522288755821691,YES
0.6021290751829674,YES
0.7810379241516967,YES
0.5144377910844977,YES
0.22142381902860947,NO
0.0021290751829673993,NO
0.79208250166334,YES
0.08629407850964738,NO
0.6272122421823021,YES
0.10944777112441784,NO
0.32381902860944783,NO
0.3749833666001331,NO
0.4215568862275449,NO
0.03153692614770459,NO
0.7198935462408518,YES
0.030472388556220892,NO
0.8590153027278776,YES
0.4337325349301397,NO
0.7952095808383235,YES
0.4007984031936128,NO
0.617365269461078,NO
0.7479041916167665,NO
0.106187624750499,NO
0.6265469061876249,YES
0.7229540918163674,NO
0.7348636061210913,YES
0.3024617431803061,NO
0.15528942115768465,NO
0.37105788423153696,NO
0.7973386560212908,NO
0.6506320691949435,NO
0.4193612774451098,NO
0.6111776447105789,NO
0.07498336660013306,NO
0.37658017298735863,NO
0.7804391217564872,YES
0.5974051896207585,NO
0.6990019960079842,YES
0.2853626081170991,NO
0.28330006653359946,NO
0.10585495675316034,NO
0.0626746506986028,NO
0.7365934797072523,NO
0.03652694610778443,NO
0.7241516966067866,NO
0.12781104457751163,NO
0.6516966067864272,NO
0.7850299401197606,YES
0.6196939454424486,YES
0.5251497005988025,YES
0.7449101796407186,YES
0.527478376580173,NO
0.7288755821689955,YES
0.5043912175648704,NO
0.05901530272787759,NO
0.06493679308050565,NO
0.7299401197604791,YES
0.6220226214238191,YES
0.7540252827677978,YES
0.5078509647371924,YES
0.22534930139720563,NO
0.033666001330672,NO
0.7897538256819695,YES
0.166333998669328,NO
0.6095808383233533,YES
0.11051230871590154,NO
0.32960745176314044,NO
0.4173652694610779,NO
0.4508982035928144,NO
0.09015302727877579,NO
0.7150365934797074,YES
0.08729208250166333,NO
0.7934131736526947,YES
0.43393213572854294,NO
0.7955422488356622,YES
0.5023952095808384,NO
0.719095143047239,NO
0.8003992015968066,NO
0.1419827012641384,NO
0.6096473719228211,YES
0.7330671989354625,NO
0.7337325349301398,YES
0.2938789088489687,NO
0.15615435795076513,NO
0.3980705256154358,NO
0.7519627411842981,NO
0.6220226214238191,NO
0.4390552228875582,NO
0.6091151031270793,NO
0.09567531603459746,NO
0.4125748502994012,NO
0.6447771124417832,YES
0.6285429141716568,NO
0.6685961410512309,YES
0.3207584830339322,NO
0.30192947438456424,NO
0.1287425149700599,NO
0.06220891550232869,NO
0.7087159015302729,NO
0.03739188290086493,NO
0.7262142381902862,NO
0.14357950765136393,NO
0.6314703925482369,NO
0.650765136393879,YES
0.4755156353958749,YES
0.4659347970725216,YES
0.7591483699268131,YES
0.5393878908848969,NO
0.7224883566200934,YES
0.5278110445775117,NO
0.262874251497006,NO
0.19567531603459748,NO
0.3886892880904857,NO
0.7564204923486362,NO
0.6146373918829009,NO
0.44451097804391215,NO
0.5882235528942117,NO
0.05781769793745841,NO
0.4258150365934797,NO
0.7405189620758484,YES
0.6484364604125084,NO
0.6212907518296741,YES
0.24171656686626747,NO
0.21536926147704594,NO
0.03652694610778443,NO
0.16247504990019962,NO
0.7271457085828344,NO
0.11024617431803062,NO
0.8584165003326681,NO
0.08057218895542248,NO
0.753226879574185,NO
0.7946773120425817,YES
0.5986693280106454,YES
0.6681969394544246,YES
0.6709913506320693,YES
0.5077844311377245,NO
0.7900864936793082,YES
0.5540918163672656,NO
0.29547571523619426,NO
0.1577511643379907,NO
0.3695941450432469,NO
0.7813705921490353,NO
0.6552894211576847,NO
0.427478376580173,NO
0.6111776447105789,NO
0.0735861610113107,NO
0.39607451763140383,NO
0.7505655355954759,YES
0.614105123087159,NO
0.6443779108449769,YES
0.3029940119760479,NO
0.30226214238190285,NO
0.12701264138389887,NO
0.05988023952095809,NO
0.7330006653359947,NO
0.03439787092481703,NO
0.732468396540253,NO
0.1206919494344644,NO
0.6588157019294745,NO
0.7944111776447107,YES
0.6118429807052562,YES
0.5256819693945444,YES
0.7303393213572855,YES
0.5261477045908184,NO
0.7455089820359283,YES
0.5169660678642716,NO
0.24810379241516967,NO
0.1540918163672655,NO
0.3115103127079175,NO
0.8175648702594811,NO
0.6140385894876914,NO
0.36307385229540917,NO
0.5393878908848969,NO
0.028875582168995342,NO
0.3741184298070526,NO
0.8049900199600799,YES
0.5328675981370593,NO
0.6619427811044578,YES
0.2940785096473719,NO
0.302727877578177,NO
0.12954091816367264,NO
0.08323353293413174,NO
0.7077178975382569,NO
0.05495675316034598,NO
0.7170326014637393,NO
0.10671989354624084,NO
0.6666666666666667,NO
0.7500998003992017,YES
0.5991350632069194,YES
0.5483699268130408,YES
0.6359946773120426,YES
0.4708582834331338,NO
