LOWERTRACED_MAX_SINGLE_LSA_MEDIAN.csv,Associated
0.3889286335804061,NO
0.3846786335804061,NO
0.45117357396068325,NO
0.5021735739606832,NO
0.42752357396068325,NO
0.43927357396068323,NO
0.38152863358040606,NO
0.38602863358040607,NO
0.47842357396068325,NO
0.6234500000000001,YES
0.4247735739606832,NO
0.669,YES
0.4808945268020196,NO
0.4710945268020196,NO
0.4706945268020196,NO
0.40917863358040607,NO
0.4292735739606832,NO
0.4075286335804061,NO
0.4313235739606832,NO
0.4610286335804061,NO
0.45132357396068323,NO
0.53895,YES
0.5402,YES
0.5834,YES
0.62,YES
0.4726235739606832,NO
0.5358,YES
0.45422357396068325,NO
0.18374287248898916,YES
0.2523428724889891,YES
0.6287294983349446,NO
0.57895,NO
0.5574,NO
0.5162294983349446,NO
0.3274928724889892,YES
0.17799287248898915,YES
0.5288294983349446,NO
0.13658988076055428,NO
0.5096794983349446,NO
0.1366898807605543,NO
0.2584502792996025,NO
0.24490027929960254,NO
0.24615027929960254,NO
0.27069287248898916,YES
0.5383,NO
0.18644287248898916,YES
0.51705,NO
0.30009287248898914,YES
0.5206,NO
0.1443898807605543,NO
0.1222398807605543,NO
0.1455398807605543,NO
0.1238898807605543,NO
0.5557794983349446,NO
0.1397398807605543,NO
0.5110294983349446,NO
0.470715297024385,NO
0.5031152970243851,NO
0.23165903426791276,NO
0.3109908959071866,NO
0.2433408959071866,NO
0.24840903426791278,NO
0.499665297024385,NO
0.45186529702438505,NO
0.27445903426791274,NO
0.7287,YES
0.24525903426791276,NO
0.60075,YES
0.17474191642496506,NO
0.18064191642496508,NO
0.1790419164249651,NO
0.5223652970243851,NO
0.2443908959071866,NO
0.48981529702438503,NO
0.2650908959071866,NO
0.5141652970243851,NO
0.27784089590718664,NO
0.72325,YES
0.7126,YES
0.68265,YES
0.58855,YES
0.24805903426791276,NO
0.59635,YES
0.22765903426791276,NO
0.20291990009668065,YES
0.22846990009668064,YES
0.6610860672467505,NO
0.5831,NO
0.57535,NO
0.5653360672467505,NO
0.3095199000966806,YES
0.19991990009668065,YES
0.5798360672467505,NO
0.20175189601460952,NO
0.5614860672467505,NO
0.19850189601460952,NO
0.34836341712321406,NO
0.3383134171232141,NO
0.33766341712321407,NO
0.23391990009668062,YES
0.54635,NO
0.17881990009668064,YES
0.51555,NO
0.29181990009668063,YES
0.5203,NO
0.2167018960146095,NO
0.19965189601460953,NO
0.21315189601460952,NO
0.20680189601460952,NO
0.6033360672467505,NO
0.22170189601460952,NO
0.5596860672467505,NO
0.052206015683746915,NO
0.028206015683746907,NO
0.5089152218283381,YES
0.520982554517134,YES
0.500432554517134,YES
0.5102152218283382,YES
0.05730601568374691,NO
0.02250601568374691,NO
0.5438652218283382,YES
0.56975,NO
0.5049652218283381,YES
0.57215,NO
0.27738739391986245,NO
0.26583739391986244,NO
0.26583739391986244,NO
0.044606015683746905,NO
0.469482554517134,YES
0.04380601568374691,NO
0.534032554517134,YES
0.0868560156837469,NO
0.481082554517134,YES
0.5261,NO
0.53385,NO
0.57195,NO
0.5246999999999999,NO
0.5244652218283382,YES
0.5482,NO
0.5058652218283382,YES
0.30772959501557634,NO
0.26712959501557637,NO
0.40393852723171125,NO
0.6291,NO
0.59885,NO
0.39023852723171126,NO
0.31472959501557635,NO
0.2917795950155764,NO
0.37808852723171127,NO
0.5418769577827908,YES
0.3840385272317113,NO
0.4856769577827908,YES
0.3415349822752175,NO
0.32998498227521755,NO
0.32663498227521753,NO
0.2575295950155764,NO
0.57345,NO
0.25787959501557634,NO
0.5541,NO
0.33147959501557633,NO
0.56465,NO
0.5353269577827908,YES
0.5210769577827908,YES
0.4800269577827908,YES
0.4851769577827908,YES
0.41648852723171126,NO
0.4281269577827908,YES
0.35413852723171124,NO
0.2998676818132989,NO
0.2893176818132989,NO
0.4344254001503921,YES
0.521323036846063,YES
0.46552303684606294,YES
0.4475254001503921,YES
0.2948676818132989,NO
0.2808176818132989,NO
0.4843754001503921,YES
0.6299,NO
0.4339754001503921,YES
0.57295,NO
0.31756293909120203,NO
0.33351293909120205,NO
0.323712939091202,NO
0.3232676818132989,NO
0.45122303684606296,YES
0.3211176818132989,NO
0.47012303684606294,YES
0.3216176818132989,NO
0.466723036846063,YES
0.60245,NO
0.6103,NO
0.6113999999999999,NO
0.5516,NO
0.4540254001503921,YES
0.5558,NO
0.44727540015039213,YES
0.218134251799334,NO
0.18463425179933401,NO
0.4583990170802449,NO
0.595,NO
0.57735,NO
0.4391990170802449,NO
0.230034251799334,NO
0.224184251799334,NO
0.4392990170802449,NO
0.4541604952196799,YES
0.4415990170802449,NO
