UPPERTRACED_MAX_SINGLE_LSA_SUM.csv,Associated
0.3385633896060908,NO
0.4345174470582095,NO
0.40443501212132854,NO
0.5115769776396584,NO
0.5015246347112564,NO
0.5544962394617965,NO
0.5203737010123678,NO
0.07186384827641513,NO
0.30757284368517274,NO
0.26306330098892905,YES
0.32518831232828066,NO
0.2396059634638698,YES
0.40051589837272483,NO
0.768487255875538,NO
0.48948585058685745,NO
0.6282354565895234,NO
0.6675273088381332,NO
0.4984035224582436,NO
0.36639172306769036,NO
0.2088576584175334,NO
0.4753347799560568,NO
0.42910139447030293,YES
0.6740152267461106,YES
0.4615463072296818,YES
0.42665124170972185,YES
0.5386816145971207,NO
0.5755488160203873,YES
0.24967090605391046,NO
0.6917576961271102,YES
0.7813505888175392,YES
0.24412266705951202,NO
0.35531084334996127,NO
0.4901877040094642,NO
0.032373386295928494,NO
0.573978026107572,YES
0.6841443230718305,YES
0.1562087480578674,NO
0.2079635913794931,NO
0.32142966544941004,NO
0.20630783628115212,NO
0.31774891364025487,NO
0.5634241176093134,NO
0.3637046939172864,NO
0.470160555590058,YES
0.44103298518515016,NO
0.5465713824132796,YES
0.10863403505608263,NO
0.555992916954406,YES
0.13252281470663874,NO
0.662030472611795,NO
0.4215618174681792,NO
0.19065318310300097,NO
0.6738828202581928,NO
0.15722947195657133,NO
0.2072513391095079,NO
0.15595526927547065,NO
0.34842767295597493,NO
0.4929087082300069,NO
0.41681501874165294,NO
0.5579854516548851,NO
0.5572015628807366,NO
0.6048107048706015,NO
0.5783677427204115,NO
0.060609296803392956,NO
0.3405420591767318,NO
0.4024211295225272,YES
0.3905309141157683,NO
0.14923853545989763,YES
0.3755572754001991,NO
0.7643164515061239,NO
0.48372616836242854,NO
0.6796753771456308,NO
0.7222773915921881,NO
0.5089298382477173,NO
0.4458356158184351,NO
0.1807874829789369,NO
0.5451792023327532,NO
0.6731265517030074,YES
0.902284011916584,YES
0.5929597464882056,YES
0.3850094012595398,YES
0.5443750935775908,NO
0.6557209444546808,YES
0.2527162552760223,NO
0.7070506454816288,YES
0.7396425451233982,YES
0.24372544759575832,NO
0.36080571259855443,NO
0.5139546685907287,NO
0.054154253558424376,NO
0.5400819652005875,YES
0.7030784508440915,YES
0.18050533859080353,NO
0.2010784540077619,NO
0.34678550788568946,NO
0.19498708156417097,NO
0.35032090966806023,NO
0.6006303407142456,NO
0.3983951937517783,NO
0.41137207495450673,YES
0.4516917074625417,NO
0.5263793930057986,YES
0.10664793773731401,NO
0.5349402853754587,YES
0.13212559524288497,NO
0.6646123991261943,NO
0.4308964748663917,NO
0.1870120046852585,NO
0.6904998344918901,NO
0.17695803865633963,NO
0.22261049170798525,NO
0.1771403073423359,NO
0.5233964506230472,NO
0.6053734805870645,NO
0.7137371731214831,YES
0.8424362793776896,YES
0.8152267461105596,YES
0.47550092767759844,YES
0.5185261311961777,NO
0.5136451653303256,NO
0.7151028746554438,YES
0.7131413439258524,NO
0.6715059271022918,YES
0.7163190996358823,NO
0.7641178417742469,NO
0.721521040506468,NO
0.7488248924197286,NO
0.6002657208117184,NO
0.5394475667350501,YES
0.6008570796033831,NO
0.8597153260509766,YES
0.7145978152929494,NO
0.7896060906984442,YES
0.6553459119496856,NO
0.657629463070784,NO
0.7160542866600463,NO
0.6088569569079881,NO
0.7343263819927177,YES
0.6422420712743327,NO
0.7096987752399869,YES
0.39198940748096667,NO
0.43981370657492586,NO
0.4594499078512193,NO
0.5392499336145011,NO
0.5879860713216503,NO
0.607127818409165,NO
0.5928662531474224,NO
0.108010819478004,NO
0.2922798943306544,NO
0.36627415832093835,YES
0.38880962977283545,NO
0.20809321933940772,YES
0.37138647103078504,NO
0.7370407149950348,NO
0.4541333183127761,NO
0.5883811037262332,NO
0.7180403839788151,NO
0.46119729935331144,NO
0.3885698097939399,NO
0.19826513938410076,NO
0.48500045357406396,NO
0.6355231091343215,YES
0.8599139357828535,YES
0.5358925501955872,YES
0.45935564422544517,YES
0.5819123329023177,NO
0.6442015800058226,YES
0.23470897291918685,NO
0.5406754972963341,NO
0.6404611998853103,NO
0.6915590863952334,YES
0.8622310493214168,YES
0.7883482290632241,YES
0.468946806525662,YES
0.522432122589756,NO
0.5450255029668697,NO
0.7127857611168803,YES
0.7927838464084741,NO
0.6539620674531691,YES
0.7173783515392255,NO
0.769877523998676,NO
0.7636925069083218,NO
0.7780205230056274,NO
0.6585907787395567,NO
0.5346147299260465,YES
0.6573946499443297,NO
0.7944389275074479,YES
0.7147964250248262,NO
0.7899371069182392,YES
0.7564382654750084,NO
0.7588542230840247,NO
0.768288646143661,NO
0.6444743021579054,NO
0.7175107580271435,YES
0.6523049643560939,NO
0.7085733200926846,YES
0.3834491890102616,NO
0.4406743487463922,NO
0.48632842489855466,NO
0.4940993212344945,NO
0.5595186764193,NO
0.6267239786210154,NO
0.5908139525846948,NO
0.12860002834923867,NO
0.3280958493124485,NO
0.23128574388863116,YES
0.4197927479456259,NO
0.17783833685016576,YES
0.4066065968169486,NO
0.755577623303542,NO
0.4769072342346563,NO
