NONETRACED_SUM_SINGLE_LSA_MEDIAN.csv,Associated
0.21972003610108298,NO
0.36221492178098674,NO
0.2421578820697954,NO
0.2911663056558363,NO
0.21477743682310466,NO
0.25465018050541516,NO
0.2727773164861612,NO
0.16631462093862817,NO
0.31550896510228643,NO
0.22627791817087844,YES
0.2320214199759326,NO
0.299445246690734,YES
0.3768313477737665,NO
0.5021456678700361,NO
0.3845254512635379,NO
0.3079303249097473,NO
0.32616040914560773,NO
0.2502153429602888,NO
0.20355938628158846,NO
0.2979451865222623,NO
0.2522116125150421,NO
0.2563627557160048,YES
0.34148760529482547,YES
0.2832074608904933,YES
0.3343742478941034,YES
0.3134394103489771,NO
0.2922921780986763,YES
0.2600093261131168,NO
0.13836534296028877,YES
0.33123730445246685,YES
0.29755246690734055,NO
0.18935312876052948,NO
0.15175619735258725,NO
0.15807894103489767,NO
0.2973319494584838,YES
0.14973929001203365,YES
0.23762238267148017,NO
0.14290830324909742,NO
0.18237129963898915,NO
0.16865210589651022,NO
0.2591039109506618,NO
0.2727921780986763,NO
0.253434476534296,NO
0.29280030084235864,YES
0.14851058965102285,NO
0.1782253910950662,YES
0.1201246089049338,NO
0.3230366425992779,YES
0.13478772563176894,NO
0.2268936221419976,NO
0.20580860409145607,NO
0.20752015643802646,NO
0.19715776173285196,NO
0.25797190132370634,NO
0.19720752105896508,NO
0.20065872442839952,NO
0.14370433212996386,NO
0.26171805054151626,NO
0.08159813477737664,NO
0.21160138387484956,NO
0.2067853188929001,NO
0.11129037304452465,NO
0.1490682912154031,NO
0.12363892900120335,NO
0.13888068592057762,NO
0.2530020457280385,YES
0.1412029482551143,NO
0.1156176293622142,YES
0.15813176895306855,NO
0.25432659446450057,NO
0.19009121540312876,NO
0.1804867027677497,NO
0.2219929602888087,NO
0.14930252707581226,NO
0.13870980746089046,NO
0.14011462093862814,NO
0.1645945848375451,NO
0.38165553549939835,YES
0.40912226233453663,YES
0.24225890493381466,YES
0.21569199759326113,YES
0.11791991576413957,NO
0.18258947051744884,YES
0.08410234657039711,NO
0.19741835138387487,YES
0.3505375451263538,YES
0.335369193742479,NO
0.22346101083032482,NO
0.1904522864019254,NO
0.21885505415162448,NO
0.3104864620938628,YES
0.2059466305655836,YES
0.31778345367027677,NO
0.17178772563176897,NO
0.2423877256317689,NO
0.19770138387484956,NO
0.3413272563176895,NO
0.3743759326113117,NO
0.33867178098676287,NO
0.289092238267148,YES
0.19662075812274363,NO
0.20630872442839948,YES
0.14633219013237067,NO
0.35063844765342955,YES
