NONETRACED_MAX_SINGLE_VSM_SUM.csv,Associated
0.11897128044204927,NO
0.15069240739477455,NO
0.09250289924278601,NO
0.30554608090592805,NO
0.10689678695681834,NO
0.10212156354458013,NO
0.14639470632376017,NO
0.11153557541442119,NO
0.1934647656729654,NO
0.5649771471450986,YES
0.06296473156422674,NO
0.8398253632580668,YES
0.34511221775018763,NO
0.3230779725765741,NO
0.33051367760420214,NO
0.18411897128044208,NO
0.1759328740023194,NO
0.15287536666894055,NO
0.09325329149328057,NO
0.24681083293539807,NO
0.17948018282283923,NO
0.33365168156081587,YES
0.38808922846033156,YES
0.2893785387816359,YES
0.7729722354867317,YES
0.15485367351115356,NO
0.12006276007913227,YES
0.17531891670646021,NO
0.2607954157855243,YES
0.7759738044887099,YES
0.3510471382768265,NO
0.2194556245310048,NO
0.19571594242444912,NO
0.25977215362575895,NO
0.8785046728971964,YES
0.24660618050344496,YES
0.19469268026468378,NO
0.1430520499351934,NO
0.1986492939491098,NO
0.20840439320553927,NO
0.33501603110716965,NO
0.3067739954976465,NO
0.31755235691384137,NO
0.8010096186643016,YES
0.16590490483661915,NO
0.2801691793437479,YES
0.1328876458148578,NO
0.7436387202401256,YES
0.07838188143802444,NO
0.15178388703185758,NO
0.12156354458012145,NO
0.1691793437478682,NO
0.19094071901221094,NO
0.3302408076949314,NO
0.1612661163790163,NO
0.18350501398458285,NO
0.09707347022307114,NO
0.23712395115628626,NO
0.23842008322532232,NO
0.5413056825158606,NO
0.2600450235350297,NO
0.26782181594924614,NO
0.21031448257043456,NO
0.028378470564158556,NO
0.2370557336789686,NO
0.9212770311753871,YES
0.27321099665734366,NO
0.5658639743502285,YES
0.18787093253291492,NO
0.2062214339313732,NO
0.2040384746572072,NO
0.27102803738317754,NO
0.42403983900675357,NO
0.2028105600654888,NO
0.3161880073674876,NO
0.17306773995497646,NO
0.38638379152738933,NO
0.9138413261477589,YES
0.8993110034790914,YES
0.7722900607135548,YES
0.5492189098847124,YES
0.21379357391363668,NO
0.49321236100689,YES
0.18111740227846373,NO
0.4365918548332082,YES
0.732996793778566,YES
0.41053277849785114,NO
0.3857698342315301,NO
0.3857698342315302,NO
0.3725356436318985,NO
0.8435773245105398,YES
0.432498806194147,YES
0.3690565522886964,NO
0.2741660413397913,NO
0.32273688518998567,NO
0.39757145780749026,NO
0.5863974350228529,NO
0.5554949177979398,NO
0.5705709802851491,NO
0.7404324988061941,YES
0.33924551470086634,NO
0.38713418377788394,YES
0.2897196261682243,NO
0.7219455624531006,YES
0.18514223344020736,NO
0.28999249607749505,NO
0.2667303363121632,NO
0.29388089228460335,NO
0.4088955590422266,NO
0.4466198239989085,NO
0.30554608090592805,NO
0.3486595265707074,NO
0.09304863906132754,NO
0.08158810287195581,NO
0.2976328535370762,YES
0.8250221706801282,YES
0.7969847875025582,YES
0.36776042021966027,YES
0.15874206971826182,NO
0.0403165290947541,NO
0.3221911453714441,YES
0.22436728289787844,NO
0.33228733201446214,YES
0.17545535166109558,NO
0.31305000341087386,NO
0.31755235691384137,NO
0.31755235691384137,NO
0.028924210382700044,NO
0.7547581690429088,YES
0.0784500989153421,NO
0.7044136707824544,YES
0.27368851899856744,NO
0.6662118834845487,YES
0.1906678491029402,NO
0.27921413466130024,NO
0.2890374513950474,NO
0.12647520294699502,NO
0.39825363258066715,YES
0.23282625008527186,NO
0.3122996111603793,YES
0.20738113104577394,NO
0.1223821543079337,NO
0.3384951224503718,NO
0.5220001364349547,NO
0.29176615048775495,NO
0.3273756736475885,NO
0.2252541101030084,NO
0.1813220547104168,NO
0.21283852923118907,NO
0.8840302885599292,YES
0.33167337471860286,NO
0.7835459444709736,YES
0.2298246810832935,NO
0.21911453714441642,NO
0.21454396616413124,NO
0.1146735793710349,NO
0.3121631762057439,NO
0.1498737976669623,NO
0.208472610682857,NO
0.2502899242786002,NO
0.2340541646769902,NO
0.8750937990313117,YES
0.8556518179957704,YES
0.6306023603247151,YES
0.7828637696977965,YES
0.32266866771266794,NO
0.46633467494372055,YES
0.15921959205948563,NO
0.0938672487891398,NO
0.12879459717579642,NO
0.3091616072037656,YES
0.8580394297018896,YES
0.7819087250153489,YES
0.40398390067535306,YES
0.15635445801214268,NO
0.04365918548332083,NO
0.35132000818609727,YES
0.5752097687427518,NO
0.35363940241489866,YES
0.4273824953953203,NO
0.35752779862200695,NO
0.40282420356095233,NO
0.3894535780066853,NO
0.18063987993723996,NO
0.76239852650249,YES
0.16044750665120402,NO
0.6196193464765674,YES
0.30520499351933966,NO
0.5296404938945358,YES
0.5377583736953409,NO
0.5484685176342179,NO
0.5111535575414421,NO
0.39825363258066715,NO
0.42533597107578963,YES
0.3183709666416536,NO
0.34790913432021286,YES
0.18268640425677057,NO
0.10450917525069925,NO
0.3213043181663142,NO
0.28753666689405827,NO
0.25895354389794667,NO
0.3350842485844873,NO
0.18834845487413876,NO
