LOWERTRACED_MAX_SINGLE_VSM_MAX.csv,Associated
0.2626,NO
0.2626,NO
0.1818,NO
0.2553,NO
0.2553,NO
0.1818,NO
0.2626,NO
0.2626,NO
0.1818,NO
1.0,YES
0.1818,NO
1.0,YES
0.3701,NO
0.3701,NO
0.3701,NO
0.2626,NO
0.2553,NO
0.2626,NO
0.2553,NO
0.2626,NO
0.2553,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1818,NO
1.0,YES
0.1818,NO
1.0,YES
1.0,YES
0.4007,NO
0.3639,NO
0.3639,NO
0.4007,NO
1.0,YES
1.0,YES
0.4007,NO
0.3066,NO
0.4007,NO
0.3066,NO
0.4183,NO
0.4183,NO
0.4183,NO
1.0,YES
0.3639,NO
1.0,YES
0.3639,NO
1.0,YES
0.3639,NO
0.3066,NO
0.3066,NO
0.3066,NO
0.3066,NO
0.4007,NO
0.3066,NO
0.4007,NO
0.21600000000000003,NO
0.21600000000000003,NO
0.3063,NO
0.3076,NO
0.3076,NO
0.3063,NO
0.21600000000000003,NO
0.21600000000000003,NO
0.3063,NO
1.0,YES
0.3063,NO
1.0,YES
0.205,NO
0.2168,NO
0.2136,NO
0.21600000000000003,NO
0.3076,NO
0.21600000000000003,NO
0.3076,NO
0.21600000000000003,NO
0.3076,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3063,NO
1.0,YES
0.3063,NO
1.0,YES
1.0,YES
0.6805,NO
0.6805,NO
0.6805,NO
0.6805,NO
1.0,YES
1.0,YES
0.6805,NO
0.601,NO
0.6805,NO
0.601,NO
0.7376,NO
0.7376,NO
0.7376,NO
1.0,YES
0.6805,NO
1.0,YES
0.6805,NO
1.0,YES
0.6805,NO
0.601,NO
0.601,NO
0.601,NO
0.601,NO
0.6805,NO
0.601,NO
0.6805,NO
0.1663,NO
0.1663,NO
0.7346,YES
1.0,YES
1.0,YES
0.7346,YES
0.1663,NO
0.1663,NO
0.7346,YES
0.1733,NO
0.7346,YES
0.1733,NO
0.379,NO
0.379,NO
0.379,NO
0.1663,NO
1.0,YES
0.1663,NO
1.0,YES
0.1663,NO
1.0,YES
0.1733,NO
0.1733,NO
0.1733,NO
0.1733,NO
0.7346,YES
0.1733,NO
0.7346,YES
0.2719,NO
0.2719,NO
0.4137,NO
0.4137,NO
0.4137,NO
0.4137,NO
0.2719,NO
0.2719,NO
0.4137,NO
1.0,YES
0.4137,NO
1.0,YES
0.2525,NO
0.2525,NO
0.2525,NO
0.2719,NO
0.4137,NO
0.2719,NO
0.4137,NO
0.2719,NO
0.4137,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4137,NO
1.0,YES
0.4137,NO
0.1194,NO
0.1194,NO
0.8266,YES
1.0,YES
1.0,YES
0.8266,YES
0.1194,NO
0.1194,NO
0.8266,YES
0.6968,NO
0.8266,YES
0.6968,NO
0.4403,NO
0.4403,NO
0.4403,NO
0.1453,NO
1.0,YES
0.141,NO
1.0,YES
0.142,NO
1.0,YES
0.6968,NO
0.6968,NO
0.6968,NO
0.6968,NO
0.8266,YES
0.6968,NO
0.8266,YES
0.2332,NO
0.2332,NO
0.4328,NO
0.4328,NO
0.4328,NO
0.4328,NO
0.2332,NO
0.2332,NO
0.4328,NO
1.0,YES
0.4328,NO
1.0,YES
0.4406,NO
0.4406,NO
0.4406,NO
0.2332,NO
0.4328,NO
0.2332,NO
0.4328,NO
0.2332,NO
0.4328,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4328,NO
1.0,YES
0.4328,NO
0.1825,NO
0.1825,NO
0.4095,NO
0.4374,NO
0.4374,NO
0.4095,NO
0.1825,NO
0.1825,NO
0.4095,NO
1.0,YES
0.4095,NO
1.0,YES
0.1331,NO
0.0932,NO
0.0932,NO
0.204,NO
0.4374,NO
0.1825,NO
0.4374,NO
0.1825,NO
0.4374,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4095,NO
1.0,YES
