LOWERTRACED_RFNONE_MULTI_VSM_SUM.csv,Associated
0.04437191861676273,NO
0.03846955072564405,NO
0.0726338448718839,NO
0.14346225956530795,NO
0.0397889035483647,NO
0.056107214776751624,NO
0.03409485452399139,NO
0.04034442052635234,NO
0.11047843899729186,NO
0.7340462467884175,YES
0.03596972432469968,NO
0.7973057426567599,YES
0.8491771404763558,NO
0.8355669745156588,NO
0.835011457537671,NO
0.07249496562738698,NO
0.04221929032706062,NO
0.07020345809318798,NO
0.04506631483924728,NO
0.14450385389903478,NO
0.07284216373862926,NO
0.6166932851885286,YES
0.6184292757447399,YES
0.678425109367405,YES
0.7292549128532742,YES
0.10242344281647107,NO
0.612318588986876,YES
0.07686966182903965,NO
0.69259079230609,YES
0.7878619540309701,YES
0.226650927018957,NO
0.10284008054996183,NO
0.07291160336087772,NO
0.07041177695993334,NO
0.8922297062703979,YES
0.6846052357475176,YES
0.087910561766544,NO
0.06652315811401986,NO
0.06131518644538575,NO
0.06666203735851678,NO
0.11797791820012499,NO
0.0991597805707937,NO
0.10089577112700507,NO
0.8133462953961531,YES
0.04638566766196792,NO
0.6963405319075064,YES
0.016873828206374557,NO
0.8541767932782446,YES
0.02180404138601486,NO
0.07735573918477884,NO
0.046593986528713285,NO
0.0789528504964933,NO
0.048885494062912295,NO
0.1253385181584612,NO
0.07089785431567253,NO
0.06319005624609403,NO
0.054718422331782514,NO
0.09971529754878135,NO
0.08561905423234498,NO
0.19213943476147488,NO
0.09818762585931533,NO
0.10888132768557739,NO
0.09492396361363793,NO
0.02853968474411499,NO
0.14505937087702242,NO
0.9288243871953337,YES
0.10450663148392472,NO
0.7511283938615374,YES
0.13554614262898407,NO
0.14374001805430178,NO
0.14151795014235122,NO
0.12644955211443648,NO
0.09964585792653288,NO
0.08124435803069231,NO
0.12839386153739324,NO
0.11506145406568988,NO
0.14610096521074925,NO
0.9212554683702521,YES
0.9064648288313312,YES
0.8648704951045068,YES
0.7341851260329144,YES
0.1083952503298382,NO
0.7450177071036734,YES
0.08006388445246858,NO
0.08367474480938825,YES
0.11915839177834874,YES
0.920630511770016,NO
0.8029997916811332,NO
0.7922366502326228,NO
0.7876536351642247,NO
0.23172001944309423,YES
0.07950836747448094,YES
0.8077911256162768,NO
0.059301437400180554,NO
0.7823067842510938,NO
0.05478786195403097,NO
0.17297409902090133,NO
0.15901673494896187,NO
0.15811401985973195,NO
0.12672731060343032,YES
0.7519616693285189,NO
0.050204846885632946,YES
0.7091868620234706,NO
0.20713839316714114,YES
0.7157836261370738,NO
0.08006388445246858,NO
0.05638497326574543,NO
0.07513367127282829,NO
0.0663148392472745,NO
0.8404277480730505,NO
0.08700784667731408,NO
0.7798069578501493,NO
0.043469203527532814,NO
0.010138184848274424,NO
0.535101729046594,YES
0.565932921324908,YES
0.5373932365807931,YES
0.5369071592250538,YES
0.050552044996875226,NO
0.0022220679119505605,NO
0.5836400249982641,YES
0.0900631900562461,NO
0.529615998888966,YES
0.09339629192417194,NO
0.1435316991875564,NO
0.1274911464481633,NO
0.1274911464481633,NO
0.03291438094576766,NO
0.49441011040899935,YES
0.031803346989792376,NO
0.5840566627317548,YES
0.0915908617457121,NO
0.510520102770641,YES
0.02944239983334491,NO
0.040205541281855425,NO
0.09311853343517812,NO
0.027498090410388167,NO
0.5566974515658635,YES
0.060134712867162,NO
0.5308659120894382,YES
0.10040969377126589,NO
0.044024720505520455,NO
0.13033817096034997,NO
0.1724880216651621,NO
0.13047705020484687,NO
0.11131171446427332,NO
0.11013124088604957,NO
0.07825845427400875,NO
0.09443788625789877,NO
0.8909103534476772,YES
0.10270120130546491,NO
0.812860218040414,YES
0.13117144642733142,NO
0.11513089368793834,NO
0.11047843899729186,NO
0.030692313033817097,NO
0.09520172210263177,NO
0.03117839038955628,NO
0.06832858829247969,NO
0.13339351433928198,NO
0.08298034858690369,NO
0.8818137629331297,YES
0.8620234705923201,YES
0.8050135407263385,YES
0.8121658218179294,YES
0.14776751614471215,NO
0.7329352128324423,YES
0.06117630720088883,NO
0.06159294493437956,NO
0.04694118463995556,NO
0.18547323102562324,YES
0.30893687938337616,YES
0.23144226095410037,YES
0.20366641205471844,YES
0.05464898270953406,NO
0.03513644885771822,NO
0.2548434136518297,YES
0.1735990556211374,NO
0.18484827442538712,YES
0.09450732588014722,NO
0.149572946323172,NO
0.17172418582042911,NO
0.15811401985973195,NO
0.0940906881466565,NO
0.21158252899104227,YES
0.09110478438997291,NO
0.23783070620095823,YES
0.09179918061245747,NO
0.23310881188806334,YES
0.13547670300673564,NO
0.14637872369974306,NO
0.14790639538920908,NO
0.06485660718005694,NO
0.21269356294701758,YES
0.07068953544892717,NO
0.20331921394347613,YES
0.09145198250121518,NO
0.04492743559475037,NO
0.15853065759322268,NO
0.12513019929171584,NO
0.10061801263801126,NO
0.13186584264981596,NO
0.10797861259634749,NO
0.09985417679327824,NO
0.1320047218943129,NO
0.6104437191861676,YES
0.1351989445177418,NO
0.6422470661759601,YES
0.1681133254635095,NO
0.13457398791750572,NO
0.13436566905076036,NO
0.030206235678077908,NO
0.06610652038052912,NO
0.0320811054787862,NO
0.07048121658218179,NO
0.1498507048121658,NO
0.06187070342337338,NO
0.6028053607388375,YES
0.5726685646830081,YES
0.6043330324283036,YES
