LOWERTRACED_RFNONE_MULTI_LSA_MEDIAN.csv,Associated
0.04273235294117647,NO
0.03848235294117647,NO
0.06896470588235294,NO
0.1493764705882353,NO
0.07472647058823531,NO
0.05706470588235294,NO
0.03533235294117647,NO
0.03983235294117647,NO
0.09621470588235294,NO
0.12345,YES
0.04256470588235294,NO
0.16899999999999998,YES
0.16840882352941178,NO
0.15860882352941175,NO
0.15820882352941176,NO
0.06298235294117646,NO
0.0764764705882353,NO
0.06133235294117647,NO
0.07852647058823531,NO
0.11483235294117647,NO
0.0985264705882353,NO
0.03895,YES
0.0402,YES
0.0834,YES
0.12,YES
0.09041470588235294,NO
0.0358,YES
0.07201470588235294,NO
0.0536,YES
0.1222,YES
0.2504529411764706,NO
0.16718529411764707,NO
0.14563529411764706,NO
0.1379529411764706,NO
0.19735,YES
0.04785,YES
0.1505529411764706,NO
0.06456470588235294,NO
0.1314029411764706,NO
0.06466470588235294,NO
0.08985,NO
0.0763,NO
0.07755,NO
0.14055,YES
0.12653529411764708,NO
0.0563,YES
0.10528529411764706,NO
0.16995,YES
0.10883529411764706,NO
0.07236470588235294,NO
0.05021470588235294,NO
0.07351470588235294,NO
0.05186470588235294,NO
0.17750294117647059,NO
0.06771470588235294,NO
0.1327529411764706,NO
0.05018235294117647,NO
0.08258235294117647,NO
0.06655,NO
0.14325,NO
0.0756,NO
0.0833,NO
0.07913235294117646,NO
0.03133235294117647,NO
0.10935,NO
0.2875235294117647,YES
0.08015,NO
0.15957352941176473,YES
0.1025,NO
0.1084,NO
0.1068,NO
0.10183235294117646,NO
0.07665,NO
0.06928235294117646,NO
0.09735,NO
0.09363235294117647,NO
0.1101,NO
0.2820735294117647,YES
0.27142352941176473,YES
0.24147352941176473,YES
0.1473735294117647,YES
0.08295,NO
0.1551735294117647,YES
0.06255,NO
0.06515,YES
0.0907,YES
0.38544705882352936,NO
0.21839411764705885,NO
0.21064411764705884,NO
0.28969705882352936,NO
0.17175,YES
0.06215,YES
0.3041970588235294,NO
0.1652470588235294,NO
0.2858470588235294,NO
0.16199705882352944,NO
0.11445,NO
0.1044,NO
0.10375,NO
0.09615,YES
0.18164411764705884,NO
0.04105,YES
0.15084411764705885,NO
0.15405,YES
0.15559411764705883,NO
0.18019705882352943,NO
0.16314705882352942,NO
0.17664705882352943,NO
0.1702970588235294,NO
0.3276970588235294,NO
0.18519705882352944,NO
0.2840470588235294,NO
0.042082352941176474,NO
0.018082352941176473,NO
0.2996117647058824,YES
0.1674,YES
0.14685,YES
0.30091176470588243,YES
0.047182352941176474,NO
0.012382352941176471,NO
0.3345617647058824,YES
0.18151470588235297,NO
0.2956617647058824,YES
0.18391470588235295,NO
0.10825,NO
0.0967,NO
0.0967,NO
0.03448235294117647,NO
0.1159,YES
0.03368235294117647,NO
0.18045,YES
0.07673235294117647,NO
0.1275,YES
0.13786470588235294,NO
0.14561470588235295,NO
0.18371470588235295,NO
0.13646470588235293,NO
0.3151617647058824,YES
0.15996470588235295,NO
0.2965617647058824,YES
0.2595529411764706,NO
0.2189529411764706,NO
0.11639705882352941,NO
0.32321764705882355,NO
0.29296764705882355,NO
0.1026970588235294,NO
0.2665529411764706,NO
0.2436029411764706,NO
0.09054705882352941,NO
0.27198823529411764,YES
0.09649705882352941,NO
0.21578823529411764,YES
0.09935,NO
0.0878,NO
0.08445,NO
0.2093529411764706,NO
0.2675676470588236,NO
0.2097029411764706,NO
0.24821764705882357,NO
0.2833029411764706,NO
0.25876764705882355,NO
0.26543823529411764,YES
0.25118823529411766,YES
0.21013823529411765,YES
0.21528823529411764,YES
0.12894705882352941,NO
0.15823823529411765,YES
0.06659705882352941,NO
0.04925,NO
0.0387,NO
0.05933235294117647,YES
0.21764411764705882,YES
0.1618441176470588,YES
0.07243235294117648,YES
0.04425,NO
0.0302,NO
0.10928235294117647,YES
0.14166470588235291,NO
0.05888235294117647,YES
0.08471470588235294,NO
0.1126,NO
0.12855,NO
0.11875,NO
0.07265,NO
0.14754411764705883,YES
0.0705,NO
0.1664441176470588,YES
0.071,NO
0.16304411764705884,YES
0.11421470588235294,NO
0.12206470588235294,NO
0.12316470588235294,NO
0.06336470588235293,NO
0.07893235294117648,YES
0.06756470588235294,NO
0.07218235294117648,YES
0.08251470588235293,NO
0.04901470588235294,NO
0.30728529411764705,NO
0.29500000000000004,NO
0.27735,NO
0.28808529411764705,NO
0.09441470588235294,NO
0.08856470588235293,NO
0.28818529411764704,NO
0.11121470588235294,YES
0.29048529411764706,NO
0.13411470588235294,YES
0.13183235294117648,NO
0.10768235294117648,NO
0.10753235294117647,NO
0.03841470588235294,NO
0.2525,NO
0.03976470588235294,NO
0.25565,NO
0.12456470588235294,NO
0.24945,NO
0.10571470588235295,YES
0.08401470588235294,YES
0.10681470588235294,YES
0.16716470588235294,YES
0.308485294117647,NO
0.09461470588235293,YES
0.25478529411764705,NO
0.09450882352941176,NO
0.11400882352941176,NO
0.14141176470588235,NO
0.10423235294117647,NO
0.07768235294117648,NO
0.13336176470588235,NO
0.11400882352941176,NO
0.09540882352941177,NO
0.13931176470588236,NO
0.17728235294117647,YES
0.14661176470588236,NO
0.09268235294117647,YES
0.06655,NO
0.03675,NO
0.03235,NO
0.14905882352941174,NO
0.07223235294117647,NO
0.12980882352941175,NO
0.16088235294117648,NO
0.11250882352941176,NO
0.14683235294117647,NO
0.20798235294117648,YES
0.17068235294117648,YES
0.25293235294117644,YES
0.09503235294117646,YES
