UPPERTRACED_SUM_SINGLE_LSA_SUM.csv,Associated
0.1634549514714706,NO
0.2871675643876171,NO
0.1803121027405743,NO
0.3394831655968958,NO
0.2896128002134905,NO
0.2561076871194634,NO
0.3027969522480957,NO
0.032569179303065174,NO
0.1846274888147917,NO
0.21437352783367747,YES
0.17469579744924707,NO
0.21507712720743877,YES
0.2726356047251289,NO
0.45892315664698585,NO
0.23748121389932259,NO
0.25648700967898314,NO
0.4708498432080946,NO
0.15853989072528368,NO
0.2376608053594546,NO
0.15025206488872075,NO
0.28192637939257986,NO
0.2722686157431378,YES
0.4553958965849299,YES
0.2838049211572804,YES
0.26959492251072137,YES
0.22942600870222363,NO
0.3198247960669626,YES
0.1535208011964819,NO
0.30870995293556247,YES
0.4487144281507505,YES
0.21706145411864275,NO
0.1419568232935172,NO
0.26893541437561463,NO
0.034806175422268576,NO
0.34279804873956626,YES
0.3755667249601673,YES
0.08188573062714694,NO
0.10729357686146956,NO
0.13839650456004754,NO
0.13557678593292516,NO
0.13851796688051934,NO
0.1849166643714677,NO
0.20167074960556944,NO
0.30522414306127693,YES
0.15107790718912656,NO
0.2737184225775868,YES
0.045771857724168974,NO
0.37748157792200104,YES
0.05476757626844306,NO
0.2757285615329014,NO
0.19846607504438102,NO
0.09730583797272516,NO
0.2878135159955247,NO
0.11327740454900587,NO
0.09724552313578139,NO
0.048792244178086294,NO
0.17406051412569967,NO
0.3499468010388255,NO
0.19362243976299598,NO
0.38937913486276543,NO
0.3494737276779647,NO
0.3102031744833164,NO
0.36514911926222104,NO
0.020468872919045422,NO
0.22007426869268493,NO
0.36420379217698085,YES
0.2449487527494088,NO
0.1179187847710449,YES
0.24580139586174388,NO
0.4544389254576139,NO
0.23128870416161834,NO
0.3117925276812381,NO
0.5297142748527084,NO
0.1698572361079845,NO
0.3230747327760647,NO
0.12007247720151853,NO
0.35701945724634954,NO
0.5346317294578249,YES
0.7008185813619894,YES
0.42509379275892273,YES
0.22482378888984833,YES
0.23554734016708062,NO
0.4060216844848916,YES
0.15679500174745198,NO
0.32515213396325987,YES
0.40387211625703034,YES
0.2166343844815597,NO
0.1478646199398327,NO
0.29448841432775047,NO
0.05822382718898916,NO
0.3063547730418127,YES
0.39592371099445933,YES
0.10800815676206016,NO
0.09989103648536338,NO
0.1656577830605156,NO
0.12340530127605823,NO
0.17353767712132948,NO
0.22491885371158005,NO
0.23896816457748915,NO
0.24201783677298555,YES
0.16253760911752174,NO
0.25200904935919843,YES
0.043636509538753726,NO
0.35484688715659946,YES
0.05434050663136,NO
0.2785045141739412,NO
0.2085022115158327,NO
0.09339103296613055,NO
0.30567926248016564,NO
0.13448852985746404,NO
0.11375888243632598,NO
0.0715692914891823,NO
0.35643220722262886,NO
0.33484740573930016,NO
0.41260046417705243,YES
0.6593712037739499,YES
0.4411061590178299,YES
0.3250196520856503,YES
0.2827045006356281,NO
0.29320604751734514,NO
0.5568334439994367,YES
0.5227799160387805,NO
0.29648257687673046,YES
0.5456075466298673,NO
0.5906493294209179,NO
0.6009559199110035,NO
0.5300508592242728,NO
0.3831472565537515,NO
0.49199453893125616,YES
0.40044371996674666,NO
0.5355531569840775,YES
0.527195050571766,NO
0.5305079821990046,YES
0.43439990633766734,NO
0.5413690372535578,NO
0.5385836002475197,NO
0.344380558623374,NO
0.5196668586220612,YES
0.4094749170615699,NO
0.5015800574794151,YES
0.22089581765914085,NO
0.2928618262153911,NO
0.2394612474765767,NO
0.3692356836470149,NO
0.3825716245519011,NO
0.31269441403296755,NO
0.3807371610157524,NO
0.07143251627762275,NO
0.1681853077870943,NO
0.32534045520242333,YES
0.24309811765538225,NO
0.18119626933218347,YES
0.2413171646723718,NO
0.42511347704457775,NO
0.19947201619893112,NO
0.21363768942498373,NO
0.5251588653904891,NO
0.1185377013851713,NO
0.2615055267632583,NO
0.13886354123317274,NO
0.29231840722826746,NO
0.49420247048062954,YES
0.6552644867397972,YES
0.3637381215646579,YES
0.30475698929722583,YES
0.2759054208714289,NO
0.3936366650094832,YES
0.13743451153302036,NO
0.37500973643574154,NO
0.37257189034830296,NO
0.3887557427732488,YES
0.6806535073552551,YES
0.4122077802418769,YES
0.31797300307377996,YES
0.2869040187336114,NO
0.3269445488469061,NO
0.5543422044497857,YES
0.6084073782739321,NO
0.27762033457222907,YES
0.5467463989954222,NO
0.5968418391586221,NO
0.646296479714654,NO
0.5614404775498771,NO
0.44585531493211267,NO
0.4867985250134124,YES
