LOWERTRACED_RFSMOTE_MULTI_VSM_MEDIAN.csv,Associated
0.03685,NO
0.0326,NO
0.0572,NO
0.1082,NO
0.03355,NO
0.0453,NO
0.02945,NO
0.03395,NO
0.08445,NO
0.6184499999999999,YES
0.0308,NO
0.6639999999999999,YES
0.48635,NO
0.47655,NO
0.47614999999999996,NO
0.0571,NO
0.0353,NO
0.05545,NO
0.03735,NO
0.10895,NO
0.05735,NO
0.53395,YES
0.5352,YES
0.5784,YES
0.615,YES
0.07865,NO
0.5307999999999999,YES
0.06025,NO
0.5536,YES
0.6222,YES
0.1681,NO
0.07895,NO
0.0574,NO
0.0556,NO
0.69735,YES
0.54785,YES
0.0682,NO
0.0528,NO
0.04905,NO
0.0529,NO
0.08985,NO
0.0763,NO
0.07755,NO
0.64055,YES
0.0383,NO
0.5563,YES
0.01705,NO
0.66995,YES
0.0206,NO
0.0606,NO
0.03845,NO
0.06175,NO
0.0401,NO
0.09515,NO
0.05595,NO
0.0504,NO
0.0443,NO
0.0767,NO
0.06655,NO
0.14325,NO
0.0756,NO
0.0833,NO
0.07325,NO
0.02545,NO
0.10935,NO
0.6787,YES
0.08015,NO
0.5507500000000001,YES
0.1025,NO
0.1084,NO
0.1068,NO
0.09595,NO
0.07665,NO
0.0634,NO
0.09735,NO
0.08775,NO
0.1101,NO
0.67325,YES
0.6626000000000001,YES
0.63265,YES
0.53855,YES
0.08295,NO
0.54635,YES
0.06255,NO
0.07515,YES
0.1007,YES
0.1778,NO
0.09309999999999999,NO
0.08535,NO
0.08205,NO
0.18175000000000002,YES
0.07214999999999999,YES
0.09655,NO
0.0476,NO
0.07819999999999999,NO
0.04435,NO
0.11445,NO
0.1044,NO
0.10375,NO
0.10615,YES
0.056350000000000004,NO
0.051050000000000005,YES
0.02555,NO
0.16405,YES
0.0303,NO
0.06255,NO
0.0455,NO
0.059000000000000004,NO
0.05265,NO
0.12004999999999999,NO
0.06755,NO
0.0764,NO
0.0362,NO
0.0122,NO
0.43019999999999997,YES
0.5724,YES
0.5518500000000001,YES
0.4315,YES
0.0413,NO
0.006500000000000001,NO
