UPPERTRACED_RFSMOTE_MULTI_VSM_MAX.csv,Associated
0.96,NO
0.0652,NO
0.1144,NO
0.2164,NO
0.52,NO
0.0906,NO
0.84,NO
0.91,NO
0.43,NO
0.2469,YES
0.32,NO
0.33799999999999997,YES
0.83,NO
0.85,NO
0.2223,NO
0.1142,NO
1.0,NO
0.1109,NO
0.98,NO
0.64,NO
0.64,NO
0.0779,YES
0.0804,YES
0.1668,YES
0.33,YES
0.4,NO
0.0716,YES
0.84,NO
0.1072,YES
0.98,YES
0.62,NO
0.1579,NO
0.91,NO
0.44,NO
0.3947,YES
0.0957,YES
0.51,NO
0.64,NO
0.26,NO
0.11,NO
0.9,NO
0.91,NO
0.1551,NO
0.2811,YES
0.48,NO
0.1126,YES
0.0341,NO
0.3399,YES
0.75,NO
0.72,NO
0.0769,NO
0.8,NO
0.0802,NO
0.1903,NO
0.91,NO
0.39,NO
0.96,NO
0.1534,NO
0.1331,NO
0.2865,NO
0.52,NO
0.1666,NO
0.84,NO
0.91,NO
0.43,NO
0.4574,YES
0.32,NO
0.2015,YES
0.83,NO
0.85,NO
0.2136,NO
0.1919,NO
1.0,NO
0.1268,NO
0.98,NO
0.64,NO
0.64,NO
0.4465,YES
0.4252,YES
0.3653,YES
0.33,YES
0.4,NO
0.1927,YES
0.84,NO
0.1303,YES
0.98,YES
0.62,NO
0.1662,NO
0.91,NO
0.44,NO
0.3435,YES
0.1243,YES
0.51,NO
0.64,NO
0.26,NO
0.11,NO
0.9,NO
0.91,NO
0.2075,NO
0.1923,YES
0.48,NO
0.0821,YES
0.0311,NO
0.3081,YES
0.75,NO
0.72,NO
0.091,NO
0.8,NO
0.1053,NO
0.2201,NO
0.91,NO
0.39,NO
0.67,NO
0.99,NO
0.92,YES
0.3348,YES
0.2937,YES
0.14300000000000002,YES
0.87,NO
0.45,NO
1.0,YES
0.75,NO
1.0,YES
0.1443,NO
0.82,NO
0.82,NO
0.1934,NO
0.13,NO
0.2318,YES
0.13,NO
0.3609,YES
0.1417,NO
0.255,YES
0.38,NO
1.0,NO
1.0,NO
0.11,NO
0.1715,YES
1.0,NO
0.59,YES
0.96,NO
0.0732,NO
0.1975,NO
0.2582,NO
0.52,NO
0.1701,NO
0.84,NO
0.91,NO
0.43,NO
0.4028,YES
0.32,NO
0.2904,YES
0.83,NO
0.85,NO
0.1689,NO
0.054000000000000006,NO
1.0,NO
0.0547,NO
0.98,NO
0.64,NO
0.64,NO
