NONETRACED_RFUNDER_RAW_LSA_SUM.csv,Associated
0.048416426731322924,NO
0.04197605697833004,NO
0.10221475246479035,NO
0.1794991895007049,NO
0.04341566904076376,NO
0.06122139718139112,NO
0.03720260645552356,NO
0.606549660876074,NO
0.12054856796484315,NO
0.3748111513682056,YES
0.03924837096529777,NO
0.4782772412716344,YES
0.5553114108198213,NO
0.35677811605982546,NO
0.18396956379984114,NO
0.09058305436544564,NO
0.04606758599787846,NO
0.11104299549518523,NO
0.04917411729049856,NO
0.467639725027208,NO
0.4698071792328498,NO
0.06307888706737017,YES
0.07645327345281884,YES
0.2567193376406894,YES
0.17442036672223063,YES
0.23804111734101122,NO
0.046825276557054096,YES
0.6464041842887123,NO
0.7052078597767338,YES
0.4991986848328719,YES
0.4539530782900991,NO
0.3073766916015742,NO
0.3780416683886907,NO
0.2834727024755817,NO
0.8541629356146708,YES
0.07656577902069643,YES
0.3370069845293364,NO
0.256269315369179,NO
0.33094775608792887,NO
0.26790101346852374,NO
0.32389434579160303,NO
0.7396070111633076,NO
0.42005675791097824,NO
0.4925654483920888,YES
0.24577644914059524,NO
0.2845334692584276,YES
0.12173332047555413,NO
0.6289589331716927,YES
0.21895420334577786,NO
0.27956944807982853,NO
0.26896407628336716,NO
0.3042724563409516,NO
0.30590493509117545,NO
0.3204457057313551,NO
0.2610427658919855,NO
0.37891416054774146,NO
0.09414649602556861,NO
0.10880436429762086,NO
0.0934232459463555,NO
0.20965297772389754,NO
0.10713744506743446,NO
0.16472651962877755,NO
0.10357629943930897,NO
0.2722244417198198,NO
0.20420219776182802,NO
0.45394389416210906,YES
0.11403242915593272,NO
0.35189215996914136,YES
0.1479011971510835,NO
0.15684194574935595,NO
0.15441733595999393,NO
0.4364596105011319,NO
0.10872859524170328,NO
0.10012995541105861,NO
0.14009698439157448,NO
0.1485096456304215,NO
0.15941809365055312,NO
0.3308834671919988,YES
0.31474465828155784,YES
0.26935899378693745,YES
0.12676163055008335,YES
0.11827549628731626,NO
