LOWERTRACED_SUM_RAW_LSA_MEDIAN.csv,Associated
0.16625502051653387,NO
0.16200502051653387,NO
0.4119248370745836,NO
0.3890452007402043,NO
0.31439520074020433,NO
0.4000248370745836,NO
0.15885502051653388,NO
0.1633550205165339,NO
0.4391748370745836,NO
0.4015797771341218,YES
0.38552483707458357,NO
0.4471297771341218,YES
0.26142562957599164,NO
0.2516256295759916,NO
0.2512256295759916,NO
0.1865050205165339,NO
0.3161452007402043,NO
0.18485502051653388,NO
0.3181952007402043,NO
0.2383550205165339,NO
0.3381952007402043,NO
0.3170797771341218,YES
0.3183297771341218,YES
0.3615297771341218,YES
0.3981297771341218,YES
0.4333748370745836,NO
0.3139297771341218,YES
0.4149748370745836,NO
0.1421932094295599,YES
0.2107932094295599,YES
0.4635984310885831,NO
0.382856187142972,NO
0.36130618714297197,NO
0.3510984310885831,NO
0.28594320942955986,YES
0.1364432094295599,YES
0.3636984310885831,NO
0.15885237750422398,NO
0.3445484310885831,NO
0.158952377504224,NO
0.17694469788398098,NO
0.163394697883981,NO
0.164644697883981,NO
0.2291432094295599,YES
0.34220618714297196,NO
0.1448932094295599,YES
0.32095618714297197,NO
0.2585432094295599,YES
0.32450618714297197,NO
0.16665237750422401,NO
0.144502377504224,NO
0.167802377504224,NO
0.146152377504224,NO
0.3906484310885831,NO
0.162002377504224,NO
0.3458984310885831,NO
0.2791941990506074,NO
0.3115941990506074,NO
0.40899508810041024,NO
0.4224458323276208,NO
0.3547958323276208,NO
0.42574508810041023,NO
0.3081441990506074,NO
0.2603441990506074,NO
0.45179508810041025,NO
0.5189687263657574,YES
0.42259508810041024,NO
0.39101872636575746,YES
0.21664836270013677,NO
0.22254836270013678,NO
0.2209483627001368,NO
0.3308441990506074,NO
0.3558458323276208,NO
0.2982941990506074,NO
0.3765458323276208,NO
0.32264419905060737,NO
0.38929583232762077,NO
0.5135187263657575,YES
0.5028687263657574,YES
0.4729187263657575,YES
0.3788187263657575,YES
0.42539508810041027,NO
0.38661872636575745,YES
0.40499508810041024,NO
0.16049153994689835,YES
0.18604153994689837,YES
0.5187031297771341,NO
0.4330778743261726,NO
0.4253278743261726,NO
0.42295312977713406,NO
0.2670915399468984,YES
0.15749153994689835,YES
0.4374531297771341,NO
0.16707863866763212,NO
0.41910312977713404,NO
0.16382863866763214,NO
0.2199794070319414,NO
0.20992940703194143,NO
0.20927940703194142,NO
0.19149153994689838,YES
0.3963278743261726,NO
0.13639153994689837,YES
0.3655278743261726,NO
0.24939153994689836,YES
0.3702778743261726,NO
0.18202863866763214,NO
0.16497863866763213,NO
0.17847863866763214,NO
