NONETRACED_MEDIAN_SINGLE_LSA_MAX.csv,Associated
0.3196654426764586,NO
0.7878416972664218,NO
0.3749490004079967,NO
0.2164,NO
0.14973480212158302,NO
0.4002447980416157,NO
0.5628314973480212,NO
0.17849857201142394,NO
0.3959608323133415,NO
0.2469,YES
0.4538963688290493,NO
0.33799999999999997,YES
0.4430844553243574,NO
0.7686658506731945,NO
0.405140758873929,NO
0.459812321501428,NO
0.459812321501428,NO
0.3084455324357405,NO
0.15993472052223578,NO
0.23806609547123625,NO
0.29498164014687883,NO
0.2672378620971032,YES
0.4279885760913912,YES
0.4055487556099551,YES
0.4410444716442268,YES
0.40922072623419015,NO
0.5567115463076294,YES
0.3353733170134639,NO
0.2523459812321501,YES
0.4128926968584252,YES
0.3362,NO
0.1579,NO
0.1148,NO
0.18502651978784168,NO
0.3947,YES
0.18645450836393307,YES
0.25193798449612403,NO
0.1056,NO
0.20359037127702986,NO
0.1058,NO
0.2666258669930641,NO
0.34761321909424725,NO
0.2076703386372909,NO
0.2811,YES
0.1976744186046512,NO
0.2478580171358629,YES
0.05732354141166869,NO
0.3399,YES
0.08486332109343124,NO
0.17299061607507138,NO
0.2323541411668707,NO
0.17339861281109753,NO
0.16891064871481026,NO
0.21725826193390446,NO
0.2386780905752754,NO
0.19951040391676872,NO
0.17747858017135865,NO
0.2937576499388005,NO
0.1331,NO
0.2865,NO
0.1512,NO
0.1666,NO
0.17931456548347613,NO
0.0509,NO
0.2187,NO
0.4574,YES
0.1603,NO
0.2015,YES
0.205,NO
0.32354141166870665,NO
0.284781721746226,NO
0.23704610363117096,NO
0.22399020807833536,NO
0.16666666666666666,NO
0.1947,NO
0.1755,NO
0.2202,NO
0.4465,YES
0.4252,YES
0.3653,YES
0.1771,YES
0.1659,NO
0.1927,YES
0.1251,NO
0.3051815585475316,YES
0.4971440228478172,YES
0.3356,NO
0.1662,NO
0.1507,NO
0.3035495716034272,NO
0.3435,YES
0.2533659730722154,YES
0.3663810689514484,NO
0.0952,NO
0.2786617707058344,NO
0.10811913504691964,NO
0.4247246022031824,NO
0.5603835169318645,NO
0.3871889024887801,NO
0.30640554875561,YES
0.2394940840473276,NO
0.2976336189310485,YES
0.08078335373317012,NO
0.3081,YES
0.1452468380252958,NO
0.28253773969808244,NO
0.30640554875561,NO
0.2911056711546308,NO
0.26397388820889434,NO
0.3198694410444717,NO
0.3778049775601795,NO
0.3129334965320277,NO
0.11281109751121993,NO
0.452264381884945,NO
0.31007751937984496,YES
0.3348,YES
0.2937,YES
0.3733170134638923,YES
0.31007751937984496,NO
0.15055079559363527,NO
0.35903712770297835,YES
0.1395,NO
0.2280701754385965,YES
0.1443,NO
0.3771929824561404,NO
0.4728682170542636,NO
0.3365973072215422,NO
0.3302733578131375,NO
0.31946144430844553,YES
0.11995104039167688,NO
0.3609,YES
0.2962056303549572,NO
0.255,YES
0.3084455324357405,NO
0.3733170134638923,NO
0.4020807833537332,NO
0.30640554875561,NO
0.4004487964096287,YES
0.3488372093023256,NO
0.32435740514075884,YES
0.3627090983272134,NO
0.6654426764585882,NO
0.3253773969808241,NO
0.32109343125255,NO
0.3567931456548348,NO
0.37005303957568336,NO
0.4916360669114647,NO
0.4157486740106079,NO
0.3669930640554875,NO
0.4028,YES
0.3602611179110567,NO
0.2904,YES
0.39616483068135455,NO
0.7184822521419828,NO
0.5136678906568747,NO
0.40065279477764176,NO
0.6209710322317421,NO
0.4008567931456548,NO
0.1976744186046512,NO
0.3312933496532028,NO
0.2537739698082415,NO
0.4761321909424725,YES
0.6168910648714809,YES
0.3655650754793962,YES
0.44879640962872297,YES
0.394124847001224,NO
0.5087719298245614,YES
0.3423092615259078,NO
0.2933496532027744,NO
0.5426356589147286,NO
0.2574459404324765,YES
0.3647,YES
0.2531,YES
0.35760913912688697,YES
0.3217054263565891,NO
0.16748266013871888,NO
0.277437780497756,YES
0.2598,NO
0.3374133006935945,YES
0.1459,NO
0.2962056303549572,NO
0.5758873929008568,NO
0.29498164014687883,NO
0.3310893512851897,NO
0.24398204814361485,YES
0.19237046103631167,NO
0.2623,YES
0.25254997960016323,NO
0.2555,YES
0.2574459404324765,NO
0.37637698898408817,NO
0.2623419012647899,NO
0.2672378620971032,NO
0.3349653202774377,YES
0.3327213382292942,NO
0.2594859241126071,YES
0.31701346389228885,NO
0.5238678090575275,NO
0.3345573235414117,NO
0.19,NO
0.1547,NO
0.4418604651162791,NO
0.4524683802529579,NO
0.2549979600163199,NO
0.4920440636474908,NO
0.1989,YES
0.3769889840881273,NO
0.2447,YES
0.4536923704610363,NO
0.6115871073031416,NO
0.4361485108119135,NO
0.3263973888208894,NO
0.4067727458180335,NO
0.4010607915136679,NO
0.17278661770705833,NO
0.3408812729498164,NO
0.21950224398204812,NO
0.23357813137494904,YES
0.4508363933088534,YES
0.3329253365973072,YES
0.3533251733986128,YES
0.4855161158710731,NO
0.4867401060791514,YES
0.346797225622195,NO
0.3253773969808241,NO
0.405140758873929,NO
0.22399999999999998,NO
0.1967,NO
0.2182782537739698,NO
0.2079,NO
0.2986536107711138,NO
0.13504691962464302,NO
0.2198,NO
0.3428,YES
0.2344,NO
0.1736,YES
0.21542227662178706,NO
0.3986128110975112,NO
0.3388412892696859,NO
0.3488372093023256,NO
