NONETRACED_SUM_MULTI_LSA_MAX.csv,Associated
0.6894235949003411,NO
0.6614712396001675,NO
0.4734542407374155,NO
0.4938049919195547,NO
0.5756868378523972,NO
0.7757227509427187,NO
0.7523912132639015,NO
0.41577781768121147,NO
0.3923265697013227,NO
0.4391572394804573,YES
0.6938528760399831,NO
0.4423535045190639,YES
0.4874603459627701,NO
0.6693362063805591,NO
0.4395283414137786,NO
0.4900460884659125,NO
0.793272281079787,NO
0.4378643682288861,NO
0.2429879691147423,NO
0.2179,NO
0.5385527024600467,NO
0.5576464954809361,YES
0.7032740767343031,YES
0.3974741126473933,YES
0.6480158017597414,YES
0.6989166217753038,NO
0.7823786436822892,YES
0.3741186329083618,NO
0.4353743939666008,YES
0.4308852576764231,YES
0.3362,NO
0.3199257796133357,NO
0.3623391392829353,NO
0.5047824265278027,NO
0.4762554617824864,YES
0.265840665589274,YES
0.26526605614413123,NO
0.3108756808523374,NO
0.4616508050517747,NO
0.3148979469683366,NO
0.3231938708325851,NO
0.4116956964146765,NO
0.2745555755072724,NO
0.30402825163105285,YES
0.4975040402226612,NO
0.2683665529418806,YES
0.13374034835697612,NO
0.3399,YES
0.3452085951996169,NO
0.3774944633985754,NO
0.4517507631531693,NO
0.27064104866223737,NO
0.433435087089244,NO
0.4748787933201653,NO
0.5126354222780871,NO
0.2560363919315257,NO
0.7680493206440413,NO
0.7309630693721194,NO
0.4947507032980187,NO
0.5255761058239061,NO
0.6459807266415276,NO
0.8242652780271744,NO
0.8099718680792483,NO
0.5046148321063028,NO
0.3908661040282516,NO
0.4826958759801281,YES
0.7526904890165798,NO
0.4736098641288082,YES
0.4916621775303766,NO
0.7024839887472316,NO
0.4594840486023822,NO
0.5244628000239421,NO
0.8549350571616687,NO
0.4912072783863052,NO
0.253929490632669,NO
0.19923385407314295,NO
0.5696414676482912,NO
0.6398276171664571,YES
0.7807505835877178,YES
0.4229963488358174,YES
0.7231100736218352,YES
0.7337403483569759,NO
0.8414317352008142,YES
0.3755551565212187,NO
0.5469922786855809,YES
0.5293948644280839,YES
0.3909379302088945,NO
0.3979649248817861,NO
0.4467349015382773,NO
0.6222780870293889,NO
0.5874423894176094,YES
0.3479858741844736,YES
0.3528221703477584,NO
0.3937990064045012,NO
0.5676542766505057,NO
0.39729454719578616,NO
0.4150715269048901,NO
0.5213503321960854,NO
0.359334410726043,NO
0.3840186748069672,YES
0.6110732028491052,NO
0.34887173041240205,YES
0.18373137008439575,NO
0.3081,YES
0.4306817501646016,NO
0.4676722331956665,NO
0.5607589633087927,NO
0.34451427545340274,NO
0.5325671874064762,NO
0.5828933979768959,NO
0.6287903274076734,NO
0.33621835158915425,NO
0.7024241335966959,NO
0.6747351409588795,NO
0.5261866283593702,YES
0.4574010893637398,YES
0.5539354761477225,YES
0.8070030526126772,YES
0.7733165738911834,NO
0.4325252888011013,NO
0.4135033219608547,YES
0.4025977135332495,NO
0.7308912431914765,YES
0.4201951277907464,NO
0.4836655294188065,NO
0.6571137846411684,NO
0.42410965463578143,NO
0.5147423235769438,NO
0.7785479140480038,YES
0.4609804273657748,NO
0.3609,YES
0.1787155084695038,NO
0.5284611240797271,YES
0.5507631531693302,NO
0.6878913030466272,NO
0.4293170527323876,NO
0.6564074938648471,NO
0.7261387442389418,YES
0.8175255880768542,NO
0.3981804034237145,YES
0.8820973244747711,NO
0.8245765248099599,NO
0.6080565032621057,NO
0.6389417609385287,NO
0.7255521637636919,NO
0.9522355898725086,NO
0.9352247560902616,NO
0.5702160770934339,NO
0.4981025917280182,NO
0.6074100676363201,YES
0.8564074938648472,NO
0.6032920332794638,YES
0.6137666846232118,NO
0.8282276889926379,NO
0.5553001735799366,NO
0.6303944454420303,NO
0.9801759741425748,NO
0.5895133776261448,NO
0.32305021847129944,NO
0.2897587837433411,NO
0.6794756688813073,NO
0.7269288322260129,YES
0.9024001915364817,YES
0.5412102711438319,YES
0.8209014185670678,YES
0.8702819177590231,NO
0.9751361704674686,YES
0.4868977075477344,NO
0.6443885796372777,NO
0.6224097683605675,NO
0.4330280720656012,YES
0.4273178907044951,YES
0.531609504997905,YES
0.7236008858562281,YES
0.7011911174956607,NO
0.3985275632968217,NO
0.33813371640629675,YES
0.3745256479320045,NO
0.6554857245465973,YES
0.3701681929730054,NO
0.4210570419584605,NO
0.6038067875740708,NO
0.3836715149338601,NO
0.4462081762135631,NO
0.731860896630155,YES
0.4008858562279284,NO
0.2623,YES
0.142,NO
0.4788052911953074,YES
0.5276470940324415,NO
0.6555096666068115,NO
0.3592984976357215,NO
0.6067037768599988,NO
0.638367151493386,YES
0.7362542646794756,NO
0.3204046208176213,YES
0.8396839648051715,NO
0.7953911534087508,NO
