LOWERTRACED_RFNONE_SINGLE_LSA_MEDIAN.csv,Associated
0.03685,NO
0.0326,NO
0.08447272727272727,NO
0.19001818181818184,NO
0.11536818181818184,NO
0.07257272727272726,NO
0.02945,NO
0.03395,NO
0.11172272727272727,NO
0.25072272727272726,YES
0.05807272727272727,NO
0.29627272727272724,YES
0.12135,NO
0.11155,NO
0.11115,NO
0.0571,NO
0.11711818181818183,NO
0.05545,NO
0.11916818181818184,NO
0.10895,NO
0.13916818181818183,NO
0.1662227272727273,YES
0.16747272727272727,YES
0.2106727272727273,YES
0.24727272727272728,YES
0.10592272727272727,NO
0.16307272727272729,YES
0.08752272727272727,NO
0.0536,YES
0.1222,YES
0.1862818181818182,NO
0.4334954545454546,NO
0.41194545454545456,NO
0.07378181818181817,NO
0.19735,YES
0.04785,YES
0.08638181818181817,NO
0.4346181818181818,NO
0.06723181818181818,NO
0.4347181818181818,NO
0.08985,NO
0.0763,NO
0.07755,NO
0.14055,YES
0.39284545454545455,NO
0.0563,YES
0.37159545454545456,NO
0.16995,YES
0.37514545454545456,NO
0.44241818181818177,NO
0.42026818181818176,NO
0.4435681818181818,NO
0.42191818181818175,NO
0.11333181818181817,NO
0.4377681818181818,NO
0.06858181818181819,NO
0.053390909090909086,NO
0.0857909090909091,NO
0.06655,NO
0.16143181818181818,NO
0.09378181818181819,NO
0.0833,NO
0.08234090909090909,NO
0.034540909090909094,NO
0.10935,NO
0.38324545454545456,YES
0.08015,NO
0.25529545454545455,YES
0.1025,NO
0.1084,NO
0.1068,NO
0.10504090909090909,NO
0.09483181818181818,NO
0.07249090909090909,NO
0.11553181818181818,NO
0.09684090909090909,NO
0.1282818181818182,NO
0.37779545454545455,YES
0.36714545454545455,YES
0.3371954545454545,YES
0.24309545454545456,YES
0.08295,NO
0.25089545454545453,YES
0.06255,NO
0.06515,YES
0.0907,YES
0.2768909090909091,NO
0.14673636363636364,NO
0.13898636363636363,NO
0.18114090909090907,NO
0.17175,YES
0.06215,YES
0.1956409090909091,NO
0.13850909090909092,NO
0.17729090909090905,NO
0.13525909090909094,NO
0.12354090909090909,NO
