UPPERTRACED_SUM_RAW_VSM_MEDIAN.csv,Associated
0.3455,NO
0.1376,NO
0.35985,NO
0.53185,NO
0.30970000000000003,NO
0.42175,NO
0.3515,NO
0.15515,NO
0.3671,NO
0.80505,YES
0.28275,NO
0.53685,YES
0.36325,NO
0.46105,NO
0.18164999999999998,NO
0.26034999999999997,NO
0.39575,NO
0.2528,NO
0.30005,NO
0.22125,NO
0.37945,NO
0.6175,YES
0.78505,YES
0.6907,YES
0.46049999999999996,YES
0.38815,NO
0.5017,YES
0.2959,NO
0.55105,YES
0.2529,YES
0.3853,NO
0.2517,NO
0.16115,NO
0.21384999999999998,NO
0.5222,YES
0.39775,YES
0.16799999999999998,NO
0.17435,NO
0.13095,NO
0.14875,NO
0.22995,NO
0.31015000000000004,NO
0.14329999999999998,NO
0.463,YES
0.19575,NO
0.5378,YES
0.09455,NO
0.55945,YES
0.1334,NO
0.1522,NO
0.20950000000000002,NO
0.16615000000000002,NO
0.12494999999999999,NO
0.2728,NO
0.1999,NO
0.15225,NO
0.35295,NO
0.1817,NO
0.3692,NO
0.5669,NO
0.35175,NO
0.45975,NO
0.3953,NO
0.14665,NO
0.392,NO
0.9103,YES
0.3321,NO
0.4686,YES
0.3444,NO
0.45790000000000003,NO
0.1773,NO
0.29919999999999997,NO
0.4371,NO
0.26075,NO
0.36005,NO
0.20005,NO
0.43220000000000003,NO
0.8018000000000001,YES
0.95745,YES
0.7899499999999999,YES
0.42905,YES
0.39244999999999997,NO
0.56225,YES
0.2982,NO
0.5626,YES
0.2214,YES
0.385,NO
0.25584999999999997,NO
0.17909999999999998,NO
0.2303,NO
0.49660000000000004,YES
0.41204999999999997,YES
0.18635000000000002,NO
0.16915000000000002,NO
0.1501,NO
0.1402,NO
0.25455,NO
0.33825,NO
0.16949999999999998,NO
0.4186,YES
0.2038,NO
0.52255,YES
0.09305,NO
0.54355,YES
0.1331,NO
0.15415,NO
0.21655000000000002,NO
0.16340000000000002,NO
0.1375,NO
0.2877,NO
0.2115,NO
0.16825,NO
0.3655,NO
0.1302,NO
0.43845,YES
0.89505,YES
0.78695,YES
0.53425,YES
0.37865,NO
0.10855000000000001,NO
0.5078,YES
0.37660000000000005,NO
0.38544999999999996,YES
0.2679,NO
0.4045,NO
0.51445,NO
0.25734999999999997,NO
0.2148,NO
0.7533,YES
0.205,NO
0.92715,YES
0.24054999999999999,NO
0.80795,YES
0.2857,NO
0.47795,NO
0.4693,NO
0.2194,NO
0.49755,YES
0.4247,NO
0.3722,YES
0.38584999999999997,NO
0.1416,NO
0.4014,NO
0.5527500000000001,NO
0.375,NO
0.4615,NO
0.40625,NO
0.18245,NO
0.35555000000000003,NO
0.883,YES
0.3308,NO
0.51305,YES
0.34125,NO
0.4373,NO
0.15494999999999998,NO
0.23024999999999998,NO
