NONETRACED_RFSMOTE_MULTI_VSM_SUM.csv,Associated
0.08957668764548668,NO
0.23743426157427364,NO
0.16777308388654194,NO
0.5919475816880766,NO
0.09250797482541599,NO
0.06966117768773171,NO
0.05095266833347702,NO
0.8432623502026036,NO
0.13716699715492714,NO
0.4285714285714286,YES
0.39813777049745663,NO
0.6536770411242349,YES
0.24390033623588242,NO
0.6494525390119837,NO
0.6832485559099922,NO
0.6245365979825847,NO
0.05241831192344167,NO
0.1733770152599362,NO
0.0990602638158462,NO
0.30011207862746786,NO
0.09043883093370118,NO
0.351840675920338,YES
0.18156737649797397,YES
0.8767997241141477,YES
0.8278299853435641,YES
0.12716613501163893,NO
0.053280455211656176,YES
0.21613932235537547,NO
0.4115872057936029,YES
0.202258815415122,YES
0.2814035692732132,NO
0.13630485386671265,NO
0.6250538839555134,NO
0.09604276230709544,NO
0.4956461763945168,YES
0.09130097422191569,YES
0.10914734028795586,NO
0.6429864643503751,NO
0.13647728252435556,NO
0.12587292007931716,NO
0.301663936546254,NO
0.1231140615570308,NO
0.14251228554185702,NO
0.5011638934390895,YES
0.13518406759203377,NO
0.25243555478920593,YES
0.39167169583584793,NO
0.36218639537891195,YES
0.027071299249935336,NO
0.3115785843607207,NO
0.057849814639193024,NO
0.12388999051642384,NO
0.12104491766531598,NO
0.15561686352271747,NO
0.1742391585481507,NO
0.1388050694025347,NO
0.6110871626864385,NO
0.19277523924476248,NO
0.9167169583584791,NO
0.41098370549185276,NO
0.39779291318217086,NO
0.45417708423139924,NO
0.41098370549185276,NO
0.035434089145616,NO
0.5077161824295198,NO
0.5152168290369858,YES
0.28493835675489265,NO
0.242865764290025,YES
0.2113975342701957,NO
0.39399948271402707,NO
0.598155013363221,NO
0.32942495042676095,NO
0.20993189068023102,NO
0.1353564962496767,NO
0.3318389516337616,NO
0.1859643072678679,NO
0.38830933701181136,NO
0.5316837658418829,YES
0.5478058453314941,YES
0.47892059660315545,YES
0.4459867229933615,YES
0.46219501681179415,NO
0.3990861281144926,YES
0.099405121131132,NO
0.9660315544443487,YES
0.15656522113975344,YES
0.28088628330028453,NO
0.143460643158893,NO
0.5094404690059487,NO
0.11578584360720753,NO
0.5032330373308044,YES
0.10733683938270541,YES
0.14078799896542804,NO
0.3408914561600138,NO
0.15225450469868093,NO
0.11113026985084921,NO
0.33545995344426244,NO
0.8612811449262868,NO
0.39460298301577723,NO
0.36425553927062676,YES
0.07147167859298216,NO
0.15716872144150357,YES
0.026985084921113886,NO
0.35201310457798085,YES
0.12138977498060179,NO
0.6080696611776877,NO
0.07000603500301751,NO
0.09328390378480905,NO
0.10819898267091992,NO
0.18130873351150958,NO
0.10802655401327702,NO
0.10604362445038366,NO
0.0625916027243728,NO
0.01258729200793172,NO
0.5350461246659194,YES
0.4526252263126131,YES
0.4258125700491422,YES
0.7614449521510475,YES
0.08862833002845073,NO
0.6838520562117424,NO
0.3883955513406328,YES
0.7325631519958616,NO
0.2264850418139495,YES
0.3401155272006207,NO
0.3161479437882576,NO
0.3134752995947926,NO
0.46003965859125784,NO
0.16156565221139754,NO
0.2517458401586344,YES
0.6257435985860851,NO
0.43202000172428656,YES
0.11371669971549271,NO
0.418311923441676,YES
0.05379774118458488,NO
0.32580394861626,NO
0.4432278644710751,NO
0.034140874213294245,NO
0.7256660056901457,YES
0.15225450469868093,NO
0.13320113802914044,YES
0.2970945771187172,NO
0.16673851194068454,NO
0.5842745064229675,NO
0.39520648331752734,NO
0.48098974049487025,NO
0.3364945253901198,NO
0.6367790326752306,NO
0.4765065953961548,NO
0.18622295025433228,NO
0.4509009397361841,YES
0.3775325459091301,NO
0.49193896025519446,YES
0.26631606172945943,NO
0.1860505215966894,NO
0.7923958961979481,NO
0.11569962927838609,NO
0.29062850245710836,NO
0.4352961462195017,NO
0.12794206397103197,NO
0.20872489007673076,NO
0.3185619449952582,NO
0.5171997585998793,YES
0.41503577894646093,YES
0.40460384515906545,YES
0.52556254849556,YES
0.33864988361065607,NO
0.20303474437451505,YES
0.07595482369169756,NO
0.07647210966462627,NO
0.05828088628330028,NO
0.3509785326321235,YES
0.35770325028019656,YES
0.4856453142512285,YES
0.29597379084403824,YES
0.06785067678248125,NO
0.25053883955513406,NO
0.2646779894818519,YES
0.35347874816794544,NO
0.08293818432623502,YES
0.19493059746529873,NO
0.6512630399172343,NO
0.2390723338218812,NO
0.6187602379515476,NO
